SMILES,Kow
O=C1NC(=O)C2(CCCCC2)C(=O)N1,0.91
O=C1NC(=S)NC(=O)C11CCCCC1,1.78
NC1(CCCC1)C(O)=O,-2.28
COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,3.79
CC(C)(S)[C@@H](N)C(O)=O,-1.78
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51
COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N(C)C,2.23
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,4.3
N[C@@H](CS)C(O)=O,-2.49
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.46
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1.47
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,3.13
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,3.69
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,3.23
Cl.CN(C)CCCN1C2=CC=CC=C2SC2=C1C=CC=C2,2.94
C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1,6.75
COC1=CC=C(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)N2C=NC3=C2N=CN=C3N(C)C)C=C1,0.03
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,4.27
COC1=CC(CCN)=CC(OC)=C1OC,0.78
CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,4.63
CN1CCC[C@H]1C1=CN=CC=C1,1.17
FC(F)(F)C1=CNC(=O)NC1=O,0.04
[Na+].OC1=C(C=CC=C1)C([O-])=O,-1.43
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1N=CC(O)=NC1=O,-2.14
NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,2.03
CC(C)C1=CC(OC(C)=O)=C(C)C=C1OCCN(C)C,3.17
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,-0.96
C[C@H](N)[C@H](O)C1=CC(O)=CC=C1,-0.27
CC(C)NCC(O)C1=CC2=CC=CC=C2C=C1,3
NNC(=O)C1=CC=NC=C1,-0.7
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,0.42
CC(C)NNC(=O)C1=CC=NC=C1,0.37
C1CCN2N=NN=C2CC1,0.14
CCN(CC)N=O,0.48
NC(=O)C1=CC=CC=C1,0.64
OC(=O)C1=CC=NC=C1,0.32
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,4.09
ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,0.08
[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,1.62
CC(C)OP(F)(=O)OC(C)C,1.17
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.52
NCCCC(O)=O,-3.17
ClC(Cl)(Cl)Cl,2.83
CN1C(O)=NC(=O)C(C)(C2=CCCCC2)C1=O,1.98
[Cl-].CC[N+](CC)(CC)CC,-3.15
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,3.83
NCC(O)=O,-3.21
N[C@@H](CO)C(O)=O,-3.07
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.08
CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(C=C1)=C23,6.42
CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,5.07
C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2,5.76
[O-][N+](=O)C1=CC=[N+]([O-])C2=CC=CC=C12,1.09
CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,4.13
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,1.14
OCC(O)CO,-1.76
N[C@@H](CC(O)=O)C(O)=O,-3.89
N[C@@H](CCC(N)=O)C(O)=O,-3.64
N[C@@H](CCC(O)=O)C(O)=O,-3.69
NCCCC[C@H](N)C(O)=O,-3.05
N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,-5.08
NCC1=CC=C(C=C1)C(O)=O,1.03
[Cl-].C[N+](C)(C)CC1=CC=CC=C1,-2.17
CCCCCCCCCCCCCCCC(O)=O,7.17
CCCCCCCCCCCCCCCCCC(O)=O,8.23
NC(N)=O,-2.11
CC(C)(O)C(Cl)(Cl)Cl,2.03
[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=C(C=CC=C7)[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H],1.93
CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35,0.89
O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,2.47
CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,2.72
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07
CCC1(CC)C(=O)NC(=O)NC1=O,0.65
CNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]1N(C)CC[C@@]21C,1.58
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-3.7
CCCC(C)(COC(N)=O)COC(N)=O,0.7
CC(O)CO,-0.92
[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O,-0.62
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,3.67
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,3.21
NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1,-1.22
CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,0.19
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,3.87
O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1,2.3
CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,5.8
CN1CCC2=CC=CC3=C2[C@H]1CC1=C3C(O)=C(O)C=C1,2.3
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.07
CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,2.69
CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,1
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.36
C[C@@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@H]23)CC1=O,3.99
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,3.32
CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=N(=O)C1,2.44
CC1=CC(=O)C2=C(C=CC=C2)C1=O,2.2
CN(C)CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,4.76
CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,4.88
OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,4.2
CN(C)CCCN1C2=CC=CC=C2SC2=C1C=CC=C2,4.55
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.05
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O,-2.1
CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,3.27
COC1=CC=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1OC,2.95
OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl,4.45
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,-0.07
NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O,-0.24
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,-1.98
CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,-1.85
CCOC1=C(C=CC(N)=C1)C(O)=O,0.99
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(Br)C(=O)NC1=O,-0.29
CCN(CC)C(=O)C1=CC=CN=C1,0.33
O=C1NC2=CC=CC=C2C=C1,1.26
NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=C2C=CC=CC2=N1,1.68
CNC[C@H](O)C1=CC=CC(O)=C1,-0.31
CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,2.14
CC1=CC=CC=C1OCC(O)CO,1.41
O=C1CC2=CC=CC=C2N1,1.16
O=C1NC2=C(O1)C=CC=C2,1.16
CC1=C(Cl)C=CC(O)=C1,3.1
CC(C)NCC(O)C1=CC(Cl)=C(Cl)C=C1,3.32
CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1,1.49
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,-0.26
OC(=O)C1=CC=CN=C1,0.36
NC(=O)NN=CC1=CC=C(O1)[N+]([O-])=O,0.23
O=NN1CCOCC1,-0.44
C(C1=NCCN1)C1=CC=CC=C1,2.65
NC1=CC=C(C=C1)N=NC1=CC=CC=C1,3.41
CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1,4.58
OCCC1=CC=CC=C1,1.36
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-2.26
CN1CC(=O)NC1=N,-1.76
CCOCC,0.89
NCCCCCC(O)=O,-2.95
CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,7.05
CNN,-1.05
CC(N)=O,-1.26
CNC(=O)CSP(=S)(OC)OC,0.78
[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,-1.3
CN1C=CNC1=S,-0.34
CN1N(C(=O)C=C1C)C1=CC=CC=C1,0.38
CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C,4.81
NC1=C2N=CN([C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3O)C2=NC=N1,-2.96
COC1=CC2=C(SC3=C(C=CC=C3)N2C[C@H](C)CN(C)C)C=C1,4.68
COC1=CC2=C(SC3=CC=CC=C3N2CCCN(C)C)C=C1,4.9
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OC)C=CC=C1OC)C(O)=O,1.22
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,1.83
NCCC1=CNC2=CC=CC=C12,1.55
[O-][N+](=O)C1=CN=C(S1)N1CCNC1=O,0.95
CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1,5.12
CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1Cl,2.48
Cl.CNC[C@H](O)C1=CC(O)=CC=C1,-0.31
NC1=CC=C(C=C1)C(=O)NCC(O)=O,-0.89
NC1=NC2=C(O1)C=CC(Cl)=C2,2.46
NC1=NNC=N1,-0.97
CC(C)C[C@H](N)C(O)=O,-1.52
OC(=O)C1=CC=C(C=C1)[N+]([O-])=O,1.89
CCOC1=CC=C(NC(C)=O)C=C1,1.58
NC1=CC=CC=C1,0.9
CC(N)=S,-0.26
NC(N)=S,-1.08
O[C@H]1C=C[C@H]2[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3CC=C)=C(O)C=C4,1.86
COP(=O)(OC)OC=C(Cl)Cl,1.43
CN(C)N=O,-0.57
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,2.75
CNC(=O)OC1=C2C=CC=CC2=CC=C1,2.36
CSCC[C@H](N)C(O)=O,-1.87
NC1=CC=C(C=C1)S(N)(=O)=O,-0.62
COC(=O)C1=CCCN(C)C1,0.35
NC(=O)NC(=O)CC1=CC=CC=C1,0.87
CC1=CC=CC(NC(N)=O)=C1,1.29
CNC(=O)OC1=CC=CC(=C1)C(C)C,2.63
NCCC1=CC=CC=C1,1.41
NC(=O)NC1=CC=CC=C1,0.83
COC1=CC=C(CC(C)N)C=C1,1.77
CCO,-0.31
OC=O,-0.54
CC(O)=O,-0.17
CCC(=O)OC1(C[C@H](C)N(C)C[C@H]1C)C1=CC=CC=C1,3.13
CCOS(=O)(=O)OCC,1.14
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,2.34
[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,2.88
COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O,1.3
CC1=C(O)C(CO)=C(CO)C=N1,-0.77
NC(=O)C1=CC=CC=C1O,1.28
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-2.51
NC1=CC=C(C(O)=O)C(O)=C1,0.89
CC1=CNC(=O)NC1=O,-0.62
OC(=O)C1=CC=CC=C1,1.87
OC(=O)C1=CC(O)=NC(O)=N1,-0.83
O=C1NC=CC(=O)N1,-1.07
CCCCCC=O,1.78
[H][C@@]12CC[C@]3(O)C[C@@H](O)CC[C@]3(C=O)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1,0.64
C1=CC2=C(N=C1)C1=C(C=CC=N1)C=C2,1.78
OC1=C(CC2=C(O)C3=CC=CC=C3OC2=O)C(=O)OC2=CC=CC=C12,2.07
CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1,2.38
[H][C@]1(C[C@@H](C)C[C@H](C)C1=O)[C@H](O)CC1CC(=O)NC(=O)C1,0.55
O=C1OC2=CC3=C(C=CO3)C=C2C=C1,1.67
[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O,-0.47
[O-][N+](=O)C1=CC=C(O1)C=NN1CCOC1=O,-0.04
CC1=CC(C)=NN1,1.01
O=C1CC(=O)NC(=O)N1,-1.47
CO,-0.77
CC(C)O,0.05
CC(C)=O,-0.24
ClC(Cl)Cl,1.97
CS(C)=O,-1.35
CS(C)(=O)=O,-1.41
ClC(Cl)(Cl)C(Cl)(Cl)Cl,4.14
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,2.48
[H][C@@]12C[C@@H](OC(C)=O)[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1.92
OC(=O)CS,0.09
CN(C)C=O,-1.01
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],2.97
C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,5.68
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1,-0.09
ClC(Cl)(Cl)C1=CC=C(C=C1)C(Cl)(Cl)Cl,4.62
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-0.13
O=C1N=CNC2=C1NC=N2,-1.11
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.17
OCCN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(C=C23)C(F)(F)F)CC1,4.36
NC1=C2C=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,-0.8
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,1.35
OC(=O)C1=C(O)C=CC=C1,2.26
O=C1NC2=C(NC=N2)C(=O)N1,-0.73
O=C1NC2=C(N1)C(=O)NC(=O)N2,-2.17
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,-0.46
BrCC(=O)C1=CC=CC=C1,2.19
NCCC[C@H](N)C(O)=O,-4.22
OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl,7.54
N[C@@H](CC(N)=O)C(O)=O,-3.82
CC1=CC=C(C=C1)S(N)(=O)=O,0.82
CCC(=O)C1=CC=C(O)C=C1,2.03
N[C@@H](CC1=CN=CN1)C(O)=O,-3.32
CCCO,0.25
NC1=CC=NC(=O)N1,-1.73
O=C1NC=NC(=O)N1,-1.87
CCCCO,0.88
CCCCCO,1.51
C1=CC=CC=C1,2.13
CC(Cl)(Cl)Cl,2.49
[H][C@@]1(C[C@H](O)[C@H](O[C@@]2([H])C[C@H](O)[C@H](O[C@@]3([H])C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@]([H])(CC[C@]3([H])[C@]2([H])CC[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,1.85
[Br-].CC[N+](CC)(CC)CC,-2.82
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,0.05
CC(C)[C@H](N)C(O)=O,-2.26
C[C@@H](O)[C@H](N)C(O)=O,-2.94
COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,5.08
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,6.02
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,6.51
CNCCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,4.51
NC1=NC=NC2=C1N=CN2,-0.09
CC[C@H](C)[C@H](N)C(O)=O,-1.72
NC1=NC2=C(N=CN2)C(=O)N1,-0.91
NS(=O)(=O)C1=C(C=C2NC(CC3=CC=CC=C3)NS(=O)(=O)C2=C1)C(F)(F)F,1.89
OC(=O)C1=CC=C(Cl)C=C1,2.65
N[C@@H](CCCNC(N)=N)C(O)=O,-4.2
C,1.09
CBr,1.19
CC,1.81
C=C,1.13
C#C,0.37
CCl,0.91
CI,1.51
CN,-0.57
C#N,-0.25
BrCBr,1.7
CCBr,1.61
ClCBr,1.41
CCC,2.36
CC#C,0.94
CCCl,1.43
CCI,2
CCN,-0.13
CC#N,-0.34
CC=O,-0.34
ClCCl,1.25
FCF,0.2
ICI,2.3
NC=O,-1.51
S=C=S,1.94
C1CC1,1.72
C1CO1,-0.3
BrC(Br)Br,2.4
CC(C)Br,2.14
ClC(Cl)Br,2
CC(C)C,2.76
CC(C)Cl,1.9
CC(C)I,2.89
CC(C)N,0.26
CC(Cl)Cl,1.79
ClC(Cl)=C,2.13
CC(F)F,0.75
FC(F)=C,1.24
FC(Cl)Cl,1.55
FC(F)Cl,1.08
FC(F)F,0.64
CN(C)C,0.16
C[N+]([O-])=O,-0.35
CC1CO1,0.03
FC(F)(F)Br,1.86
CC(C)(C)N,0.4
CC(C)(C)O,0.35
FC(Cl)(Cl)Cl,2.53
FC(F)(Cl)Cl,2.16
FC(F)(F)Cl,1.65
FC(F)(F)F,1.18
C[Si](C)(C)C,3.24
OCC(Br)(Br)Br,2.1
CCC(C)(C)C,3.82
CC(C)(C)CO,1.31
CCC(C)(C)O,0.89
ClC(Cl)(Cl)C=O,0.99
OCC(F)(F)F,0.41
CC(=O)C(C)(C)C,1.2
CC(C)(C)C(O)=O,1.48
CC(Cl)(Cl)C(O)=O,0.78
ClC(Cl)C(Cl)(Cl)Cl,3.22
OC(=O)C(Cl)(Cl)Cl,1.33
[O-][N+](=O)C(Cl)(Cl)Cl,2.09
FC(F)(Cl)C(F)(Cl)Cl,3.16
FC(F)(F)C(F)(F)F,2
CC1(C)C2CCC1(C)C(=O)C2,2.38
[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,2.53
COC(F)(F)C(Cl)Cl,2.21
CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@]2(O)CCC4=O)=C35,0.83
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,2.38
ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,6.1
[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,1.19
C=CCC1(C2CCC=C2)C(=O)NC(=O)NC1=O,1.51
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,1.97
CCCC(C)C1(CC)C(=O)NC(O)=NC1=O,2.1
CCCC(C)C1(CC)C(=O)NC(S)=NC1=O,2.85
CCC1(C(C)C)C(=O)NC(=O)NC1=O,0.97
ClC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,5.25
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,3.68
OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,2.3
