SMILES,LogBCF
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,2.63
OC(=O)C(O)(c1ccccc1)c1ccccc1,0.26
C1C=CC2C3CC(C=C3)C21,2.34
CCOP(=O)(OCC)OCC,0.11
CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC,1.7
O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,0.76
CC1CC(C)(C)CC(=O)C=1,0.3
O(OC(C)(C)C)C(CCC(OOC(C)(C)C)(C)C)(C)C,3.48
CC(=C)C=C,1.3
CC(Cl)CCl,0.85
ClCC(Cl)Cl,0.7
ClC=C(Cl)Cl,1.2
BrC(Br)C(Br)Br,0.74
ClC(Cl)C(Cl)Cl,1.11
CC(C)[N+]([O-])=O,0.92
CC1(C)C2CC(CC2)C1=C,2.98
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,2.43
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.64
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,2.62
N(=O)(=O)c(c(c(N(=O)(=O))c(c1N(=O)(=O))C(C)(C)C)C)c1C,3.61
Nc1ccc2ccccc2c1S(O)(=O)=O,0.78
[Cl-].CCN(CC)c1cc2[o+]c3cc(ccc3c(-c3ccccc3C(O)=O)c2cc1)N(CC)CC,0.23
O=C1c2cccc3cccc(c32)-c2ccccc21,2.09
O=C1c2cccc(Cl)c2C(=O)c2ccccc12,2.3
Nc1cccc2c1C(=O)c1ccccc1C2=O,1.98
[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.74
C1Cc2cccc3cccc1c23,2.88
Cc1c(Cl)cccc1[N+]([O-])=O,1.99
CC(=C)[C@H]1Cc2c3O[C@@H]4COc5cc(OC)c(cc5[C@@H]4C(=O)c3ccc2O1)OC,1.41
c1ccccc1-c1ccccc1-c1ccccc1,3.48
CCc1cc2c(cc1)C(=O)c1ccccc1C2=O,0.98
O=C(N(N=C1C)c(c(cc(S(=O)(=O)O)c2Cl)Cl)c2)C1,1.51
CCCCOC(=O)c1ccccc1C(=O)OCCCC,2.22
[Br-].[Br-].C1C[n+]2ccccc2-c2cccc[n+]21,0.76
c1cc2ccccc2c2ccccc21,3.4
c(c(c(c(c1Br)Br)Br)Br)(c1Br)CC,2.52
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1.21
O=NN(c1ccccc1)c1ccccc1,1.33
C1c2ccccc2-c2ccccc21,2.72
c1cccc2[nH]c3ccccc3c21,2.23
O=C(O)Cc(c(c(ccc1)cc2)c1)c2,0.47
Nc1cc2cc(cc(O)c2cc1)S(O)(=O)=O,0.38
COc1c(Cl)cc(Cl)cc1Cl,2.86
Clc1c(Cl)cccc1Cl,2.82
Oc1c(Cl)cccc1Cl,1.08
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.82
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,3
Cc1c(Br)c(Br)c(Br)c(Br)c1Br,2.43
ClC1C(Br)C(Br)C(Br)C(Br)C1Br,2.41
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.66
Oc1c(Cl)cc(Cl)cc1Cl,1.94
Cc1ccccc1S(N)(=O)=O,0.41
Cc1cc(c(N)cc1)S(O)(=O)=O,0.6
Cc1ccccc1[N+]([O-])=O,1.26
[O-][N+](=O)c1ccccc1Cl,1.17
Nc1ccccc1[N+]([O-])=O,1
[O-][N+](=O)c1ccccc1O,1.34
CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,1.79
[O-][N+](=O)c1cc(c(O)c(c1)[N+]([O-])=O)[N+]([O-])=O,0.34
O=C(O)C(C(C(=O)O)CC=C1)C1,0.3
Cc1ccc(Cl)cc1[N+]([O-])=O,1.92
[O-][N+](=O)c1cc(Cl)ccc1Cl,2.05
Nc1ccc(Cl)cc1[N+]([O-])=O,1.04
[O-][N+](=O)c1cc(Cl)c(Cl)cc1Cl,1.84
Cc1ccccc1CN,0.66
Cc1cccc2ccccc21,1.73
c1cccc2c(cccc21)Nc1ccccc1,3.23
Nc1ccccc1-c1ccccc1,1.41
Nc1cc2c(cc1)cc(cc2O)S(O)(=O)=O,0.61
O=C(c(ccc(N(C)C)c1)c1)c(ccc(N(C)C)c2)c2,1.45
N#Cc1ccccc1C#N,0.7
c1cccc2ccccc21,1.93
c1cccc2[n]cccc21,0.58
COc1ccccc1[N+]([O-])=O,0.7
Cc1cc2ccccc2cc1,1.87
Clc1cc2ccccc2cc1,3.63
CCN(CC)c1ccccc1,2.01
Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,2.16
O=C(Nc(c(cc(c(ccc(NC(=O)CC(=O)C)c1C)c1)c2)C)c2)CC(=O)C,0.2
c1ccccc1-c1ccccc1,2.64
Oc1ccc(cc1)-c1ccccc1,1.59
Oc1cc2ccccc2cc1C(O)=O,0.6
Oc1cc2ccccc2cc1C(=O)Nc1ccccc1,0.81
c1cccc2Nc3ccccc3Sc21,2.55
Brc1ccc(cc1)-c1ccc(Br)cc1,3.92
[O-][N+](=O)c1cc2[n]c[nH]c2cc1,0.4
c1[n]c2ccccc2[s]1,0.88
Cc1ccccc1C,1.15
Cc1ccccc1O,1.03
Cc1ccccc1Cl,1.82
Clc1ccccc1Cl,2.43
Nc1ccccc1Cl,0.95
Oc1ccccc1Br,1.52
Oc1ccccc1Cl,1.35
Cc1cc(C)c(C)cc1,2.08
Cc1cc(N)ccc1C,0.95
Cc1cc(Cl)ccc1N,1.54
Nc1cc(Cl)c(Cl)cc1,1.11
Oc1cc(Cl)c(Cl)cc1,1.69
Cc1cc(N)c(C)cc1,0.58
Cc1ccc(N)cc1N,1.7
Nc1cc(Cl)ccc1Cl,1.18
Clc1cc(Cl)c(Cl)cc1Cl,3.44
Oc1cc(Cl)c(Cl)cc1Cl,2.73
ClCC(Br)CBr,1.06
ClC(CCl)CCl,1.11
CCC(C)=NO,0.7
N(C(=S)NC1)C1,0.26
CC(C)(C)c1cc(ccc1O)C(C)(C)C,2.4
Nc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.47
COc1cc(c(N)cc1)[N+]([O-])=O,0.85
Oc(c(cc(c1)Cl)Cc(c(O)ccc2Cl)c2)c1,2.28
FC(F)(F)c1ccccc1,1.65
NS(=O)(=O)c1ccccc1,0.68
FC(F)(F)c1cccc(Cl)c1,2.35
Oc(ccc(c1)C(C)(C)C)c1,1.83
CC(C)(C)c1ccc(cc1)C(O)=O,0.66
CC(C)c1ccccc1,1.55
CC(=C)c1ccccc1,1.8
CC(N)c1ccccc1,0.82
[O-][N+](=O)c1ccccc1,0.67
Cc1cc(ccc1)[N+]([O-])=O,1.08
Nc1cc(ccc1)[N+]([O-])=O,0.48
[O-][N+](=O)c1cc(Cl)c(Cl)cc1,1.71
CC(C)c1cc(ccc1)C(C)C,3.28
[O-][N+](=O)c1cc(ccc1)[N+]([O-])=O,0.77
CCC(C)c1ccc(O)cc1,1.31
Cc1ccc(cc1)[N+]([O-])=O,0.9
[O-][N+](=O)c1ccc(Cl)cc1,1.3
Nc1ccc(cc1)[N+]([O-])=O,0.6
[O-][N+](=O)c1ccc(O)cc1,0.71
COc1ccc(cc1)[N+]([O-])=O,1.08
CC(C)c1ccc(cc1)C(C)C,3.24
OC(=O)c1ccc(c[n]1)C(O)=O,0.76
C=CC1CC=CCC1,2.22
C=Cc1ccccc1,1.13
C=Cc1cc[n]cc1,1.86
CNc1ccccc1,1
Cc1cc(C=C)ccc1,1.55
Nc1ccc(Cc2cc(Cl)c(N)cc2)cc1Cl,2.24
Oc1ccc(Cc2ccccc2)cc1,1.33
Nc1ccc(Cc2ccc(N)cc2)cc1,1.18
C(c1ccccc1)c1ccccc1,2.94
c1ccccc1Oc1ccccc1,2.5
N=C(Nc1ccccc1)Nc1ccccc1,1.3
C=CCN(CC=C)CC=C,0.55
OCCN(CCO)CCO,0.59
N(CCCC)(CCCC)CCCC,1.4
O(CC(CCCC)CC)C=C,2.78
C(OCc1ccccc1)c1ccccc1,2.43
CCNc1ccccc1,1.11
CN(C)Cc1ccccc1,1.15
CCCCCCCCCc1ccc(O)cc1,2.58
O=Cc1ccc(Cl)cc1,0.32
CCc1ccc(CC)cc1,2.68
C=Cc1ccc(cc1)C=C,2.48
Brc1ccc(Br)cc1,2.21
Oc1ccc(Br)cc1,1.17
Cc1ccc(C)cc1,1.17
Cc1ccc(Cl)cc1,1.76
Clc1ccc(Cl)cc1,2.62
Nc1ccc(Cl)cc1,0.84
Oc1ccc(Cl)cc1,1.48
BrCCBr,1.18
C=CCCl,0.7
CC(=C)CC(C)(C)C,2.78
Brc1cc(Br)ccc1,2.82
Cc1cc(C)ccc1,1.17
Nc1cc(Cl)ccc1,0.35
Oc1cc(Cl)ccc1,1.2
Nc1cc(N)ccc1,0.81
C=Cc1cc(ccc1)C=C,2.54
O(C(CCl)C)C(CCl)C,1.08
Cc1cc(C)cc(C)c1,2.27
Clc1cc(Cl)cc(Cl)c1,2.97
Nc1[n]c(N)[n]c(N)[n]1,0.58
Oc1[n]c(O)[n]c(O)[n]1,-0.3
Brc1ccccc1,1.36
CC1CCCCC1,2.27
Cc1ccccc1,0.92
Clc1ccccc1,1.25
Oc1ccccc1,1.24
Clc1cccc[n]1,1.28
CCCCCl,1.23
c1ccco1,0.7
c1ccc[s]1,0.95
C1CCCCC1,1.92
C1CNCCN1,0.59
C1COCCN1,0.45
CC(O)COCC(C)O,0.66
NCCNCCN,0.65
NCCNCCO,0.46
ClCCOCCCl,1
N#CCCNCCC#N,0.08
CCCCCCCCCCCC,2.38
O=C(O)C(C(C(=C(C12Cl)Cl)Cl)(C1(Cl)Cl)Cl)C2C(=O)O,0.32
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,3.79
OCC(CO)(CO)CO,0.1
O=P(Oc(cccc1)c1)(Oc(cccc2)c2)Oc(cccc3)c3,2.28
O=P(OCCCl)(OCCCl)OCCCl,0.11
[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,3.23
Nc1cc2c(cc1)C(=O)c1ccccc1C2=O,1.51
O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,2.77
CCNc1cccc2ccccc21,2.32
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.33
Oc1c(Br)cc(Br)cc1Br,2.71
C(F)(F)(F)c1cc(Cl)ccc1N(=O)=O,1.87
OC(=O)c1ccccc1Cl,1
Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,0.99
CCOP(=S)(OC1C=CC(=O)N(N=1)c1ccccc1)OCC,0.67
Cc1cc(c(O)cc1)[N+]([O-])=O,0.95
Oc(c(cc(c1)C)Cc(c(O)c(cc2C)C(C)(C)C)c2)c1C(C)(C)C,2.74
OC(c(cccc1)c1)c(ccc(c2)Cl)c2,1.79
O=C(c1ccccc1)c1ccccc1,1.08
C1CCCc2ccccc21,2.53
Nc(c(cc(c(ccc(N)c1C)c1)c2)C)c2,1.67
c1c2ccccc2cc2ccccc21,3.26
N(C(=S)SSSSC(N(CCCC1)C1)=S)(CCCC2)C2,1.23
Cc1ccc(OC)c(N)c1,0.55
c1cccc2[s]c([n]c21)SSc1[n]c2ccccc2[s]1,1.42
Clc1cc(Cl)c(Cl)cc1,3.32
Oc1ccc(Cl)cc1Cl,1.53
Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.96
CCN(CC)CC,0.69
CN(C)c1ccccc1,0.9
[O-][N+](=O)c1cccc(Cl)c1,1.89
CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,1.52
N(=O)(=O)N(CN(N(=O)(=O))CN1N(=O)(=O))C1,0.3
[O-][N+](=O)c1cc(ccc1)C(O)=O,0.85
Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,1.95
CC(O)CN(CC(C)O)CC(C)O,-0.24
CCNc1[n]c(Cl)[n]c(NCC)[n]1,0.56
c1ccccc1Nc1ccccc1,2.18
CC1OC(C)OC(C)O1,0.48
C1COCCO1,-0.3
C(=C)CCCCCCC,3.17
CC(C)(CO)CO,0.67
O=S1(=O)CCCC1,0.85
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,0.51
O=P(OCCCC)(OCCCC)OCCCC,1.47
ClC(Cl)=C(Cl)Cl,1.72
CC(Cl)(Cl)C(O[Na])=O,0.86
C[C@]12CCC[C@](C)([C@@H]1CCC1=C[C@@](C)(CC[C@H]21)C=C)C(O)=O,1.92
[Na]OS(=O)(=O)c1cccc(c1)N(=O)=O,0.7
C(Cl)(Cl)(Cl)C(Cl)COCC(Cl)C(Cl)(Cl)Cl,3.28
Oc(c(cc(c1)C)C(C)(C)C)c1C(C)(C)C,3.03
c1cc2cccc3ccc4cccc1c4c32,3.18
Oc1cccc2c1C(=O)c1ccccc1C2=O,2.25
c1cc(N)c2ccccc2c1S(=O)(=O)O[Na],0.78
O=C1c2cc(Cl)ccc2C(=O)c2ccccc12,2.28
[Na]Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.78
COc1cc(O)c(cc1)C(=O)c1ccccc1,1.97
c1cccc2oc3ccccc3c21,3.18
c1cccc2[s]c3ccccc3c21,3.05
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1.98
Nc1cccc2ccccc21,1.4
O=C(Nc(ccc(c1cc(S(=O)(=O)O)c2)c2O)c1)Nc(ccc(c3cc(S(=O)(=O)O)c4)c4O)c3,0.26
O=C(N(CC)CC)c(cccc1C)c1,0.38
c1c(ccc2ccccc21)Nc1ccccc1,2.37
CN(C)C(=S)SSC(=S)N(C)C,0.53
CC(C)(C)CC(C)(C)c1ccc(O)cc1,2.46
CCc1cc(CC)ccc1,2.73
CCCCOCCCC,1.86
O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl,3.19
CC(C)C(O)C(C)(C)CO,0
Sc1[n]c2ccccc2[s]1,0.9
CCOc1ccc(N)cc1,1
c1ccc2c3c(cccc31)-c1ccccc1-2,3.56
c1ccc2C=Cc3cccc1c32,2.43
c4ccc3nc2ccc1ccccc1c2cc3c4,2.02
c1c2c(ccc3ccccc32)[n]c2c3ccccc3ccc21,2.03
n(c(c(ccc1)cc2cccc3)c1)c23,2.1
C1CCCCCCCCCCC1,3.91
COP(=S)(OC)Oc1ccc(cc1)N(=O)=O,1.93
CCSCCSP(=S)(OCC)OCC,2.34
CCOP(S)(=S)OCC,0.7
O=P(OCC(CCCC)CC)(OCC(CCCC)CC)O,0.64
COP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)OC,3.58
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|",3.74
CC1NC(=O)N(C(C)CC)C(=O)C=1Br,0.51
CN(C)c1c(C)cc(cc1C)OC(=O)NC,1.42
FC(F)(F)c1ccc(Cl)cc1Cl,3.37
FC(F)(F)c1cc(Cl)c(Cl)cc1,3.18
CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,1.15
CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,1.25
Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,1.85
NC(=N)NC#N,0.49
Nc1c[n]ccc1,0.32
C(C(CC1)=C(C)C)=C(CCC2C(C3)(C(=O)O)C)C1C2(CC3)C,2.17
Nc1cccc2cccc(N)c12,0.8
C(C(CCC1)CCC2)(C1)C2,3.245
COP(=S)(OC)Oc1ccc(N(=O)=O)c(Cl)c1,1.55
C[C@@H]1CCC[C@H](C)N1,0.7
Nc1cc[n]cc1,0.66
Nc1cccc[n]1,1.06
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.68
COP(=O)(OC)OC,0.15
CC(C)C1CC[C@H]2C(C=1)=CC[C@H]1[C@@](C)(CCC[C@]21C)C(O)=O,1.97
Cc1c(C)cccc1C,2.29
O=C(O)C(Br)C(Br)C(=O)O,0.81
Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.71
Cc1cc(C)c(O)c(C)c1,0.93
Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.46
Cc1cccc(c1)C(C)C,2.73
c(cccc1Cl)(c1)Cl,2.33
ClC1CCCCC1,2.34
CC(C)CCOCCC(C)C,2.23
CCCCCCCCCCCCCCCC,3.7
Nc1ccc(Cl)cc1Cl,1.36
[O-][N+](=O)c1cccc(O)c1,1.4
COc1cc(ccc1)[N+]([O-])=O,0.78
Oc1cccc(Cl)c1Cl,1.13
[Na+].CCC(COC(=O)CC(C(=O)OCC(CCCC)CC)S([O-])(=O)=O)CCCC,0.97
c(c(ccc1)C(C)C)(c1)C(C)C,2.14
CC(=O)N(C)c1ccccc1,0.18
N(c(c(N1)ccc2)c2)=C1S,0.41
Oc1cc(Cl)ccc1Cl,1.01
Oc1cc(Br)ccc1,1.18
Nc1cc(O)ccc1,1.34
Oc1cc(Cl)cc(Cl)c1,1.91
[O-][N+](=O)c1cccc(c1C(O)=O)C(O)=O,0.72
Cc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,1.34
COC(=O)c1ccccc1C(=O)c1ccccc1,1.15
Clc1c(Cl)c(Cl)cc(Cl)c1Cl,3.75
[O-][N+](=O)c1cc(Cl)cc(Cl)c1O,1.32
O=N(=O)c(c(N(=O)=O)ccc1C)c1,0.48
[O-][N+](=O)c1ccc(Cl)cc1Cl,2.07
Cc1ccccc1NC,0.95
CCc1ccccc1[N+]([O-])=O,1.11
Brc1cc(Br)c(Br)cc1,3.63
Cc1ccc(Cl)c(O)c1,0.67
Cc1c[s]cc1,0.72
[O-][N+](=O)c1cc(Cl)cc(Cl)c1,2.23
Cc1ccc(cc1)NCC,0.61
Cc1ccc(C=C)cc1,1.5
N#Cc1ccc(cc1)C#N,0.3
N#Cc1cc(ccc1)C#N,0.75
Brc1cc(Br)cc(Br)c1,3.7
CN1CCCCC1,0.65
[Na+].CCCCCCCCCCCC([O-])=O,2.4
Clc1ccc(Cl)c(Cl)c1Cl,3.38
Nc1ccc(Cl)c(Cl)c1Cl,2
Nc1cc(Cl)c(Cl)c(Cl)c1Cl,2.21
Clc1cc(Cl)c(Cl)c(Cl)c1,3.59
Nc1cc(Cl)c(Cl)c(Cl)c1,2.36
Nc1c(Cl)cc(Cl)cc1Cl,2
Brc1cc(Br)c(Br)cc1Br,3.59
Nc1cc(Cl)c(Cl)cc1Cl,2.33
CN(C)P(=O)(N(C)C)N(C)C,-0.3
Cc1cccc(c1)NC,0.86
CCC(=O)Nc1cc(Cl)c(Cl)cc1,1.84
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,0.26
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,4.14
C=CC(Cl)CCl,1.11
C(=CC=C(C)C)(C)C,2.32
N#Cc1ccc(O)cc1,0.91
Clc1ccccc1NNc1ccccc1Cl,3.66
O=C(N(C(=O)N(C1(=O))CCO)CCO)N1CCO,0.2
OCc1cccc(Cl)c1,1.29
Cc1c(Cl)c(Cl)c(C)c(Cl)c1Cl,3.62
Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.83
[O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl,1.9
OC(C(F)(F)F)C(F)(F)F,0.4
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,2.15
COc1c(Cl)cc(Cl)c(Cl)c1Cl,3.34
COc1cc(Cl)c(Cl)c(Cl)c1Cl,3.67
S(=O)(=O)(O[Na])c1c(Cl)ccc(N(=O)=O)c1,0.48
O=C1CCCCCCCCCCCN1,0.41
Clc1cc2ccccc2c2ccccc21,3.49
COC1=NN(CSP(=S)(OC)OC)C(=O)S1,0.74
COP(=O)(OC(=CCl)c1cc(Cl)c(Cl)cc1Cl)OC,1.61
CCOP(=O)(OCC)Oc1cc(C)nc(n1)C(C)C,-0.35
CCCCCCCCN(CCCCCCCC)CCCCCCCC,1.93
OC(=O)c1cc2ccc(cc2cc1)C(O)=O,0.81
O(c(c(c(c(c1Br)Br)Br)Br)c1Br)c(c(c(c(c2Br)Br)Br)Br)c2Br,3.38
S=C(NC1CCCCC1)NC1CCCCC1,0.64
CCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CCCC,2.49
CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C,4.36
NCc1cc(CN)ccc1,0.43
CC(C)C1CCC(C)CC1O,1.035
O=C(C(C(=CCCC1)C1)CCC2)C2,0.7
FC(F)C(F)(F)Oc1ccc(C(C)(C)c2ccc(OC(F)(F)C(F)F)cc2)cc1,4.35
Cc1cc(Cl)ccc1O,1.33
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,3.36
O=P(OCC=C)(OCC=C)OCC=C,0.08
CN(C)C1CSSC1,1.72
COC(C)(C)C,0.18
CCOC(=O)C(CC(=O)OCC)SP(=O)(OC)OC,0.05
O=C(O)C(C(C(=O)O)CCC1)C1,0.3
CC(=C)c1ccc(Cl)cc1,2.84
CC(C)c1ccc2c(CC[C@H]3[C@@](C)(CCC[C@]23C)C(O)=O)c1,2.12
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,4.99
CN(OC)C(=O)Nc1ccc(Cl)cc1,1.15
OP(=O)c1ccccc1,0.78
OCc1cc(Cl)c(Cl)cc1,0.54
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.16
Clc1ccc(Cl)c2ccccc12,3.75
[O-][N+](=O)c1ccc(cc1)Oc1c(Cl)cc(Cl)cc1Cl,3.31
O=C(c(cccc1)c1)c(c(O)cc(OCCCCCCCC)c2)c2,1.9
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1.8
[Cl-].[Cl-].C[n+]1ccc(cc1)-c1cc[n+](C)cc1,0.28
CCNc1[n]c(Cl)[n]c(NC(C)C)[n]1,0.9
CC(C)C1CCC2=C(CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(O)=O)C=1,1.4
c1c(O)ccc(C)c1N(=O)=O,1
Clc1cccc2cccc(Cl)c12,3.79
Oc1c2ccccc2c(Cl)cc1Cl,1.35
Clc1c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.24
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)c1ccccc1,2.97
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)OC,3.59
CC1CNC(=S)N1,1
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,5.82
CC(C)COc1cc2ccccc2cc1,2.8
CCSC(=O)N1CCCCCC1,1.41
COc1cccc2ccccc21,2.21
Clc1c2c(c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c2Cl,2.58
Nc1cccc2c1cccc2N,0.65
O=P(OC)(OC)Oc1cc(C)c(N(=O)(=O))cc1,0.44
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C12Cl)C4(Cl)Cl,4.31
COc1cc(Cl)c(Cl)cc1O,2.03
COP(=S)(Oc1ccc(cc1Cl)[N+]([O-])=O)OC,1.89
CCS(=O)(=O)CCSP(=S)(OCC)OCC,0.7
CCS(=O)CCSP(=S)(OCC)OCC,0
O=C(c(c(c(c(c1)ccc2)c2)C(=O)c3cccc4)c1)c34,1.69
Cc1cc2ccc3ccccc3c2cc1,3.48
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,3.08
Cc1cc(O)ccc1[N+]([O-])=O,1.06
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,1.69
CNC(=O)Oc1ccccc1C(C)C,0.95
COP(=S)(Oc1ccc(cc1)C#N)OC,1.56
CNC(=O)Oc1cc(C)cc(C)c1,0.4
COc1cc(Cl)c(Cl)c(Cl)c1O,1.97
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)-c1ccccc1,3.78
O=N(=O)N(CN(N(=O)=O)CN(N(=O)=O)CN1N(=O)=O)C1,-0.3
CC1=CC(=O)N=C(N1)C(C)C,0.26
CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,3.18
O(CN(c(nc(nc1N(COC)COC)N(COC)COC)n1)COC)C,0.54
[O-][N+](=O)c1cccc(Cl)c1Cl,2.16
BrCC(CBr)(CBr)CBr,1.94
Clc1c2Oc3c(Oc2c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,3.12
OCC(CBr)(CBr)CO,0.68
