SMILES,LogHL
CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1,-5.66756154
CC1=C(OCC(O)=O)C=CC(Cl)=C1,-8.876148359
OC(=O)COC1=C(Cl)C=C(Cl)C=C1,-7.450996738
CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,-6.311580178
CC1=C(OCCCC(O)=O)C=CC(Cl)=C1,-8.567030709
CCCC(O)C(CC)CO,-7.863279433
CCN(CC)C(=S)SCC(Cl)=C,-5.188424994
CC1=C(C)C=CC=C1,-2.28567024
CC1=C(O)C=CC=C1,-5.920818754
CC1=C(Cl)C=CC=C1,-2.447331784
ClC1=C(Cl)C=CC=C1,-2.716698771
NC1=C(Cl)C=CC=C1,-5.268411235
CC1=C(N)C=CC=C1,-5.70333481
NC1=C(N)C=CC=C1,-8.142667504
OC1=CC=CC=C1Cl,-4.950781977
CC1=CC(C)=C(C)C=C1,-2.210419288
CC1=CC=C(N)C=C1C,-5.730487056
CC1=C(C)C=C(O)C=C1,-6.381951903
CC1=CC(Cl)=C(Cl)C=C1,-2.590574131
NC1=CC(Cl)=C(Cl)C=C1,-4.835647144
CC1=CC(N)=C(C)C=C1,-5.369572125
CC1=CC(O)=C(C)C=C1,-5.950781977
CCOC(=O)C(=O)OCC,-5.655607726
ClC1=CC(Cl)=C(Cl)C=C1Cl,-3
OC1=C(Cl)C=C(Cl)C(Cl)=C1,-5.790484985
C1OC1C1=CC=CC=C1,-4.801342913
ClCC(Br)CBr,-3.832682665
CCC(C)CC,0.226084116
ClCC(Cl)CCl,-3.46470588
CCC(=O)CC,-4.301029996
OC(CCl)CCl,-5.88941029
OCC(O)CCl,-7.536107011
COC(=O)C=C,-3.701146924
COC(=O)CCl,-4.625251654
CC1CCCC1,-0.440093375
CC1CCCO1,-4.031517051
O=C1CCCO1,-7.278189385
CC(OP(C)(F)=O)C(C)(C)C,-5.3400838
CC(C)N(CCO)C(C)C,-5.896196279
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,-5.549750892
OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,-11.93930216
COC1=C(O)C=CC(CC=C)=C1,-5.701146924
CCOC(=O)C(C)=C,-3.241845378
CCOC(=O)C(C)O,-6.234331445
CC(C)COC(=O)C(C)C,-3.085128182
CC(C)COC(=O)C(C)=C,-3.281498311
CCCCOC(=O)C(C)=C,-3.304518324
CCC(CC)CO,-4.289036881
OCC1=CC=CO1,-7.104577454
O=CC1=CC=CO1,-5.42365865
CC(C)(C)C1=CC=CC=C1,-1.880414225
FC(F)(F)C1=CC=CC=C1,-1.782516056
CC(C)(C)C1=CC=C(O)C=C1,-5.924453039
CC1=CCC(CC1)C(C)(C)O,-5.651695137
CC(C)C1=CC=CC=C1,-1.93930216
CC(=C)C1=CC=CC=C1,-2.59345982
CC(=O)C1=CC=CC=C1,-4.982966661
ClC(Cl)C1=CC=CC=C1,-3.400116928
CN(C)C1CCCCC1,-4.628932138
[O-][N+](=O)C1=CC=CC=C1,-4.619788758
CC1=CC(=CC=C1)[N+]([O-])=O,-5.031517051
NC1=CC(=CC=C1)[N+]([O-])=O,-8.101823517
NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,-7.330683119
[O-][N+](=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,-8.187086643
[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1,-5.093126465
[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,-7.30980392
CC(C)C1CCC(C)CC1,0.245512668
CC(C)C1=CCC(C)=CC1,-1.588380294
OC(=O)C1=CC=C(O)C=C1,-11.15614458
CN(C)C1=CC=C(C)C=C1,-4.312471039
CC1=CC=C(C=C1)[N+]([O-])=O,-5.249491605
[O-][N+](=O)C1=CC=C(Cl)C=C1,-5.310691141
NC1=CC=C(C=C1)[N+]([O-])=O,-8.899629455
OC1=CC=C(C=C1)[N+]([O-])=O,-9.381951903
C=CC1CCC=CC1,-1.348625056
CCC1=CC=CC=C1,-2.103473783
C=CC1=CC=CC=C1,-2.560667306
C=CC1=CC=NC=C1,-5.092588639
ClCC1=CC=CC=C1,-3.385102784
N#CC1=CC=CC=C1,-4.283162277
N#CC1=CC=NC=C1,-6.031984286
OCC1=CC=CC=C1,-6.472370099
O=CC1=CC=CC=C1,-4.573488739
N#CC1=CN=CC=C1,-6.562249437
CNC1=CC=CC=C1,-5.051587034
NNC1=CC=CC=C1,-8.354577731
ON=C1CCCCC1,-6.634512015
COC1=CC=CC=C1,-3.315154638
C=CC1=NC=CC=C1,-4.853871964
CCC1=NC=CC=C1,-4.782516056
O=NN1CCCCC1,-6.073657553
OC1=CC=CC(C=O)=C1,-8.602059991
C1N2CN3CN1CN(C2)C3,-8.785156152
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,-9.55129368
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,-6.244887734
ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1,-7.931814138
CN(C)C(=O)NC1=CC=CC=C1,-8.696803943
C(C1=CC=CC=C1)C1=CC=CC=C1,-3.88941029
O(C1=CC=CC=C1)C1=CC=CC=C1,-3.554395797
CCCN(CCC)CCC,-3.419075024
C=CCN(CC=C)CC=C,-3.580044252
OCCN(CCO)CCO,-12.15181088
CC(=O)OCC(COC(C)=O)OC(C)=O,-7.910094889
CCCCN(CCCC)CCCC,-3.795880017
CCCCC(CC)COC(=O)C=C,-3.364516253
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-6.36251027
C(=C/C1=CC=CC=C1)\C1=CC=CC=C1,-3.142064735
C1=CC=C(C=C1)N=NC1=CC=CC=C1,-4.869666232
CCOC(=O)C=CC1=CC=CC=C1,-5.370590401
C(OCC1=CC=CC=C1)C1=CC=CC=C1,-5.172630727
BrCCC1=CC=CC=C1,-2.818156412
CCCC1=CC=CC=C1,-1.978810701
CCNC1=CC=CC=C1,-5.009661145
CCOC1=CC=CC=C1,-3.355561411
OC(=O)CC1=CC=CC=C1,-7.387216143
CCCCCCCCCC1=CC=C(O)C=C1,-4.468521083
CCCCC1=CC=CC=C1,-1.799696817
CCCCCCCCCCC1=CC=CC=C1,-0.815308569
CCCCC(CC)CN,-4.021363052
CCCCC(CC)CO,-4.576754126
CC1=CC=C(C=O)C=C1,-4.759450752
CCC1=CN=C(C)C=C1,-4.721246399
COC1=CC=C(N)C=C1,-7.180456064
CCC1=CC=C(CC)C=C1,-2.122168109
CCCC(C)CO,-4.366531544
CCOC(=O)CC,-3.600326279
CCOC(=O)CCl,-4.391473966
COC(=O)CC(C)=O,-6.563837353
CCC(C)OC(C)=O,-3.377785977
CCOC(=O)CC(=O)OCC,-5.677780705
CCCC(=O)OCC,-3.399027104
CCOC(=O)CC#N,-6.539102157
CCOC(C)OCC,-4.010995384
CCOC(=O)OCC,-4.049148541
CN(CCO)CCO,-10.50307035
CCCOC(=O)CCC,-3.196542884
CC1=CC(C)=C(O)C=C1,-6.021819483
CCCCOC(=O)\C=C/C(=O)OCCCC,-6.427128398
CC(C)=CCC\C(C)=C/CO,-4.93930216
CCCCCCC(=O)OCC,-3.301899454
CCCCC(=O)CC,-4.041914151
CCCOC(=O)CC,-3.396855627
BrC1=CC=C(Br)C=C1,-3.049148541
CC1=CC=C(Br)C=C1,-2.632644079
ClC1=CC=C(Br)C=C1,-2.839231438
OC1=CC=C(Br)C=C1,-6.821023053
CC1=CC=C(C)C=C1,-2.161150909
CC1=CC=C(Cl)C=C1,-2.358525889
CC1=CC=C(O)C=C1,-6
ClC1=CC=C(Cl)C=C1,-2.617982957
NC1=CC=C(Cl)C=C1,-5.935542011
OC1=CC=C(Cl)C=C1,-6.202732459
CC1=CC=C(N)C=C1,-5.694648631
O=C1C=CC(=O)C=C1,-3.319664487
CC(C)COC(=O)C=C,-3.22475374
CCCCCC(=O)CC,-3.886056648
CCCCCC(=O)OC,-3.435333936
CCC1CO1,-3.744727495
ClCC1CO1,-4.517126416
BrCCBr,-3.187086643
CCCBr,-2.135488919
BrCC#C,-2.946921557
CCCC,-0.022413562
CCC=C,-0.632644079
C=CC=C,-1.133122186
C=CC=O,-3.913640169
CCCS,-2.389339837
ClCCBr,-3.041436117
ClCC=C,-1.958607315
ClCCCl,-2.928117993
OCCCl,-6.118615343
CCCI,-2.045275209
CCCN,-4.829738285
NCC=C,-4.739928612
CCC#N,-4.431798276
C=CC#N,-3.860120914
NCCN,-8.761953897
OCC=C,-5.301899454
OCC#C,-5.93930216
OCCO,-7.22184875
O=CC=O,-8.477555766
COC=C,-2.17327748
COC=O,-3.651695137
CC(C)OP(C)(F)=O,-6.242603971
C[Si](C)(C)O[Si](C)(C)C,0.985426474
CCOP(=O)(OCC)OP(=O)(OCC)OCC,-10
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.485721426
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,3.133538908
COC(C)(C)CC(C)=O,-5.714442691
CC(C)CCBr,-1.460923901
CCCC(C)C,0.23299611
CCCC(C)=O,-4.077793723
CC(O)CCO,-8.623423043
CCCC(O)=O,-6.271646218
COCC(C)O,-6.036212173
CN(C)CCO,-6.428291168
CCC[N+]([O-])=O,-4.060480747
CC(=O)OC=C,-3.2915791
CC(C)CC(C)C,0.279666944
CC(C)CC(C)N,-4.505845406
CC(C)CC(C)=O,-3.860120914
CC(C)CC(C)O,-4.351639989
CC(C)NC(C)C,-4.017728767
CC(C)OC(C)C,-2.591760035
CC(C)OC(C)=O,-3.555955204
CC(=O)OC(C)=O,-5.243363892
CC1COC(=O)O1,-7.462180905
BrC1=CC(Br)=CC=C1,-2.9076303
CC1=CC(C)=CC=C1,-2.143875556
CC1=CC(O)=CC=C1,-6.067526235
CC1=CC(Cl)=CC=C1,-1.792365633
NC1=CC(Cl)=CC=C1,-6
OC1=CC(Cl)=CC=C1,-6.462180905
CC1=CC(N)=CC=C1,-5.779891912
NC1=CC(N)=CC=C1,-8.903089987
OC1=CC(O)=CC=C1,-10.00524306
CC1=CC=NC(C)=C1,-5.171340103
CC1=CC=CC(C)=N1,-4.982966661
CC(CCl)OC(C)CCl,-4.129596095
CCOC(=O)CC(C)C,-3.148130399
COCC(C)OC(C)=O,-5.463441557
CC1=CC(C)=CC(C)=C1,-2.057000407
CC1=CC(O)=CC(C)=C1,-6.211831629
ClC1=CC(Cl)=CC(Cl)=C1,-2.723538196
CC1=CC(C)=NC(C)=C1,-5.055024092
NC1=NC(N)=NC(N)=N1,-13.73518218
CC(C)CC(O)CC(C)C,-3.88941029
CC(C)CC(=O)CC(C)C,-3.931814138
CC(C)CC(C)OC(C)=O,-3.233587153
BrC1=CC=CC=C1,-2.607303047
CC1CCCCC1,-0.366531544
CC1=CC=CC=C1,-2.177831921
CC1=CC=NC=C1,-5.22184875
ClC1=CC=CC=C1,-2.507239611
NC1CCCCC1,-5.380906669
OC1CCCCC1,-5.356547324
O=C1CCCCC1,-5.045757491
OC1=CC=CC=C1,-6.477555766
SC1=CC=CC=C1,-3.474955193
CC1=CC=CN=C1,-5.111820506
BrC1=CC=CC=N1,-5.113509275
CC1=NC=CC=C1,-5.001740662
CC1=NC=CN=C1,-5.657577319
ClC1=NC=CC=C1,-4.787812396
CCCCOC(=O)CCC,-3.163043263
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-7.314258261
CCCCC(O)=O,-6.326058001
CC(C)COC=C,-2.582694417
CC(C)OCCO,-6.036212173
CCCOC(C)=O,-3.661543506
BrCCCBr,-3.051587034
CCCCBr,-2.059981845
CCCCC,0.096910013
CCCC=C,-0.402304814
CCCCCl,-1.777283529
CCCCN,-4.759450752
CCCC#N,-4.281498311
N#CCC#N,-6.882728704
OCCC#N,-8.124938737
CCCCS,-2.342944147
COCCO,-6.48148606
COCOC,-3.761953897
CCNCC,-4.59345982
CCOC=C,-2.268653024
C=COC=C,-2.095014119
CCOC=O,-3.41453927
N1C=CC=C1,-4.744727495
C1CCOC1,-4.151810883
O1C=CC=C1,-2.26760624
S1C=CC=C1,-2.643974143
CC(C)(C)OOC(C)(C)C,-1.316052869
CC(C)CCC(C)=O,-3.795880017
OC(=O)CCC(O)=O,-12.44733178
CC(C)COC(C)=O,-3.342944147
CCCCCCCCCC(=O)OC,-2.68613278
CCCCCC(C)=O,-3.772113295
CC(C)CCOC=O,-3.171340103
COCCOC(C)=O,-6.962573502
CCCCCBr,-1.705093089
CCCCCC,0.255754787
ClCCCCCl,-3.313363731
CCCCCN,-4.614393726
N#CCCC#N,-8.189767482
CCCCC=O,-3.832682665
OCCCCO,-8.886056648
CCCCCS,-1.91721463
CCCOC=O,-3.361510743
ClCCOC=C,-2.057595059
CCOCCO,-6.327902142
CCSSCC,-2.66756154
C1CCCCC1,-0.823908741
C1CCC=CC1,-1.341988603
C1=CC=NC=C1,-4.958607315
C1CCNCC1,-5.351639989
C1COCCN1,-5.935542011
CC(C)CNCC(C)C,-3.250263684
CCCCCCCC(=O)OC,-3.106238238
CCCCCCC(C)=O,-3.725842151
CCCCCCC(O)=O,-6.187086643
CCOCCOC(C)=O,-5.494850022
OC(=O)CCCCCC(O)=O,-12.42136079
CCCCCCBr,-1.483729117
CCCCCCN,-4.571865206
CCCCCCO,-4.76700389
CCCCOC=C,-2.666149855
OCCNCCO,-10.41228903
CCCOCCC,-2.657577319
ClCCOCCCl,-4.769551079
CCCSCCC,-2.48945499
C1CCCNCC1,-5.211831629
CC(=O)OCCOC(C)=O,-7.075720714
CCCCCCCC,0.506640306
CCCCCCC=C,-0.203009609
N#CCCCCC#N,-8.91721463
CCCCCCCO,-4.725842151
CCCCCCC=O,-3.568636236
CCCCOCCO,-5.795880017
