,SMILES,WS_value,LogWS
144,CNC(=O)Oc1cccc2ccccc21,110.0,2.041392685
145,CSCC[C@H](N)C(O)=O,56600.0,4.752816431
146,Nc1ccc(cc1)S(N)(=O)=O,7500.0,3.875061263
147,CN1CC(=CCC1)C(=O)OC,1000000.0,6.0
148,CCO,1000000.0,6.0
149,OC=O,1000000.0,6.0
150,CC(O)=O,1000000.0,6.0
151,CCC(C)C(C)(COC(N)=O)COC(N)=O,1000.0,3.0
152,CCOS(=O)(=O)OCC,7000.0,3.84509804
153,Cc1ccc(cc1)S(=O)(=O)NC(=O)NCCCC,109.0,2.037426498
154,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,59.5,1.774516966
155,NC(=O)c1ccccc1O,2060.0,3.31386722
156,Nc1cc(O)c(cc1)C(O)=O,1690.0,3.227886705
157,CC1=CNC(=O)NC1=O,3820.0,3.582063363
158,OC(=O)c1ccccc1,3400.0,3.531478917
159,Oc1[n]c(cc(O)[n]1)C(O)=O,1818.0,3.259593879
160,O=C1C=CNC(=O)N1,3600.0,3.556302501
161,CCCCCC=O,5640.0,3.751279104
162,c1cc2ccc[n]c2c2[n]cccc21,2690.0,3.42975228
163,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,21000.0,4.322219295
164,CO,1000000.0,6.0
165,CC(C)O,1000000.0,6.0
166,CC(C)=O,1000000.0,6.0
167,ClC(Cl)Cl,7950.0,3.900367129
168,CS(C)=O,1000000.0,6.0
169,ClC(Cl)(Cl)C(Cl)(Cl)Cl,50.0,1.698970004
170,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](OC(C)=O)[C@](O)(C(=O)COC(C)=O)[C@@]3(C)C[C@H](O)[C@]21F,35.5,1.550228353
171,OC(=O)CS,1000000.0,6.0
172,CN(C)C=O,1000000.0,6.0
173,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,7.043,0.847757688
174,O=C1NC=Nc2[n]c[nH]c21,700.0,2.84509804
175,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6.48,0.811575006
176,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,31.06,1.492201451
177,Oc1ccccc1C(O)=O,2240.0,3.350248018
178,Cc1ccc(cc1)S(N)(=O)=O,3156.0,3.499136995
179,CCC(=O)c1ccc(N)cc1,352.1,2.546666025
180,N[C@@H](Cc1c[n]c[nH]1)C(O)=O,45640.0,4.659345636
181,CCCO,1000000.0,6.0
182,CCCCO,63200.0,4.800717078
183,CCCCCO,22000.0,4.342422681
184,c1ccccc1,1790.0,3.252853031
185,CC(Cl)(Cl)Cl,1290.0,3.11058971
186,Nc1ccc(cc1)S(=O)(=O)Nc1[n]cc[s]1,373.0,2.571708832
187,C[C@@H](O)[C@H](N)C(O)=O,97000.0,4.986771734
188,COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,0.1,-1.0
189,Oc1ccc2c(C(=O)c3ccccc3C2=O)c1O,400.0,2.602059991
190,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.09,-1.045757491
191,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.04,-1.397940009
192,N[C@@H](Cc1c[nH]c2ccccc21)C(O)=O,13600.0,4.133538908
193,C[C@@H](CC)[C@H](N)C(O)=O,34400.0,4.536558443
194,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,108.0,2.033423755
195,CCC1NC(=O)c2cc(c(Cl)cc2N1)S(N)(=O)=O,150.0,2.176091259
196,OC(=O)c1ccc(Cl)cc1,72.0,1.857332496
197,NC(=N)NCCC[C@H](N)C(O)=O,182000.0,5.260071388
198,CBr,15200.0,4.181843588
199,CCl,5320.0,3.725911632
200,CI,13800.0,4.139879086
201,CN,1080000.0,6.033423755
202,C#N,1000000.0,6.0
203,CS,15390.0,4.18723862
204,BrCBr,11900.0,4.075546961
205,CCBr,9000.0,3.954242509
206,ClCBr,16700.0,4.222716471
207,CCCl,6710.0,3.82672252
208,C=CCl,8800.0,3.944482672
209,C=CF,22400.0,4.350248018
210,CCI,4000.0,3.602059991
211,CCN,1000000.0,6.0
212,CC#N,1000000.0,6.0
213,CC=O,1000000.0,6.0
214,CCS,15600.0,4.193124598
215,ClCCl,13000.0,4.113943352
216,ICI,833.0,2.920645001
217,NC=O,1000000.0,6.0
218,S=C=S,2160.0,3.334453751
219,CSC,22030.0,4.343014497
220,C1CO1,1000000.0,6.0
221,BrC(Br)Br,3100.0,3.491361694
222,CC(C)Br,3180.0,3.50242712
223,ClC(Cl)Br,3032.0,3.481729197
224,CC(C)C,48.8,1.688419822
225,CC(C)Cl,3100.0,3.491361694
226,CC(C)I,1400.0,3.146128036
227,CC(C)N,1000000.0,6.0
228,CC(Cl)Cl,5040.0,3.702430536
229,C=C(Cl)Cl,2420.0,3.383815366
230,CC(F)F,3200.0,3.505149978
231,C=C(F)F,165.0,2.217483944
232,FC(Cl)Cl,18800.0,4.274157849
233,FC(F)Cl,2770.0,3.442479769
234,FC(F)F,4090.0,3.611723308
235,CN(C)C,890000.0,5.949390007
236,C[N+]([O-])=O,111000.0,5.045322979
237,CC1CO1,590000.0,5.770852012
238,FC(F)(F)Br,320.0,2.505149978
239,CC(C)(C)N,1000000.0,6.0
240,CC(C)(C)O,1000000.0,6.0
241,FC(Cl)(Cl)Cl,1100.0,3.041392685
242,FC(F)(Cl)Cl,280.0,2.447158031
243,FC(F)(F)Cl,90.0,1.954242509
244,CCC(C)(C)C,18.4,1.264817823
245,CC(C)(C)CO,35000.0,4.544068044
246,CCC(C)(C)O,110000.0,5.041392685
247,O=CC(Cl)(Cl)Cl,30000.0,4.477121255
248,OCC(F)(F)F,1000000.0,6.0
249,CC(=O)C(C)(C)C,19000.0,4.278753601
250,CC(C)(C)C(O)=O,21700.0,4.336459734
251,CC(Cl)(Cl)C(O)=O,502000.0,5.700703717
252,CC(O)C(Cl)(Cl)Cl,28570.0,4.45591024
253,ClC(Cl)C(Cl)(Cl)Cl,490.0,2.69019608
254,OC(=O)C(Cl)(Cl)Cl,54600.0,4.737192643
255,[O-][N+](=O)C(Cl)(Cl)Cl,1620.0,3.209515015
256,FC(Cl)(Cl)C(F)(Cl)Cl,120.0,2.079181246
257,FC(F)(Cl)C(F)(Cl)Cl,170.0,2.230448921
258,FC(F)(Cl)C(F)(F)Cl,130.0,2.113943352
259,FC(F)(F)C(F)(F)Cl,58.0,1.763427994
260,FC(F)(C(F)(F)F)C(F)(F)F,5.701,0.755951041
261,CC(CC)(S(=O)(=O)CC)S(=O)(=O)CC,5000.0,3.698970004
262,CC1(C)O[C@@]2([C@@H](C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C)O1)C(=O)CO,21.0,1.322219295
263,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,0.18,-0.744727495
264,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,9000.0,3.954242509
265,CCC1(C(C)CCC)C(=O)NC(O)=NC1=O,678.8,2.831741834
266,CCC1(C(C)C)C(=O)NC(=O)NC1=O,1210.0,3.08278537
267,OC(=O)C(O)(c1ccccc1)c1ccccc1,1410.0,3.149219113
268,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,4080.0,3.610660163
269,C[C@]12[C@H]3[C@H](C(O)=O)[C@@]45C[C@@](O)(CC[C@H]4[C@@]3(C=C[C@@H]1O)OC2=O)C(=C)C5,5000.0,3.698970004
270,Oc1ccc(cc1)C1(OC(=O)c2ccccc12)c1ccc(O)cc1,400.0,2.602059991
271,CCC1(CCC(=O)NC1=O)c1ccccc1,999.0,2.999565488
272,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,49.4,1.693726949
273,CCCCC1(CC)C(=O)NC(=O)NC1=O,4880.0,3.688419822
274,NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12,120.0,2.079181246
275,ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,1.8,0.255272505
276,CCC(Br)(CC)C(=O)NC(N)=O,333.0,2.522444234
277,CC(O)(CC)CC,42600.0,4.629409599
278,CCC(C)(O)C#C,99000.0,4.995635195
279,COS(=O)(=O)OC,28000.0,4.447158031
280,OC(=O)C(O)(CC(O)=O)CC(O)=O,592000.0,5.772321707
281,CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,65000.0,4.812913357
282,CC(CC)(CC)OC(N)=O,4000.0,3.602059991
283,CCOP(=O)(OCC)OCC,500000.0,5.698970004
284,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,300.0,2.477121255
285,CCCCSP(=O)(SCCCC)SCCCC,2.3,0.361727836
286,CC1CC(C)(C)CC(=O)C=1,12000.0,4.079181246
287,CC(C)=CCCC(C)(O)C=C,1589.0,3.201123897
288,CC(Br)CBr,1430.0,3.155336037
289,CC(C)CBr,507.0,2.705007959
290,CCC(C)C,48.0,1.681241237
291,CC(=C)C=C,642.0,2.807535028
292,CC(C)CN,1000000.0,6.0
293,CC(C)CO,85000.0,4.929418926
294,CC(C)C=O,89000.0,4.949390007
295,CC(=C)C=O,50000.0,4.698970004
296,CCC(C)Cl,1000.0,3.0
297,CC(Cl)CCl,2800.0,3.447158031
298,C=C(Cl)CCl,2150.0,3.33243846
299,CCC(C)O,181000.0,5.257678575
300,CCC(C)=O,223000.0,5.348304863
301,ClCC(Cl)Cl,4590.0,3.661812686
302,ClC=C(Cl)Cl,1280.0,3.10720997
303,C=CC(N)=O,390000.0,5.591064607
304,NC(=O)CCl,90000.0,4.954242509
305,CCC(O)=O,1000000.0,6.0
306,OC(=O)CCl,858000.0,5.933487288
307,CNC(C)=O,1000000.0,6.0
308,COC(C)=O,243000.0,5.385606274
309,CC[N+]([O-])=O,48000.0,4.681241237
310,BrC(Br)C(Br)Br,678.0,2.831229694
311,CC(C)C(C)C,22.5,1.352182518
312,CC(C)C(O)=O,167000.0,5.222716471
313,ClC(Cl)C(Cl)Cl,2830.0,3.451786436
314,CC(=C)C(O)=O,89000.0,4.949390007
315,OC(=O)C(Cl)Cl,1000000.0,6.0
316,CC(C)[N+]([O-])=O,17000.0,4.230448921
317,Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NCCO,740.0,2.86923172
318,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,120.0,2.079181246
319,Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1,380.0,2.579783597
320,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)[n][n]1,147.0,2.167317335
321,CC(C)(CC)c1ccc(O)cc1,168.0,2.225309282
322,CC(C)(O)C1CCC(C)(O)CC1,10000.0,4.0
323,CC(=C)C(=O)OC,15000.0,4.176091259
324,CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O,2500.0,3.397940009
325,O=C1NS(=O)(=O)c2ccccc12,4000.0,3.602059991
326,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,175.0,2.243038049
327,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,17.0,1.230448921
328,OC(=O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,175.0,2.243038049
329,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.44,-0.356547324
330,[O-][N+](=O)c1c(O)c(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,5341.0,3.727622578
331,CN1CCN(CC1)C(c1ccccc1)c1ccccc1,1000.0,3.0
332,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,18.0,1.255272505
333,C1Cc2cccc3cccc1c23,3.9,0.591064607
334,Cc1c[nH]c2ccccc21,498.0,2.697229343
335,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C21,120.0,2.079181246
336,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,43.6,1.639486489
337,Oc1cccc2c1cccc2O,165.0,2.217483944
338,CN1c2[n]c[n](C)c2C(=O)NC1=O,330.0,2.51851394
339,c1ccccc1-c1ccccc1-c1ccccc1,1.239,0.093071306
340,CC[C@H]([C@H](CC)c1ccc(O)cc1)c1ccc(O)cc1,12.0,1.079181246
341,O=C1c2ccccc2C(=O)c2ccccc12,1.35,0.130333768
342,CCOC(=O)c1ccccc1C(=O)OCC,1080.0,3.033423755
343,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,6.2,0.792391689
344,CCCCOC(=O)c1ccccc1C(=O)OCCCC,11.2,1.049218023
345,COc1c2C=CC(=O)Oc2cc2OC(C)(C)C=Cc21,40.0,1.602059991
346,c1cc2ccccc2c2ccccc21,1.15,0.06069784
347,c1cccc2c3ccc[n]c3ccc21,78.7,1.895974732
348,OC(=O)Cc1c(Cl)c(Cl)ccc1Cl,200.0,2.301029996
349,[O-][N+](=O)c1cccc(c1O)C(O)=O,1300.0,3.113943352
350,O=C1NC(=O)c2ccccc12,360.0,2.556302501
351,O=C1OC(=O)c2ccccc12,6200.0,3.792391689
352,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,2.69,0.42975228
353,Cc1cc(ccc1)NC(=O)c1ccccc1C(O)=O,1000.0,3.0
354,Nc1ccc2ccccc2c1N=Nc1ccccc1,0.3,-0.522878745
355,O=NN(c1ccccc1)c1ccccc1,35.0,1.544068044
356,COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,20.9,1.320146286
357,[O-][N+](=O)c1cccc2ccccc21,9.18,0.962842681
358,C1c2ccccc2-c2ccccc21,1.69,0.227886705
359,c1cccc2[nH]c3ccccc3c21,1.8,0.255272505
360,OC(=O)Cc1cccc2ccccc21,420.0,2.62324929
361,NC(=S)Nc1cccc2ccccc21,600.0,2.77815125
362,"CN1[C@@H]2C[C@H](C[C@H]1CC2)OC(=O)C(O)c1ccccc1 |&1:2,4,6|",10000.0,4.0
