,SMILES,LogKmHL
58,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0.43
59,Cc1c(Br)c(Br)c(Br)c(Br)c1Br,-0.13
60,ClC1C(Br)C(Br)C(Br)C(Br)C1Br,-0.31
61,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-0.2
62,Oc1c(Cl)cc(Cl)cc1Cl,-0.57
63,Cc1ccccc1S(N)(=O)=O,-0.89
64,Cc1ccccc1[N+]([O-])=O,-0.48
65,[O-][N+](=O)c1ccccc1Cl,-0.58
66,Nc1ccccc1[N+]([O-])=O,-0.46
67,O=C(O)C(C(C(=O)O)CC=C1)C1,-0.57
68,[O-][N+](=O)c1cc(Cl)ccc1Cl,0.56
69,Nc1ccc(Cl)cc1[N+]([O-])=O,-0.96
70,O=N(=O)c(c(cc(c1Cl)Cl)Cl)c1,-0.64
71,Nc1ccccc1-c1ccccc1,-1.06
72,CN(C)c1ccc(cc1)C(=O)c1ccc(cc1)N(C)C,-0.77
73,N#Cc1ccccc1C#N,-0.67
74,c1cccc2ccccc21,0.41
75,c1cccc2[n]cccc21,-1.33
76,COc1ccccc1[N+]([O-])=O,-1.04
77,Cc1cc2ccccc2cc1,0.88
78,Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,-0.13
79,O=C(Nc(c(cc(c(ccc(NC(=O)CC(=O)C)c1C)c1)c2)C)c2)CC(=O)C,-1.5
80,C1CCCCC1C1CCCCC1,0.38
81,Oc1ccc(cc1)-c1ccccc1,-0.81
82,c1cccc2Nc3ccccc3Sc21,0.04
83,Brc1ccc(cc1)-c1ccc(Br)cc1,1.57
84,[O-][N+](=O)c1cc2[n]c[nH]c2cc1,-1.15
85,c1[n]c2ccccc2[s]1,-0.86
86,Cc1ccccc1O,-0.52
87,Cc1ccccc1Cl,-0.72
88,Clc1ccccc1Cl,0.5
89,Nc1ccccc1Cl,-0.61
90,Oc1ccccc1Br,-0.24
91,Oc1ccccc1Cl,-0.38
92,Cc1cc(C)c(C)cc1,-0.31
93,Cc1cc(N)ccc1C,-0.99
94,Nc1cc(Cl)c(Cl)cc1,-1.09
95,Oc1cc(Cl)c(Cl)cc1,-0.92
96,Cc1cc(N)c(C)cc1,-0.99
97,Nc1cc(Cl)ccc1Cl,-1.13
98,Clc1cc(Cl)c(Cl)cc1Cl,1.79
99,ClCC(Br)CBr,-1.14
100,ClC(CCl)CCl,-0.53
101,CCC(C)=NO,-1.33
102,CC(C)(C)c1cc(ccc1O)C(C)(C)C,-0.37
103,COc1cc(c(N)cc1)[N+]([O-])=O,-0.87
104,Oc(c(cc(c1)Cl)Cc(c(O)ccc2Cl)c2)c1,-0.51
105,FC(F)(F)c1ccccc1,-0.48
106,NS(=O)(=O)c1ccccc1,-0.71
107,FC(F)(F)c1cccc(Cl)c1,0.64
108,C(C)(C)(C)c1ccc(C)cc1,0.31
109,CC(C)(C)c1ccc(O)cc1,-0.87
110,CC(=C)c1ccccc1,-0.71
111,[O-][N+](=O)c1ccccc1,-0.93
112,Cc1cc(ccc1)[N+]([O-])=O,-0.79
113,Nc1cc(ccc1)[N+]([O-])=O,-0.77
114,[O-][N+](=O)c1cc(Cl)c(Cl)cc1,-0.27
115,CC(C)c1cc(ccc1)C(C)C,0.56
116,CCC(C)c1ccc(O)cc1,-0.84
117,Cc1ccc(cc1)[N+]([O-])=O,-1.01
118,[O-][N+](=O)c1ccc(Cl)cc1,-0.48
119,Nc1ccc(cc1)[N+]([O-])=O,-0.51
120,COc1ccc(cc1)[N+]([O-])=O,-0.95
121,CC(C)c1ccc(cc1)C(C)C,0.6
122,C=CC1CC=CCC1,-0.41
123,CNc1ccccc1,-0.88
124,Nc(c(cc(c1)Cc(ccc(N)c2Cl)c2)Cl)c1,-0.15
125,Oc1ccc(Cc2ccccc2)cc1,-0.86
126,N(c(ccc(c1)Cc(ccc(N(C)C)c2)c2)c1)(C)C,-0.04
127,O(c(cccc1)c1)c(cccc2)c2,-0.09
128,O(Cc(cccc1)c1)Cc(cccc2)c2,0.63
129,CCNc1ccccc1,-0.65
130,CCCCCCCCCc1ccc(O)cc1,-0.23
131,c(cccc1)(c1)CCCCCCCCCC,0.63
132,O=Cc1ccc(Cl)cc1,0.01
133,CCc1ccc(CC)cc1,-0.01
134,C=Cc1ccc(cc1)C=C,0.5
135,Brc1ccc(Br)cc1,0.31
136,Cc1ccc(Cl)cc1,-0.83
137,Clc1ccc(Cl)cc1,1.1
138,Nc1ccc(Cl)cc1,-0.61
139,Oc1ccc(Cl)cc1,-0.41
140,BrCCBr,-0.83
141,C=CCCl,-0.93
142,CC(=C)CC(C)(C)C,0.12
143,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1)(C)C,1.48
144,Brc1cc(Br)ccc1,1.16
145,Nc1cc(Cl)ccc1,-0.71
146,Oc1cc(Cl)ccc1,-0.68
147,C=Cc1cc(ccc1)C=C,0.59
148,O(C(CCl)C)C(CCl)C,-1.07
149,Cc1cc(C)cc(C)c1,0.4
150,Clc1cc(Cl)cc(Cl)c1,1.19
151,Brc1ccccc1,-1.19
152,CC1CCCCC1,0.57
153,Clc1ccccc1,-1.02
154,Clc1cccc[n]1,-0.85
155,CCCCCl,-0.45
156,c1ccco1,-0.84
157,c1ccc[s]1,-0.82
158,C1CCCCC1,-0.66
159,ClCCOCCCl,-0.81
160,CCCCCCCCC,0.97
161,CCCCCCCCCCCC,0.26
162,CCCCCCCCCCC=C,0.83
163,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1.99
164,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-0.76
165,O=P(OCCCl)(OCCCl)OCCCl,-0.66
166,[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,0.49
167,Nc1cc2c(cc1)C(=O)c1ccccc1C2=O,-1.06
168,O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,0.44
169,CCNc1cccc2ccccc21,0.43
170,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.44
171,C(F)(F)(F)c1cc(Cl)ccc1N(=O)=O,-0.36
172,S=P(OCC)(OCC)OC1=NN(c2ccccc2)C(=O)C=C1,-0.7
173,Oc(c(cc(c1)C)Cc(c(O)c(cc2C)C(C)(C)C)c2)c1C(C)(C)C,0.03
174,OC(c(cccc1)c1)c(ccc(c2)Cl)c2,-0.89
175,O=C(c1ccccc1)c1ccccc1,-1.17
176,C1CCCc2ccccc21,0.75
177,c1c2ccccc2cc2ccccc21,0.65
178,Cc1ccc(OC)c(N)c1,-1.0
179,N(c(c(S1)ccc2)c2)=C1SSC(=Nc(c3ccc4)c4)S3,-0.91
180,Clc1cc(Cl)c(Cl)cc1,1.2
181,Oc1ccc(Cl)cc1Cl,-0.94
182,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,-0.22
183,CN(C)c1ccccc1,-0.96
184,CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,0.29
185,Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,0.03
186,CCNc1[n]c(Cl)[n]c(NCC)[n]1,-0.94
187,c1ccccc1Nc1ccccc1,0.35
188,C(C)(C)(C)C=C(C)CC(C)(C)C,0.7
189,C(=C)CCCCCCC,0.52
190,CCCCOP(=O)(OCCCC)OCCCC,-0.76
191,ClC(Cl)=C(Cl)Cl,-0.88
192,Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.32
193,c1cc2cccc3ccc4cccc1c4c32,0.32
194,O=C1c2cc(Cl)ccc2C(=O)c2ccccc12,-0.36
195,c1cccc2oc3ccccc3c21,1.35
196,c1cccc2[s]c3ccccc3c21,0.83
197,Nc1cccc2ccccc21,-0.24
198,c1c(ccc2ccccc21)Nc1ccccc1,-0.41
199,N(C(=S)SSC(N(C)C)=S)(C)C,-1.18
200,CC(C)(C)CC(C)(C)c1ccc(O)cc1,-0.04
201,CCc1cc(CC)ccc1,0.09
202,O(CCCC)CCCC,-0.25
203,CC(C)C(O)C(C)(C)CO,-1.34
204,CCOc1ccc(N)cc1,-1.24
205,c1ccc2c3c(cccc31)c1cccc3cccc2c31,-0.06
206,c1ccc2c3c(cccc31)-c1ccccc1-2,-0.02
207,c1c2-c3cccc4cccc(c43)-c2cc2ccccc21,-0.06
208,c1ccc2C=Cc3cccc1c32,0.52
209,c1c2c3ccc4ccccc4c3ccc2cc2ccccc21,0.58
210,c1cccc2c1c1ccccc1c1ccccc12,-0.08
211,c1cc2c3ccccc3ccc2c2ccccc21,0.59
212,c1c2c(ccc3ccccc32)[n]c2c3ccccc3ccc21,-0.14
213,C1c2ccccc2-c2cc3ccccc3cc21,-0.39
214,C1CCCCCCCCCCC1,1.33
215,COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC,0.55
216,CCSCCSP(=S)(OCC)OCC,0.03
217,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,0.95
218,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|",1.37
219,N1C(=O)N(C(C)CC)C(=O)C(Br)=C1C,-1.33
220,FC(F)(F)c1ccc(Cl)cc1Cl,1.81
221,FC(F)(F)c1cc(Cl)c(Cl)cc1,1.52
222,CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,-1.45
223,CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,-0.97
224,Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,0.07
225,C(CC1)C(CCC2C(CCC3)(C4C3)C)(C1C2CC4)C,1.67
226,c(c(ccc1C)C(CC2)(C)C)(c1)C2,0.83
227,Nc1cccc2cccc(N)c12,-0.73
228,c1(C)c(C)c(C)c(C)cc1,1.17
229,COP(=S)(OC)Oc1ccc(N(=O)=O)c(Cl)c1,-0.47
230,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-0.08
231,Cc1c(C)cccc1C,-0.22
232,Cc1cc(C)c(O)c(C)c1,-1.3
233,Cc1cccc(c1)C(C)C,0.07
234,C[Si]1(O[Si](O[Si](O[Si](O[Si](C)(C)O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,2.34
235,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,2.74
236,Clc1cc(Cl)ccc1,-0.21
237,ClC1CCCCC1,0.41
238,CC(C)CCOCCC(C)C,-0.45
239,Nc1ccc(Cl)cc1Cl,-0.65
240,[O-][N+](=O)c1cccc(O)c1,-0.49
241,COc1cc(ccc1)[N+]([O-])=O,-1.04
242,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.88
243,Cc1cc2ccccc2c(C)c1,0.51
244,CC(=O)N(C)c1ccccc1,-1.12
245,Cc1cc2ccccc2cc1C,0.03
246,Oc1cc(Br)ccc1,-0.95
247,Oc1cc(Cl)cc(Cl)c1,-0.91
248,[O-][N+](=O)c1cccc(c1C(O)=O)C(O)=O,-1.57
249,c(ccc1c(c2)c(ccc3)cc3)cc1cc2,1.72
250,COC(=O)c1ccccc1C(=O)c1ccccc1,-1.3
251,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,1.87
252,Cc1cc(c(cc1)[N+]([O-])=O)[N+]([O-])=O,-1.4
253,[O-][N+](=O)c1ccc(Cl)cc1Cl,0.83
254,Cc1ccccc1NC,-0.74
255,CCc1ccccc1[N+]([O-])=O,-0.56
256,Cc1cc2cc3ccccc3cc2cc1,-0.02
257,Cc1c[s]cc1,-1.27
258,[O-][N+](=O)c1cc(Cl)cc(Cl)c1,0.57
259,N#Cc1ccc(cc1)C#N,-0.81
260,N#Cc1cc(ccc1)C#N,-0.62
261,Brc1cc(Br)cc(Br)c1,1.65
262,CCCCCCCCCCCCC,1.03
263,CCCCCCCCCCCCCC,1.49
264,CCCCCCCCCCCCCCC=C,1.67
265,Clc1ccc(Cl)c(Cl)c1Cl,0.69
266,Nc1ccc(Cl)c(Cl)c1Cl,-0.27
267,Nc1cc(Cl)c(Cl)c(Cl)c1,0.28
268,Nc1c(Cl)cc(Cl)cc1Cl,0.67
269,Brc1cc(Br)c(Br)cc1Br,1.35
270,Nc1cc(Cl)c(Cl)cc1Cl,-0.01
271,Cc1cccc(c1)NC,-0.79
272,CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,1.81
273,C=CC(Cl)CCl,-1.28
274,C(=CC=C(C)C)(C)C,0.49
275,Cc1c2ccccc2cc2ccccc21,0.23
276,Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl,1.71
277,O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,0.07
278,CCCCCCCCCC=C,0.09
279,Cc1cccc2c3ccccc3ccc21,0.63
280,CCCCCCCCC=C,0.65
281,Cc1c(Cl)c(Cl)c(C)c(Cl)c1Cl,1.12
282,[O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl,-0.69
283,Cc1cc2ccccc2c2ccccc21,0.12
284,OC(C(F)(F)F)C(F)(F)F,-1.32
285,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-0.1
286,Clc1cc2ccccc2c2ccccc21,1.8
287,COC1=NN(CSP(=S)(OC)OC)C(=O)S1,-1.15
288,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-1.02
289,ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,2.2
290,O(c(c(c(c(c1Br)Br)Br)Br)c1Br)c(c(c(c(c2Br)Br)Br)Br)c2Br,1.16
291,CCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CCCC,-0.15
292,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C,2.7
293,CC(C)C1CCC(C)CC1O,-1.19
294,FC(F)C(F)(F)Oc1ccc(C(C)(C)c2ccc(OC(F)(F)C(F)F)cc2)cc1,2.79
295,Cc1cc(Cl)ccc1O,-0.83
296,CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.62
297,COC(C)(C)C,-0.88
298,CCOC(=O)C(CC(=O)OCC)SP(=O)(OC)OC,-1.04
299,C(C)(C)CC1CCCCC1,0.91
300,CC(=C)c1ccc(Cl)cc1,1.3
301,c1c(CC3)c2c(C3)ccc(CC4)c2c(C4)c1,0.42
302,Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,1.78
303,C(CCCC1)(C1)CCCCCCCC,1.1
304,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.67
305,Clc1ccc(Cl)c2ccccc12,2.37
306,[O-][N+](=O)c1ccc(cc1)Oc1c(Cl)cc(Cl)cc1Cl,0.75
307,c(cccc1)(c1)C(C(c(cccc2)c2)(C)C)(C)C,0.87
308,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,0.27
309,n(c(nc(n1)NC(C)C)NCC)c1Cl,-1.05
310,CC(C)c1cc2ccccc2cc1,1.0
311,c1c(O)ccc(C)c1N(=O)=O,-0.8
312,Clc1c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.86
313,CCC(C)CCCC(C)C,0.61
314,CCOP(=S)(Oc1ccc(cc1)N(=O)=O)c2ccccc2,0.02
315,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)OC,0.97
316,CC(C)COc1cc2ccccc2cc1,0.23
317,c(cccc1)(c1)CCCCCCCC,0.22
318,CCSC(=O)N1CCCCCC1,-1.08
319,COc1cccc2ccccc21,0.39
320,Clc1c2c(c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c2Cl,1.62
321,Nc1cccc2c1cccc2N,-0.52
322,O=P(OC)(OC)Oc1cc(C)c(N(=O)(=O))cc1,0.01
323,Cc1ccc2ccc3cccc4ccc1c2c34,0.11
324,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C12Cl)C4(Cl)Cl,1.8
325,CCCCCCCCCCCC=C,0.73
326,COc1cc(Cl)c(Cl)cc1O,-0.15
327,COP(=S)(Oc1ccc(cc1Cl)[N+]([O-])=O)OC,0.01
328,CCS(=O)(=O)CCSP(=S)(OCC)OCC,-0.67
329,O=C(c(c(c(c(c1)ccc2)c2)C(=O)c3cccc4)c1)c34,-0.84
330,Cc1c2ccccc2cc2c1ccc1ccccc12,-0.05
331,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,-0.75
332,O=C(Oc(c(ccc1)C(C)C)c1)NC,-1.25
333,COP(=S)(Oc1ccc(cc1)C#N)OC,0.23
334,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)-c1ccccc1,1.16
335,CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,0.77
336,CCCCCCCC(C)=C,-0.06
337,CCCCC(C)C(C)C,1.28
338,[O-][N+](=O)c1cccc(Cl)c1Cl,0.54
339,BrCC(CBr)(CBr)CBr,0.76
340,Clc1c2Oc3c(Oc2c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,1.16
341,OCC(CBr)(CBr)CO,-1.4
342,C(CC1CCCCC1)C1CCCCC1,0.13
343,CCc1cc2ccccc2c2ccccc21,0.29
344,Cc1cc(ccc1S(C)=O)OP(=S)(OC)OC,-0.38
345,S(=O)(=O)(C)c1c(C)cc(OP(=S)(OC)OC)cc1,-0.03
346,CCC(C)c1ccccc1OC(=O)NC,-0.52
347,COP1(=S)OCc2ccccc2O1,-1.15
348,Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1n(nc(c2ccc3)c3)n2,0.89
349,Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1n(nc(c2cc(c3)Cl)c3)n2,0.72
350,CCC(C)CCCC(C)CCCC(C)C,1.36
351,CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.86
352,C(CCCC1)(C1)CCCCCC,0.7
353,CC(C)(C)CC(C)(C)CC(C)CC(C)(C)C,1.81
354,C1(c2c(O)c(C3CCCCC3)ccc2)CCCCC1,0.2
355,C1CC=CCCC=CCCC=C1,1.74
356,c(cc(c1)c(ccc2C)cc2C)c(c1C)C,-0.01
357,O=S(=O)(Nc(cccc1)c1)c(ccc(Nc(cccc2)c2)c3N(=O)(=O))c3,-0.66
358,C1CCCc2c3CCCCc3ccc21,0.76
359,Cc1ccc(cc1O)[N+]([O-])=O,-1.24
360,BrC1=CC(Br)=CC=C1OC2=CC=C(C=C2Br)Br,1.6
361,CC(CC)c1cccc(C(C)CC)c1O,-0.22
362,ClC12C(Cl)(Cl)C(C3C2CC(Cl)(Cl)C3)(Cl)C(Cl)=C1Cl,2.23
363,C1CCCCC1CCCCCCC,0.17
364,CCc1ccc(cc1)-c1ccccc1,0.06
365,CCCCCCCCC(C)CCC,0.98
366,c(cccc1)(c1)C(c(c(ccc2C)C)c2)C,0.1
367,Cc1cc(Cl)c(Cl)cc1Cl,2.01
368,CCCCCCCCC(C)C,0.1
369,Clc1cc(Cl)ccc1-c1ccc(Cl)cc1,1.88
370,CCCCCc1ccc(cc1)-c1ccccc1,0.03
371,c3cccc2c3c(CCCC)cc1c2cccc1,0.29
372,ClC(Cl)(CCl)CCl,-0.28
373,CC(C)CCCC(C)CCCC,0.32
374,C1=CC(C(C)C)(CC2)C3C(=O)N(CC(CC)CCCC)C(=O)C3C12C,0.31
375,CC(CC(C)(C)C)CC(C)(C)C,0.72
376,c1ccccc1Cc2cc(C)ccc2C,0.45
377,O=P(OC(CCl)C)(OC(CCl)C)OC(CCl)C,-1.31
378,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,-0.52
379,CCCCCc1cc2c(cc1)C(=O)c1ccccc1C2=O,0.2
380,CCOP(=S)(OCC)ON=C(C(#N))c1ccccc1,0.84
381,Cc1cc2cc3cc(C)c(C)cc3cc2cc1C,0.59
382,OCc1c(Cl)cccc1Cl,-1.37
383,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],1.47
384,Clc1cc(-c2ccccc2)c(Cl)cc1Cl,1.84
385,COCN(C(=O)CCl)c1c(CC)cccc1CC,-1.1
386,C(C(C=CC12)C1)(=CC)C2,-0.56
387,CCCCCCCCCCC(C)=C,0.64
388,Clc1cccc(-c2ccccc2)c1Cl,2.15
389,Clc1ccc(Cl)cc1-c1ccc(Cl)cc1,1.91
390,O=C(OCCCCCCCCCCCCC)CCCCC(=O)OCCCCCCCCCCCCC,-0.43
391,c12c3c4cccc3ccc1c(CC)ccc2C=C4,0.24
392,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,-1.04
393,CCCCCC(C)CCCC(C)C,1.02
394,[O-][N+](=O)c1ccc(Cl)c(Cl)c1Cl,-0.19
395,C=C(C)CCCCCCCCCCC,0.73
396,COP(=S)(Oc1cc(Cl)c(I)cc1Cl)OC,0.86
397,CCCCCCCCCC(C)=C,0.17
398,[O-][N+](=O)c1c(Cl)cc(Cl)cc1Cl,0.71
399,S=P(OCC)(OCC)Oc2noc(c1ccccc1)c2,1.05
400,Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,1.3
401,CC(C)Oc1cc(c(Cl)cc1Cl)N1N=C(OC1=O)C(C)(C)C,0.77
402,C=CCCC(CC)CCCC,0.93
403,Clc1c2ccccc2c(Cl)c(Cl)c1Cl,1.2
404,c1ccc2N=C(SCSC(#N))Sc2c1,-1.01
405,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,1.26
406,CC(C)C1CCC(C(C)C)CC1,0.97
407,c(c(cc1CC2(C)C)C)c(C)c1CC2,0.32
408,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-0.51
409,CC(C)OP(=O)(OC(C)C)SCc1ccccc1,-1.2
410,NC1C(Cl)=C(C(=O)OCC(CCCC)CC)N=C(Cl)C=1Cl,0.45
411,Clc1c(ccc(c1)Cl)Oc2ccc(cc2Cl)Cl,2.28
412,CCN(CC)C(=O)SCc1ccc(Cl)cc1,0.66
413,ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.04
414,Clc1cc2Oc3ccccc3Oc2cc1Cl,0.33
415,Clc1c2Oc3ccccc3Oc2c(Cl)c(Cl)c1Cl,1.02
416,Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl,2.19
417,Clc2c(c(c(c(c2Cl)Cl)Cl)Cl)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,1.8
418,Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1,2.07
419,Clc1cc(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1,2.65
420,Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1,1.35
421,Clc1c(Cl)c(ccc1Cl)-c1cc(Cl)c(Cl)cc1,2.06
422,c1ccccc1C(OCCCl)c2ccccc2,-0.07
423,Clc1ccc(cc1)-c1cc(Cl)c(Cl)cc1Cl,2.55
424,C(C(CCCC1)C1)(CC(c3ccccc3)CC2)C2,0.45
425,Clc3ccc2Oc1cc(Cl)ccc1Oc2c3,0.23
426,Clc1cc(-c2ccccc2)c(Cl)cc1,2.38
