SMILES,LogKmHL
Nc1cccc2c1C(=O)c1ccccc1C2=O,-0.59
[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-0.17
CC(=C)[C@H]1Cc2c3O[C@@H]4COc5cc(OC)c(cc5[C@@H]4C(=O)c3ccc2O1)OC,-0.59
c1ccccc1-c1ccccc1-c1ccccc1,0.86
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-0.4
c1cc2ccccc2c2ccccc21,0.7
c(c(c(c(c1Br)Br)Br)Br)(c1Br)CC,0.02
O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2,-1.03
O=NN(c1ccccc1)c1ccccc1,-0.91
C1c2ccccc2-c2ccccc21,0.7
c1cccc2[nH]c3ccccc3c21,0.06
Clc1c(Cl)cccc1Cl,0.92
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,2.07
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,0.43
Cc1c(Br)c(Br)c(Br)c(Br)c1Br,-0.13
ClC1C(Br)C(Br)C(Br)C(Br)C1Br,-0.31
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-0.2
Oc1c(Cl)cc(Cl)cc1Cl,-0.57
Cc1ccccc1S(N)(=O)=O,-0.89
Cc1ccccc1[N+]([O-])=O,-0.48
[O-][N+](=O)c1ccccc1Cl,-0.58
Nc1ccccc1[N+]([O-])=O,-0.46
O=C(O)C(C(C(=O)O)CC=C1)C1,-0.57
[O-][N+](=O)c1cc(Cl)ccc1Cl,0.56
Nc1ccc(Cl)cc1[N+]([O-])=O,-0.96
O=N(=O)c(c(cc(c1Cl)Cl)Cl)c1,-0.64
Nc1ccccc1-c1ccccc1,-1.06
CN(C)c1ccc(cc1)C(=O)c1ccc(cc1)N(C)C,-0.77
N#Cc1ccccc1C#N,-0.67
c1cccc2ccccc21,0.41
c1cccc2[n]cccc21,-1.33
COc1ccccc1[N+]([O-])=O,-1.04
Cc1cc2ccccc2cc1,0.88
Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,-0.13
O=C(Nc(c(cc(c(ccc(NC(=O)CC(=O)C)c1C)c1)c2)C)c2)CC(=O)C,-1.5
C1CCCCC1C1CCCCC1,0.38
Oc1ccc(cc1)-c1ccccc1,-0.81
c1cccc2Nc3ccccc3Sc21,0.04
Brc1ccc(cc1)-c1ccc(Br)cc1,1.57
[O-][N+](=O)c1cc2[n]c[nH]c2cc1,-1.15
c1[n]c2ccccc2[s]1,-0.86
Cc1ccccc1O,-0.52
Cc1ccccc1Cl,-0.72
Clc1ccccc1Cl,0.5
Nc1ccccc1Cl,-0.61
Oc1ccccc1Br,-0.24
Oc1ccccc1Cl,-0.38
Cc1cc(C)c(C)cc1,-0.31
Cc1cc(N)ccc1C,-0.99
Nc1cc(Cl)c(Cl)cc1,-1.09
Oc1cc(Cl)c(Cl)cc1,-0.92
Cc1cc(N)c(C)cc1,-0.99
Nc1cc(Cl)ccc1Cl,-1.13
Clc1cc(Cl)c(Cl)cc1Cl,1.79
ClCC(Br)CBr,-1.14
ClC(CCl)CCl,-0.53
CCC(C)=NO,-1.33
CC(C)(C)c1cc(ccc1O)C(C)(C)C,-0.37
COc1cc(c(N)cc1)[N+]([O-])=O,-0.87
Oc(c(cc(c1)Cl)Cc(c(O)ccc2Cl)c2)c1,-0.51
FC(F)(F)c1ccccc1,-0.48
NS(=O)(=O)c1ccccc1,-0.71
FC(F)(F)c1cccc(Cl)c1,0.64
C(C)(C)(C)c1ccc(C)cc1,0.31
CC(C)(C)c1ccc(O)cc1,-0.87
CC(=C)c1ccccc1,-0.71
[O-][N+](=O)c1ccccc1,-0.93
Cc1cc(ccc1)[N+]([O-])=O,-0.79
Nc1cc(ccc1)[N+]([O-])=O,-0.77
[O-][N+](=O)c1cc(Cl)c(Cl)cc1,-0.27
CC(C)c1cc(ccc1)C(C)C,0.56
CCC(C)c1ccc(O)cc1,-0.84
Cc1ccc(cc1)[N+]([O-])=O,-1.01
[O-][N+](=O)c1ccc(Cl)cc1,-0.48
Nc1ccc(cc1)[N+]([O-])=O,-0.51
COc1ccc(cc1)[N+]([O-])=O,-0.95
CC(C)c1ccc(cc1)C(C)C,0.6
C=CC1CC=CCC1,-0.41
CNc1ccccc1,-0.88
Nc(c(cc(c1)Cc(ccc(N)c2Cl)c2)Cl)c1,-0.15
Oc1ccc(Cc2ccccc2)cc1,-0.86
N(c(ccc(c1)Cc(ccc(N(C)C)c2)c2)c1)(C)C,-0.04
O(c(cccc1)c1)c(cccc2)c2,-0.09
O(Cc(cccc1)c1)Cc(cccc2)c2,0.63
CCNc1ccccc1,-0.65
CCCCCCCCCc1ccc(O)cc1,-0.23
c(cccc1)(c1)CCCCCCCCCC,0.63
O=Cc1ccc(Cl)cc1,0.01
CCc1ccc(CC)cc1,-0.01
C=Cc1ccc(cc1)C=C,0.5
Brc1ccc(Br)cc1,0.31
Cc1ccc(Cl)cc1,-0.83
Clc1ccc(Cl)cc1,1.1
Nc1ccc(Cl)cc1,-0.61
Oc1ccc(Cl)cc1,-0.41
BrCCBr,-0.83
C=CCCl,-0.93
CC(=C)CC(C)(C)C,0.12
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1)(C)C,1.48
Brc1cc(Br)ccc1,1.16
Nc1cc(Cl)ccc1,-0.71
Oc1cc(Cl)ccc1,-0.68
C=Cc1cc(ccc1)C=C,0.59
O(C(CCl)C)C(CCl)C,-1.07
Cc1cc(C)cc(C)c1,0.4
Clc1cc(Cl)cc(Cl)c1,1.19
Brc1ccccc1,-1.19
CC1CCCCC1,0.57
Clc1ccccc1,-1.02
Clc1cccc[n]1,-0.85
CCCCCl,-0.45
c1ccco1,-0.84
c1ccc[s]1,-0.82
C1CCCCC1,-0.66
ClCCOCCCl,-0.81
CCCCCCCCC,0.97
CCCCCCCCCCCC,0.26
CCCCCCCCCCC=C,0.83
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1.99
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,-0.76
O=P(OCCCl)(OCCCl)OCCCl,-0.66
[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,0.49
Nc1cc2c(cc1)C(=O)c1ccccc1C2=O,-1.06
O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,0.44
CCNc1cccc2ccccc21,0.43
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.44
C(F)(F)(F)c1cc(Cl)ccc1N(=O)=O,-0.36
S=P(OCC)(OCC)OC1=NN(c2ccccc2)C(=O)C=C1,-0.7
Oc(c(cc(c1)C)Cc(c(O)c(cc2C)C(C)(C)C)c2)c1C(C)(C)C,0.03
OC(c(cccc1)c1)c(ccc(c2)Cl)c2,-0.89
O=C(c1ccccc1)c1ccccc1,-1.17
C1CCCc2ccccc21,0.75
c1c2ccccc2cc2ccccc21,0.65
Cc1ccc(OC)c(N)c1,-1
N(c(c(S1)ccc2)c2)=C1SSC(=Nc(c3ccc4)c4)S3,-0.91
Clc1cc(Cl)c(Cl)cc1,1.2
Oc1ccc(Cl)cc1Cl,-0.94
Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,-0.22
CN(C)c1ccccc1,-0.96
CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,0.29
Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,0.03
CCNc1[n]c(Cl)[n]c(NCC)[n]1,-0.94
c1ccccc1Nc1ccccc1,0.35
C(C)(C)(C)C=C(C)CC(C)(C)C,0.7
C(=C)CCCCCCC,0.52
CCCCOP(=O)(OCCCC)OCCCC,-0.76
ClC(Cl)=C(Cl)Cl,-0.88
Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.32
c1cc2cccc3ccc4cccc1c4c32,0.32
O=C1c2cc(Cl)ccc2C(=O)c2ccccc12,-0.36
c1cccc2oc3ccccc3c21,1.35
c1cccc2[s]c3ccccc3c21,0.83
Nc1cccc2ccccc21,-0.24
c1c(ccc2ccccc21)Nc1ccccc1,-0.41
N(C(=S)SSC(N(C)C)=S)(C)C,-1.18
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-0.04
CCc1cc(CC)ccc1,0.09
O(CCCC)CCCC,-0.25
CC(C)C(O)C(C)(C)CO,-1.34
CCOc1ccc(N)cc1,-1.24
c1ccc2c3c(cccc31)c1cccc3cccc2c31,-0.06
c1ccc2c3c(cccc31)-c1ccccc1-2,-0.02
c1c2-c3cccc4cccc(c43)-c2cc2ccccc21,-0.06
c1ccc2C=Cc3cccc1c32,0.52
c1c2c3ccc4ccccc4c3ccc2cc2ccccc21,0.58
c1cccc2c1c1ccccc1c1ccccc12,-0.08
c1cc2c3ccccc3ccc2c2ccccc21,0.59
c1c2c(ccc3ccccc32)[n]c2c3ccccc3ccc21,-0.14
C1c2ccccc2-c2cc3ccccc3cc21,-0.39
C1CCCCCCCCCCC1,1.33
COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC,0.55
CCSCCSP(=S)(OCC)OCC,0.03
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,0.95
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|",1.37
N1C(=O)N(C(C)CC)C(=O)C(Br)=C1C,-1.33
FC(F)(F)c1ccc(Cl)cc1Cl,1.81
FC(F)(F)c1cc(Cl)c(Cl)cc1,1.52
CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,-1.45
CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,-0.97
Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,0.07
C(CC1)C(CCC2C(CCC3)(C4C3)C)(C1C2CC4)C,1.67
c(c(ccc1C)C(CC2)(C)C)(c1)C2,0.83
Nc1cccc2cccc(N)c12,-0.73
c1(C)c(C)c(C)c(C)cc1,1.17
COP(=S)(OC)Oc1ccc(N(=O)=O)c(Cl)c1,-0.47
CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-0.08
Cc1c(C)cccc1C,-0.22
Cc1cc(C)c(O)c(C)c1,-1.3
Cc1cccc(c1)C(C)C,0.07
C[Si]1(O[Si](O[Si](O[Si](O[Si](C)(C)O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,2.34
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,2.74
Clc1cc(Cl)ccc1,-0.21
ClC1CCCCC1,0.41
CC(C)CCOCCC(C)C,-0.45
Nc1ccc(Cl)cc1Cl,-0.65
[O-][N+](=O)c1cccc(O)c1,-0.49
COc1cc(ccc1)[N+]([O-])=O,-1.04
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,1.88
Cc1cc2ccccc2c(C)c1,0.51
CC(=O)N(C)c1ccccc1,-1.12
Cc1cc2ccccc2cc1C,0.03
Oc1cc(Br)ccc1,-0.95
Oc1cc(Cl)cc(Cl)c1,-0.91
[O-][N+](=O)c1cccc(c1C(O)=O)C(O)=O,-1.57
c(ccc1c(c2)c(ccc3)cc3)cc1cc2,1.72
COC(=O)c1ccccc1C(=O)c1ccccc1,-1.3
Clc1c(Cl)c(Cl)cc(Cl)c1Cl,1.87
Cc1cc(c(cc1)[N+]([O-])=O)[N+]([O-])=O,-1.4
[O-][N+](=O)c1ccc(Cl)cc1Cl,0.83
Cc1ccccc1NC,-0.74
CCc1ccccc1[N+]([O-])=O,-0.56
Cc1cc2cc3ccccc3cc2cc1,-0.02
Cc1c[s]cc1,-1.27
[O-][N+](=O)c1cc(Cl)cc(Cl)c1,0.57
N#Cc1ccc(cc1)C#N,-0.81
N#Cc1cc(ccc1)C#N,-0.62
Brc1cc(Br)cc(Br)c1,1.65
CCCCCCCCCCCCC,1.03
CCCCCCCCCCCCCC,1.49
CCCCCCCCCCCCCCC=C,1.67
Clc1ccc(Cl)c(Cl)c1Cl,0.69
Nc1ccc(Cl)c(Cl)c1Cl,-0.27
Nc1cc(Cl)c(Cl)c(Cl)c1,0.28
Nc1c(Cl)cc(Cl)cc1Cl,0.67
Brc1cc(Br)c(Br)cc1Br,1.35
Nc1cc(Cl)c(Cl)cc1Cl,-0.01
Cc1cccc(c1)NC,-0.79
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,1.81
C=CC(Cl)CCl,-1.28
C(=CC=C(C)C)(C)C,0.49
Cc1c2ccccc2cc2ccccc21,0.23
Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl,1.71
O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,0.07
CCCCCCCCCC=C,0.09
Cc1cccc2c3ccccc3ccc21,0.63
CCCCCCCCC=C,0.65
Cc1c(Cl)c(Cl)c(C)c(Cl)c1Cl,1.12
[O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl,-0.69
Cc1cc2ccccc2c2ccccc21,0.12
OC(C(F)(F)F)C(F)(F)F,-1.32
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-0.1
Clc1cc2ccccc2c2ccccc21,1.8
COC1=NN(CSP(=S)(OC)OC)C(=O)S1,-1.15
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-1.02
ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,2.2
O(c(c(c(c(c1Br)Br)Br)Br)c1Br)c(c(c(c(c2Br)Br)Br)Br)c2Br,1.16
CCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CCCC,-0.15
CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C,2.7
CC(C)C1CCC(C)CC1O,-1.19
FC(F)C(F)(F)Oc1ccc(C(C)(C)c2ccc(OC(F)(F)C(F)F)cc2)cc1,2.79
Cc1cc(Cl)ccc1O,-0.83
CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,0.62
COC(C)(C)C,-0.88
CCOC(=O)C(CC(=O)OCC)SP(=O)(OC)OC,-1.04
C(C)(C)CC1CCCCC1,0.91
CC(=C)c1ccc(Cl)cc1,1.3
c1c(CC3)c2c(C3)ccc(CC4)c2c(C4)c1,0.42
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,1.78
C(CCCC1)(C1)CCCCCCCC,1.1
COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.67
Clc1ccc(Cl)c2ccccc12,2.37
[O-][N+](=O)c1ccc(cc1)Oc1c(Cl)cc(Cl)cc1Cl,0.75
c(cccc1)(c1)C(C(c(cccc2)c2)(C)C)(C)C,0.87
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,0.27
n(c(nc(n1)NC(C)C)NCC)c1Cl,-1.05
CC(C)c1cc2ccccc2cc1,1
c1c(O)ccc(C)c1N(=O)=O,-0.8
Clc1c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.86
CCC(C)CCCC(C)C,0.61
CCOP(=S)(Oc1ccc(cc1)N(=O)=O)c2ccccc2,0.02
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)OC,0.97
CC(C)COc1cc2ccccc2cc1,0.23
c(cccc1)(c1)CCCCCCCC,0.22
CCSC(=O)N1CCCCCC1,-1.08
COc1cccc2ccccc21,0.39
Clc1c2c(c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c2Cl,1.62
Nc1cccc2c1cccc2N,-0.52
O=P(OC)(OC)Oc1cc(C)c(N(=O)(=O))cc1,0.01
Cc1ccc2ccc3cccc4ccc1c2c34,0.11
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C12Cl)C4(Cl)Cl,1.8
CCCCCCCCCCCC=C,0.73
COc1cc(Cl)c(Cl)cc1O,-0.15
COP(=S)(Oc1ccc(cc1Cl)[N+]([O-])=O)OC,0.01
CCS(=O)(=O)CCSP(=S)(OCC)OCC,-0.67
O=C(c(c(c(c(c1)ccc2)c2)C(=O)c3cccc4)c1)c34,-0.84
Cc1c2ccccc2cc2c1ccc1ccccc12,-0.05
CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,-0.75
O=C(Oc(c(ccc1)C(C)C)c1)NC,-1.25
COP(=S)(Oc1ccc(cc1)C#N)OC,0.23
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)-c1ccccc1,1.16
CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,0.77
CCCCCCCC(C)=C,-0.06
CCCCC(C)C(C)C,1.28
[O-][N+](=O)c1cccc(Cl)c1Cl,0.54
BrCC(CBr)(CBr)CBr,0.76
Clc1c2Oc3c(Oc2c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,1.16
OCC(CBr)(CBr)CO,-1.4
C(CC1CCCCC1)C1CCCCC1,0.13
CCc1cc2ccccc2c2ccccc21,0.29
Cc1cc(ccc1S(C)=O)OP(=S)(OC)OC,-0.38
S(=O)(=O)(C)c1c(C)cc(OP(=S)(OC)OC)cc1,-0.03
CCC(C)c1ccccc1OC(=O)NC,-0.52
COP1(=S)OCc2ccccc2O1,-1.15
Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1n(nc(c2ccc3)c3)n2,0.89
Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1n(nc(c2cc(c3)Cl)c3)n2,0.72
CCC(C)CCCC(C)CCCC(C)C,1.36
CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.86
C(CCCC1)(C1)CCCCCC,0.7
CC(C)(C)CC(C)(C)CC(C)CC(C)(C)C,1.81
C1(c2c(O)c(C3CCCCC3)ccc2)CCCCC1,0.2
C1CC=CCCC=CCCC=C1,1.74
c(cc(c1)c(ccc2C)cc2C)c(c1C)C,-0.01
O=S(=O)(Nc(cccc1)c1)c(ccc(Nc(cccc2)c2)c3N(=O)(=O))c3,-0.66
C1CCCc2c3CCCCc3ccc21,0.76
Cc1ccc(cc1O)[N+]([O-])=O,-1.24
BrC1=CC(Br)=CC=C1OC2=CC=C(C=C2Br)Br,1.6
CC(CC)c1cccc(C(C)CC)c1O,-0.22
ClC12C(Cl)(Cl)C(C3C2CC(Cl)(Cl)C3)(Cl)C(Cl)=C1Cl,2.23
C1CCCCC1CCCCCCC,0.17
CCc1ccc(cc1)-c1ccccc1,0.06
CCCCCCCCC(C)CCC,0.98
c(cccc1)(c1)C(c(c(ccc2C)C)c2)C,0.1
Cc1cc(Cl)c(Cl)cc1Cl,2.01
CCCCCCCCC(C)C,0.1
Clc1cc(Cl)ccc1-c1ccc(Cl)cc1,1.88
CCCCCc1ccc(cc1)-c1ccccc1,0.03
c3cccc2c3c(CCCC)cc1c2cccc1,0.29
ClC(Cl)(CCl)CCl,-0.28
CC(C)CCCC(C)CCCC,0.32
C1=CC(C(C)C)(CC2)C3C(=O)N(CC(CC)CCCC)C(=O)C3C12C,0.31
CC(CC(C)(C)C)CC(C)(C)C,0.72
c1ccccc1Cc2cc(C)ccc2C,0.45
O=P(OC(CCl)C)(OC(CCl)C)OC(CCl)C,-1.31
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,-0.52
CCCCCc1cc2c(cc1)C(=O)c1ccccc1C2=O,0.2
CCOP(=S)(OCC)ON=C(C(#N))c1ccccc1,0.84
Cc1cc2cc3cc(C)c(C)cc3cc2cc1C,0.59
OCc1c(Cl)cccc1Cl,-1.37
[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H],1.47
Clc1cc(-c2ccccc2)c(Cl)cc1Cl,1.84
COCN(C(=O)CCl)c1c(CC)cccc1CC,-1.1
C(C(C=CC12)C1)(=CC)C2,-0.56
CCCCCCCCCCC(C)=C,0.64
Clc1cccc(-c2ccccc2)c1Cl,2.15
Clc1ccc(Cl)cc1-c1ccc(Cl)cc1,1.91
O=C(OCCCCCCCCCCCCC)CCCCC(=O)OCCCCCCCCCCCCC,-0.43
c12c3c4cccc3ccc1c(CC)ccc2C=C4,0.24
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,-1.04
CCCCCC(C)CCCC(C)C,1.02
[O-][N+](=O)c1ccc(Cl)c(Cl)c1Cl,-0.19
C=C(C)CCCCCCCCCCC,0.73
COP(=S)(Oc1cc(Cl)c(I)cc1Cl)OC,0.86
CCCCCCCCCC(C)=C,0.17
[O-][N+](=O)c1c(Cl)cc(Cl)cc1Cl,0.71
S=P(OCC)(OCC)Oc2noc(c1ccccc1)c2,1.05
Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,1.3
CC(C)Oc1cc(c(Cl)cc1Cl)N1N=C(OC1=O)C(C)(C)C,0.77
C=CCCC(CC)CCCC,0.93
Clc1c2ccccc2c(Cl)c(Cl)c1Cl,1.2
c1ccc2N=C(SCSC(#N))Sc2c1,-1.01
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,1.26
CC(C)C1CCC(C(C)C)CC1,0.97
c(c(cc1CC2(C)C)C)c(C)c1CC2,0.32
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-0.51
CC(C)OP(=O)(OC(C)C)SCc1ccccc1,-1.2
NC1C(Cl)=C(C(=O)OCC(CCCC)CC)N=C(Cl)C=1Cl,0.45
Clc1c(ccc(c1)Cl)Oc2ccc(cc2Cl)Cl,2.28
CCN(CC)C(=O)SCc1ccc(Cl)cc1,0.66
ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.04
Clc1cc2Oc3ccccc3Oc2cc1Cl,0.33
Clc1c2Oc3ccccc3Oc2c(Cl)c(Cl)c1Cl,1.02
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl,2.19
Clc2c(c(c(c(c2Cl)Cl)Cl)Cl)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,1.8
Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1,2.07
Clc1cc(-c2cc(Cl)c(Cl)cc2)c(Cl)cc1,2.65
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1,1.35
Clc1c(Cl)c(ccc1Cl)-c1cc(Cl)c(Cl)cc1,2.06
c1ccccc1C(OCCCl)c2ccccc2,-0.07
Clc1ccc(cc1)-c1cc(Cl)c(Cl)cc1Cl,2.55
C(C(CCCC1)C1)(CC(c3ccccc3)CC2)C2,0.45
Clc3ccc2Oc1cc(Cl)ccc1Oc2c3,0.23
Clc1cc(-c2ccccc2)c(Cl)cc1,2.38
Clc1cc(cc(Cl)c1)-c1ccccc1,1.11
Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,2.55
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1Cl,2.59
Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)c(Cl)c1Cl,2.34
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,3
Clc1cc2Oc3c(Oc2c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c3Cl,1.21
Cc1ccc(c(c1)OP(=S)(NC(C)CC)OCC)[N+]([O-])=O,-0.2
Clc(cc(Cl)c1c(ccc2)c(Cl)c2Cl)cc1,2.62
Clc1cc(-c2ccccc2Cl)c(Cl)cc1,1.87
Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1,2.46
Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1Cl,2.73
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)cc1,2.31
Clc1c(-c2cc(Cl)c(Cl)cc2)c(Cl)ccc1Cl,2.63
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,2.24
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,2.64
Clc1c(cc(Cl)c(Cl)c1Cl)-c1cc(Cl)c(Cl)cc1,2.73
Clc1ccc(Cl)c(Cl)c1-c1c(Cl)c(Cl)ccc1Cl,2.34
Clc1c(cc(Cl)c(Cl)c1Cl)-c1c(Cl)c(Cl)ccc1Cl,2.47
Clc1ccccc1-c1c(Cl)cccc1Cl,2.5
