SMILES,LogWS
Cc1cc(ccc1SC)OP(=S)(OC)OC,0.875061263
[O-][N+](=O)OC(CO[N+]([O-])=O)CO[N+]([O-])=O,3.139879086
NCCCC(O)=O,6.113943352
ClC(Cl)(Cl)Cl,2.899273187
C[C@]12C3CCC(O3)[C@@]1(C)C(=O)OC2=O,1.477121255
CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,2.638489257
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,1.041392685
NCC(O)=O,5.396199347
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.941014244
Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,-2.537602002
CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,1.079181246
c1c2c3ccccc3ccc2cc2ccccc21,-2.026872146
CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC,0.176091259
[O-][N+](=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,3.397940009
OC(CO)CO,6
N[C@@H](CC(O)=O)C(O)=O,3.72916479
NC(=O)CC[C@H](N)C(O)=O,4.615950052
N[C@@H](CCC(O)=O)C(O)=O,3.932980822
C=CCN=C=S,3.301029996
CCCCCCCCCCCCCCCC(O)=O,-1.397940009
NC(N)=O,5.736396502
CN(C)N,6
CC(C)(O)C(Cl)(Cl)Cl,3.903089987
O=C1C[C@@H]2OCC=C3CN4CC[C@]56[C@H]([C@H]2[C@H]3C[C@@H]54)N1c1ccccc61,2.204119983
O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1,1.505149978
CCOC(=O)C1(CCN(C)CC1)c1ccccc1,3.507180977
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.780317312
CCC1(CC)C(=O)NC(=O)NC1=O,3.872738827
O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,6.322219295
CCCC(C)(COC(N)=O)COC(N)=O,3.51851394
CC(O)CO,6
O=C1CCO1,5.568201724
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C,1.052693942
Cc1cc(C)[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1,3.176091259
ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,-1.251811973
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.944975908
CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.170261715
Cc1c2ccc3ccccc3c2c(C)c2ccccc12,-1.214670165
CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,4.334453751
CN(C)C1C(=O)N(c2ccccc2)N(C)C=1C,4.7355989
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(C)O,1.530199698
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,1.369215857
CC1=CC(=O)c2ccccc2C1=O,2.204119983
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,1.174931594
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,1.451786436
CN(C)CCCN1c2ccccc2Sc2ccccc12,1.152288344
CN1C(=O)c2[nH]c[n]c2N(C)C1=O,3.866877814
Oc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.198657087
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,2.342422681
"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",1.010087847
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1.361727836
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.858537198
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,2.424881637
CCN(CC)C(=O)c1ccc[n]c1,6
O=C1C=Cc2ccccc2N1,3.022428371
Nc1ccc(cc1)S(=O)(=O)Nc1c[n]c2ccccc2[n]1,0.875061263
CCN(CCOC(=O)c1ccc(N)cc1)CC,3.975569658
Cc1ccccc1OCC(O)CO,4.071882007
OCC(S)CS,4.939519253
CC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O,2.991226076
OC(=O)c1ccc[n]c1,4.255272505
O=NN1CCOCC1,6
N[C@@H](Cc1cc(O)c(O)cc1)C(O)=O,3.698970004
Nc1ccc(cc1)/N=N/c1ccccc1,1.505149978
CN(C)c1ccc(cc1)N=Nc1ccccc1,-0.638272164
OCCc1ccccc1,4.346352974
N[C@@H](Cc1ccc(O)cc1)C(O)=O,2.680335513
CN1CC(=O)NC1=N,4.903632516
CCOCC,4.781036939
NCCCCCC(O)=O,5.703291378
CNN,6
CC(N)=O,6.352182518
CNC(=O)CSP(=S)(OC)OC,4.367355921
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",-0.652669985
CN1C(C)=CC(=O)N1c1ccccc1,4.715167358
OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,3
CN(C)C(C)CN1c2ccccc2Sc2ccccc12,1.194236749
CN(C)C[C@@H](C)CN1c2cc(ccc2Sc2ccccc12)OC,1.301029996
[O-][N+](=O)c1c[n]c([s]1)N1CCNC1=O,2.113943352
CC(C)C[C@H](N)C(O)=O,4.33243846
[O-][N+](=O)c1ccc(cc1)C(O)=O,2.301029996
CC(=O)Nc1ccc(cc1)OCC,2.88422877
CCOS(C)(=O)=O,5.495544338
Nc1ccccc1,4.556302501
CC(N)=S,5.212187604
NC(N)=S,5.152288344
COP(=O)(OC=C(Cl)Cl)OC,3.903089987
CN(C)N=O,6
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O,1.762078087
CNC(=O)Oc1cccc2ccccc21,2.041392685
CSCC[C@H](N)C(O)=O,4.752816431
Nc1ccc(cc1)S(N)(=O)=O,3.875061263
CN1CC(=CCC1)C(=O)OC,6
CCO,6
OC=O,6
CC(O)=O,6
CCC(C)C(C)(COC(N)=O)COC(N)=O,3
CCOS(=O)(=O)OCC,3.84509804
Cc1ccc(cc1)S(=O)(=O)NC(=O)NCCCC,2.037426498
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,1.774516966
NC(=O)c1ccccc1O,3.31386722
Nc1cc(O)c(cc1)C(O)=O,3.227886705
CC1=CNC(=O)NC1=O,3.582063363
OC(=O)c1ccccc1,3.531478917
Oc1[n]c(cc(O)[n]1)C(O)=O,3.259593879
O=C1C=CNC(=O)N1,3.556302501
CCCCCC=O,3.751279104
c1cc2ccc[n]c2c2[n]cccc21,3.42975228
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,4.322219295
CO,6
CC(C)O,6
CC(C)=O,6
ClC(Cl)Cl,3.900367129
CS(C)=O,6
ClC(Cl)(Cl)C(Cl)(Cl)Cl,1.698970004
C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](OC(C)=O)[C@](O)(C(=O)COC(C)=O)[C@@]3(C)C[C@H](O)[C@]21F,1.550228353
OC(=O)CS,6
CN(C)C=O,6
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,0.847757688
O=C1NC=Nc2[n]c[nH]c21,2.84509804
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0.811575006
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,1.492201451
Oc1ccccc1C(O)=O,3.350248018
Cc1ccc(cc1)S(N)(=O)=O,3.499136995
CCC(=O)c1ccc(N)cc1,2.546666025
N[C@@H](Cc1c[n]c[nH]1)C(O)=O,4.659345636
CCCO,6
CCCCO,4.800717078
CCCCCO,4.342422681
c1ccccc1,3.252853031
CC(Cl)(Cl)Cl,3.11058971
Nc1ccc(cc1)S(=O)(=O)Nc1[n]cc[s]1,2.571708832
C[C@@H](O)[C@H](N)C(O)=O,4.986771734
COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,-1
Oc1ccc2c(C(=O)c3ccccc3C2=O)c1O,2.602059991
ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-1.045757491
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-1.397940009
N[C@@H](Cc1c[nH]c2ccccc21)C(O)=O,4.133538908
C[C@@H](CC)[C@H](N)C(O)=O,4.536558443
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,2.033423755
CCC1NC(=O)c2cc(c(Cl)cc2N1)S(N)(=O)=O,2.176091259
OC(=O)c1ccc(Cl)cc1,1.857332496
NC(=N)NCCC[C@H](N)C(O)=O,5.260071388
CBr,4.181843588
CCl,3.725911632
CI,4.139879086
CN,6.033423755
C#N,6
CS,4.18723862
BrCBr,4.075546961
CCBr,3.954242509
ClCBr,4.222716471
CCCl,3.82672252
C=CCl,3.944482672
C=CF,4.350248018
CCI,3.602059991
CCN,6
CC#N,6
CC=O,6
CCS,4.193124598
ClCCl,4.113943352
ICI,2.920645001
NC=O,6
S=C=S,3.334453751
CSC,4.343014497
C1CO1,6
BrC(Br)Br,3.491361694
CC(C)Br,3.50242712
ClC(Cl)Br,3.481729197
CC(C)C,1.688419822
CC(C)Cl,3.491361694
CC(C)I,3.146128036
CC(C)N,6
CC(Cl)Cl,3.702430536
C=C(Cl)Cl,3.383815366
CC(F)F,3.505149978
C=C(F)F,2.217483944
FC(Cl)Cl,4.274157849
FC(F)Cl,3.442479769
FC(F)F,3.611723308
CN(C)C,5.949390007
C[N+]([O-])=O,5.045322979
CC1CO1,5.770852012
FC(F)(F)Br,2.505149978
CC(C)(C)N,6
CC(C)(C)O,6
FC(Cl)(Cl)Cl,3.041392685
FC(F)(Cl)Cl,2.447158031
FC(F)(F)Cl,1.954242509
CCC(C)(C)C,1.264817823
CC(C)(C)CO,4.544068044
CCC(C)(C)O,5.041392685
O=CC(Cl)(Cl)Cl,4.477121255
OCC(F)(F)F,6
CC(=O)C(C)(C)C,4.278753601
CC(C)(C)C(O)=O,4.336459734
CC(Cl)(Cl)C(O)=O,5.700703717
CC(O)C(Cl)(Cl)Cl,4.45591024
ClC(Cl)C(Cl)(Cl)Cl,2.69019608
OC(=O)C(Cl)(Cl)Cl,4.737192643
[O-][N+](=O)C(Cl)(Cl)Cl,3.209515015
FC(Cl)(Cl)C(F)(Cl)Cl,2.079181246
FC(F)(Cl)C(F)(Cl)Cl,2.230448921
FC(F)(Cl)C(F)(F)Cl,2.113943352
FC(F)(F)C(F)(F)Cl,1.763427994
FC(F)(C(F)(F)F)C(F)(F)F,0.755951041
CC(CC)(S(=O)(=O)CC)S(=O)(=O)CC,3.698970004
CC1(C)O[C@@]2([C@@H](C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C)O1)C(=O)CO,1.322219295
ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,-0.744727495
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,3.954242509
CCC1(C(C)CCC)C(=O)NC(O)=NC1=O,2.831741834
CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.08278537
OC(=O)C(O)(c1ccccc1)c1ccccc1,3.149219113
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,3.610660163
C[C@]12[C@H]3[C@H](C(O)=O)[C@@]45C[C@@](O)(CC[C@H]4[C@@]3(C=C[C@@H]1O)OC2=O)C(=C)C5,3.698970004
Oc1ccc(cc1)C1(OC(=O)c2ccccc12)c1ccc(O)cc1,2.602059991
CCC1(CCC(=O)NC1=O)c1ccccc1,2.999565488
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,1.693726949
CCCCC1(CC)C(=O)NC(=O)NC1=O,3.688419822
NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12,2.079181246
ClC1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,0.255272505
CCC(Br)(CC)C(=O)NC(N)=O,2.522444234
CC(O)(CC)CC,4.629409599
CCC(C)(O)C#C,4.995635195
COS(=O)(=O)OC,4.447158031
OC(=O)C(O)(CC(O)=O)CC(O)=O,5.772321707
CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,4.812913357
CC(CC)(CC)OC(N)=O,3.602059991
CCOP(=O)(OCC)OCC,5.698970004
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,2.477121255
CCCCSP(=O)(SCCCC)SCCCC,0.361727836
CC1CC(C)(C)CC(=O)C=1,4.079181246
CC(C)=CCCC(C)(O)C=C,3.201123897
CC(Br)CBr,3.155336037
CC(C)CBr,2.705007959
CCC(C)C,1.681241237
CC(=C)C=C,2.807535028
CC(C)CN,6
CC(C)CO,4.929418926
CC(C)C=O,4.949390007
CC(=C)C=O,4.698970004
CCC(C)Cl,3
CC(Cl)CCl,3.447158031
C=C(Cl)CCl,3.33243846
CCC(C)O,5.257678575
CCC(C)=O,5.348304863
ClCC(Cl)Cl,3.661812686
ClC=C(Cl)Cl,3.10720997
C=CC(N)=O,5.591064607
NC(=O)CCl,4.954242509
CCC(O)=O,6
OC(=O)CCl,5.933487288
CNC(C)=O,6
COC(C)=O,5.385606274
CC[N+]([O-])=O,4.681241237
BrC(Br)C(Br)Br,2.831229694
CC(C)C(C)C,1.352182518
CC(C)C(O)=O,5.222716471
ClC(Cl)C(Cl)Cl,3.451786436
CC(=C)C(O)=O,4.949390007
OC(=O)C(Cl)Cl,6
CC(C)[N+]([O-])=O,4.230448921
Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NCCO,2.86923172
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2.079181246
Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1,2.579783597
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)[n][n]1,2.167317335
CC(C)(CC)c1ccc(O)cc1,2.225309282
CC(C)(O)C1CCC(C)(O)CC1,4
CC(=C)C(=O)OC,4.176091259
CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O,3.397940009
O=C1NS(=O)(=O)c2ccccc12,3.602059991
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,2.243038049
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,1.230448921
OC(=O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,2.243038049
[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-0.356547324
[O-][N+](=O)c1c(O)c(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,3.727622578
CN1CCN(CC1)C(c1ccccc1)c1ccccc1,3
CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,1.255272505
C1Cc2cccc3cccc1c23,0.591064607
Cc1c[nH]c2ccccc21,2.697229343
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C21,2.079181246
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,1.639486489
Oc1cccc2c1cccc2O,2.217483944
CN1c2[n]c[n](C)c2C(=O)NC1=O,2.51851394
c1ccccc1-c1ccccc1-c1ccccc1,0.093071306
CC[C@H]([C@H](CC)c1ccc(O)cc1)c1ccc(O)cc1,1.079181246
O=C1c2ccccc2C(=O)c2ccccc12,0.130333768
CCOC(=O)c1ccccc1C(=O)OCC,3.033423755
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,0.792391689
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.049218023
COc1c2C=CC(=O)Oc2cc2OC(C)(C)C=Cc21,1.602059991
c1cc2ccccc2c2ccccc21,0.06069784
c1cccc2c3ccc[n]c3ccc21,1.895974732
OC(=O)Cc1c(Cl)c(Cl)ccc1Cl,2.301029996
[O-][N+](=O)c1cccc(c1O)C(O)=O,3.113943352
O=C1NC(=O)c2ccccc12,2.556302501
O=C1OC(=O)c2ccccc12,3.792391689
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,0.42975228
Cc1cc(ccc1)NC(=O)c1ccccc1C(O)=O,3
Nc1ccc2ccccc2c1N=Nc1ccccc1,-0.522878745
O=NN(c1ccccc1)c1ccccc1,1.544068044
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,1.320146286
[O-][N+](=O)c1cccc2ccccc21,0.962842681
C1c2ccccc2-c2ccccc21,0.227886705
c1cccc2[nH]c3ccccc3c21,0.255272505
OC(=O)Cc1cccc2ccccc21,2.62324929
NC(=S)Nc1cccc2ccccc21,2.77815125
"CN1[C@@H]2C[C@H](C[C@H]1CC2)OC(=O)C(O)c1ccccc1 |&1:2,4,6|",4
Oc1ccccc1C(=O)Nc1ccccc1,1.740362689
CC(C)CCOC(=O)c1ccccc1O,2.161368002
[O-][N+](=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+]([O-])=O,2.740362689
COc1c(Cl)cc(Cl)cc1Cl,1
OC(=O)Cc1c[nH]c2ccccc21,3.176091259
Clc1c(Cl)cccc1Cl,1.255272505
Oc1c(Cl)cccc1Cl,3.278753601
Oc1c(O)cccc1O,5.705007959
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.505149978
O[C@@H](CO)[C@@H](O)[C@H](O)C(=O)CO,5.556302501
Cc1c(C)c(C)c(C)c(C)c1C,-0.628932138
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.146128036
"O[C@@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O |&1:1,2,4,6,8,10|",5.155336037
O[C@H]([C@@H](O)CO)[C@H](O)CO,5.807535028
Cc1cc(O)cc(C)c1Cl,2.397940009
Oc1c(Cl)cc(Cl)cc1Cl,2.903089987
CCC(CC)C(O)=O,4.255272505
OC(=O)c1cc[s]c1,3.633468456
OC(=O)c1ccco1,4.56937391
Cc1ccccc1S(N)(=O)=O,3.209515015
OC(=O)c1ccccc1I,2.663700925
Cc1ccccc1[N+]([O-])=O,2.812913357
[O-][N+](=O)c1ccccc1Cl,2.644438589
Nc1ccccc1[N+]([O-])=O,3.167317335
[O-][N+](=O)c1ccccc1O,3.397940009
CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,1.716003344
[O-][N+](=O)c1cc(c(Cl)c(c1)[N+]([O-])=O)[N+]([O-])=O,2.72427587
[O-][N+](=O)c1cc(c(O)c(c1)[N+]([O-])=O)[N+]([O-])=O,4.103803721
OC(=O)c1ccccc1C(O)=O,3.843232778
OC(=O)c1[n]cccc1C(O)=O,4.041392685
OC(=O)c1cc(c(cc1C(O)=O)C(O)=O)C(O)=O,4.146128036
[O-][N+](=O)c1cc(Cl)ccc1Cl,1.146128036
[O-][N+](=O)c1cc(Cl)c(Cl)cc1Cl,1.46834733
CC(C)C1CCC(C)CC1O,2.659250469
Cc1ccc(C(C)C)c(O)c1,2.954242509
CCc1ccccc1O,3.727541257
Oc1ccccc1CO,4.799340549
COc1ccccc1O,4.271841607
Brc1cccc2ccccc21,0.969322706
Cc1cccc2ccccc21,1.411619706
Clc1cccc2ccccc21,1.240549248
Oc1cccc2ccccc21,2.937517892
c1cccc2c(cccc21)Nc1ccccc1,1.77815125
C1[C@@H]2C[C@@H](CN3CCCC[C@@H]32)[C@@H]2CCCCN21,3.482873584
Oc1ccccc1-c1ccccc1,2.84509804
OC(=O)C(O)c1ccccc1,5.257678575
OC(c1ccccc1)c1ccccc1,2.716003344
COc1cccc(OC)c1O,4.235528447
C1CCCC2CCCCC21,-0.051098239
c1[n]c[n]c2[n]cc[n]c21,5.155336037
c1cccc2ccccc21,1.491361694
c1cccc2[n]cccc21,3.78604121
COc1ccccc1[N+]([O-])=O,3.227886705
Cc1cc2ccccc2cc1,1.390935107
Clc1cc2ccccc2cc1,1.068185862
O=C1C=Cc2ccccc2O1,3.278753601
CCN(CC)c1ccccc1,2.146128036
Nc1[n]c([n]c(N)[n]1)-c1ccccc1,2.77815125
Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,0.491361694
c1c(cccc1-c1ccccc1)-c1ccccc1,0.179264464
c1c2cc3ccccc3cc2cc2ccccc21,-2.821023053
Oc1cc2ccccc2cc1O,2.46686762
c1ccccc1-c1ccccc1,0.873901598
Brc1ccc(cc1)-c1ccccc1,-0.185086819
Oc1ccc(cc1)-c1ccccc1,1.749736316
c1cccc2Nc3ccccc3Sc21,0.201397124
Nc1ccc(cc1)-c1ccc(N)cc1,2.507855872
c1cc(ccc1-c1ccccc1)-c1ccccc1,-1.744727495
OC(=O)c1cc2ccccc2cc1,1.672097858
COc1ccccc1OCC(O)CO,4.698970004
Cc1cc2[n]c(C)ccc2cc1,3.254064453
CCC(=O)c1ccccc1,3.301029996
COC(=O)c1ccccc1,3.322219295
COC(=O)c1ccc[n]c1,4.677606953
Cc1cc(Cl)ccc1OC(C)C(O)=O,2.792391689
C=CCN(CC=C)C(=O)CCl,4.294466226
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O,1.851258349
OC(=O)COc1cc(Cl)c(Cl)cc1Cl,2.444044796
CCOC(=O)c1ccccc1,2.857332496
CCOC(=O)c1ccc(N)cc1,3.117271296
CCCOC(=O)c1ccc(N)cc1,2.925312091
CCCOC(=O)c1ccc(O)cc1,2.698970004
CC(C)COC(=O)c1ccc(N)cc1,2.342422681
CCc1[n][n]c(NS(=O)(=O)c2ccc(N)cc2)[s]1,3.511883361
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.411619706
CCOc1ccc(cc1)C(=O)OCCN(CC)CC,2.709354776
CCCCOC(=O)c1ccc(N)cc1,2.525044807
