,SMILES,LKoc,LogKoc
111,Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,4.35,0.638489257
112,c1c2cc3ccccc3cc2cc2ccccc21,5.81,0.764176132
113,c1ccccc1-c1ccccc1,3.27,0.514547753
114,c1cccc2[n]c3ccccc3[n]c21,3.37,0.527629901
115,Nc1ccc(cc1)-c1ccc(N)cc1,3.46,0.539076099
116,CC(=O)c1ccc(cc1)-c1ccccc1,3.22,0.507855872
117,CC(=O)c1cc2ccccc2cc1,2.93,0.46686762
118,COC(=O)c1ccccc1,2.1,0.322219295
119,Cc1cc(Cl)ccc1OC(C)C(O)=O,1.3,0.113943352
120,C=CCN(CC=C)C(=O)CCl,1.3,0.113943352
121,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O,1.75,0.243038049
122,OC(=O)COc1cc(Cl)c(Cl)cc1Cl,1.99,0.298853076
123,CCOC(=O)c1ccccc1,2.3,0.361727836
124,O=C(Oc1ccccc1)c1ccccc1,3.16,0.499687083
125,Cc1ccc(cc1)C(=O)OCC,2.59,0.413299764
126,C=CCc1ccc2OCOc2c1,2.83,0.451786436
127,Cc1cc(Cl)ccc1OCC(O)=O,1.73,0.238046103
128,OC(=O)COc1ccc(Cl)cc1Cl,1.66,0.220108088
129,Nc1ccc(N=Nc2ccccc2)c(N)[n]1,2.32,0.365487985
130,Cc1cc(Cl)ccc1OCCCC(O)=O,2.73,0.436162647
131,c1cccc2[nH][n][n]c21,1.69,0.227886705
132,c1cccc2[s]ccc21,3.48,0.541579244
133,Cc1ccccc1C,2.25,0.352182518
134,Clc1ccccc1Cl,2.56,0.408239965
135,Oc1ccccc1Cl,2.6,0.414973348
136,Nc1cc(Cl)c(Cl)cc1,2.29,0.359835482
137,Oc1cc(Cl)c(Cl)cc1,3.09,0.489958479
138,Cc1cc(C)c(C)cc1C,3.12,0.494154594
139,Clc1cc(Cl)c(Cl)cc1Cl,4.1,0.612783857
140,Oc1cc(Cl)c(Cl)cc1Cl,3.36,0.526339277
141,ClCC(Br)CBr,1.85,0.267171728
142,Nc1cc(ccc1)C(F)(F)F,2.36,0.372912003
143,CC(O)c1ccccc1,1.5,0.176091259
144,CC(=O)c1ccccc1,1.8,0.255272505
145,[O-][N+](=O)c1ccccc1,1.94,0.28780173
146,Nc1cc(ccc1)[N+]([O-])=O,1.73,0.238046103
147,Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O,3.0,0.477121255
148,[O-][N+](=O)c1cc(cc(c1)[N+]([O-])=O)C(O)=O,1.53,0.184691431
149,[O-][N+](=O)c1cc(Cl)c(Cl)cc1,2.53,0.403120521
150,O=C(OCC)c(ccc(N(=O)=O)c1)c1,2.48,0.394451681
151,Cc1ccc(cc1)C(O)=O,1.77,0.247973266
152,Oc1ccc(cc1)C(O)=O,1.43,0.155336037
153,Nc1ccc(cc1)[N+]([O-])=O,1.88,0.274157849
154,[O-][N+](=O)c1ccc(O)cc1,2.37,0.374748346
155,CCc1ccccc1,2.23,0.348304863
156,C=Cc1ccccc1,2.96,0.471291711
157,C=Cc1cc[n]cc1,1.18,0.071882007
158,OCc1ccccc1,1.1,0.041392685
159,N#Cc1c[n]ccc1,1.56,0.193124598
160,CNc1ccccc1,2.28,0.357934847
161,COc1ccccc1,1.54,0.187520721
162,Clc1ccccc1Nc1[n]c(Cl)[n]c(Cl)[n]1,3.0,0.477121255
163,CC(C)OC(=O)Nc1cccc(Cl)c1,2.6,0.414973348
164,O=C(Nc1cc(Cl)ccc1)OCC#CCCl,3.06,0.485721426
165,CN(C)C(=O)Nc1ccccc1,1.4,0.146128036
166,Brc1ccc(cc1)Oc1ccccc1,4.23,0.626340367
167,CN(C)c1ccc(Cc2ccc(cc2)N(C)C)cc1,3.96,0.597695186
168,Nc1ccc(Cc2ccc(N)cc2)cc1,1.99,0.298853076
169,c1ccccc1Oc1ccccc1,3.29,0.517195898
170,CCOC(=O)Cc1ccccc1,1.89,0.276461804
171,O=C(OCC)Nc(cccc1)c1,1.82,0.260071388
172,O=C(OCC(CCCC)CC)CCCCC(=O)OCC(CCCC)CC,4.19,0.622214023
173,c1ccccc1N=Nc1ccccc1,3.3,0.51851394
174,CC(=O)OCCc1ccccc1,1.89,0.276461804
175,CCCc1ccccc1,2.87,0.457881897
176,OCCc1cccc[n]1,1.45,0.161368002
177,OC(=O)Cc1ccccc1,1.45,0.161368002
178,CC(=O)Nc1ccccc1,1.43,0.155336037
179,CC(=O)Nc1ccc(Br)cc1,1.95,0.290034611
180,CCCCCCCCCc1ccc(O)cc1,3.84,0.584331224
181,CCCCc1ccccc1,3.39,0.530199698
182,COc1ccc(N)cc1,1.93,0.285557309
183,CCCCCCC(=O)OCC,2.61,0.416640507
184,CCCCCCCC(=O)OCC,3.02,0.480006943
185,Nc1ccc(Br)cc1,1.96,0.292256071
186,Oc1ccc(Br)cc1,2.41,0.382017043
187,Cc1ccc(C)cc1,2.41,0.382017043
188,Cc1ccc(O)cc1,2.7,0.431363764
189,Clc1ccc(Cl)cc1,2.65,0.423245874
190,Nc1ccc(Cl)cc1,1.96,0.292256071
191,Cc1ccc(N)cc1,1.9,0.278753601
192,ClCC1CO1,1.0,0
193,BrCCBr,1.71,0.23299611
194,ClCCCl,1.52,0.181843588
195,Cc1cc(C)ccc1,2.25,0.352182518
196,Oc1cc(Cl)ccc1,2.54,0.404833717
197,Cc1cc(N)ccc1,1.53,0.184691431
198,Oc1cc(O)ccc1,0.98,-0.008773924
199,O(C(CCl)C)C(CCl)C,1.67,0.222716471
200,CC1OC(C)OC(C)OC(C)O1,2.38,0.376576957
201,COCC(OC(=O)C)C,0.36,-0.443697499
202,Cc1cc(C)cc(C)c1,2.82,0.450249108
203,Cc1cc(O)cc(C)c1,2.83,0.451786436
204,Clc1cc(Cl)cc(Cl)c1,2.85,0.45484486
205,Brc1ccccc1,2.49,0.396199347
206,Cc1ccccc1,2.07,0.315970345
207,Clc1ccccc1,2.15,0.33243846
208,Oc1ccccc1,1.43,0.155336037
209,CCCCN,1.88,0.274157849
210,c1cccc[n]1,1.6,0.204119983
211,CCCCCCO,1.01,0.004321374
212,OCCNCCO,0.6,-0.22184875
213,ClCCOCCCl,1.88,0.274157849
214,SC(=S)NCCNC(S)=S,2.74,0.437750563
215,CCCCCCCO,1.14,0.056904851
216,CCCCOCCO,1.83,0.26245109
217,CCCCCCCCO,1.56,0.193124598
218,ClCCOCOCCCl,1.79,0.252853031
219,CCCCCCCCCCO,2.59,0.413299764
220,CCCCCCCCCCCCO,3.52,0.546542663
221,CNC(=O)Oc1ccccc1OC(C)C,1.67,0.222716471
222,NC(=O)Nc1ccccc1Cl,1.61,0.206825876
223,O=C(O)C(C(C(=C(C12Cl)Cl)Cl)(C1(Cl)Cl)Cl)C2C(=O)O,2.79,0.445604203
224,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.11,0.613841822
225,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,3.7,0.568201724
226,CS(=O)c1ccc(cc1)OP(=S)(OCC)OCC,2.52,0.401400541
227,CNC(=O)ON=CC(C)(C)SC,1.5,0.176091259
228,[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,4.05,0.607455023
229,O=C1c2ccccc2C(=O)C(Cl)=C1Cl,3.98,0.599883072
230,O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,4.94,0.693726949
231,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,4.38,0.641474111
232,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.74,0.572871602
233,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,2.32,0.365487985
234,O=C(c1ccccc1)c1ccccc1,2.63,0.419955748
235,c1cc([n]c2ccccc21)-c1ccc2ccccc2[n]1,4.02,0.604226053
236,c1c2ccccc2cc2ccccc21,4.31,0.63447727
237,CC(Oc1ccc(Cl)cc1Cl)C(O)=O,2.23,0.348304863
238,O=C(OCC)c(ccc(O)c1)c1,2.21,0.344392274
239,Clc1cc(Cl)c(Cl)cc1,3.1,0.491361694
240,Oc1ccc(Cl)cc1Cl,2.81,0.44870632
241,CN(C)c1ccccc1,2.26,0.354108439
242,CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,2.36,0.372912003
243,NC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,2.31,0.36361198
244,Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,2.63,0.419955748
245,CC(=O)Nc1cc(ccc1)[N+]([O-])=O,1.94,0.28780173
246,CCNc1[n]c(Cl)[n]c(NCC)[n]1,2.1,0.322219295
247,c1ccccc1Nc1ccccc1,2.78,0.444044796
248,O=C(OC(C)C)Nc(cccc1)c1,1.83,0.26245109
249,c1ccccc1NNc1ccccc1,2.98,0.474216264
250,C1=CC(=O)NNC1(=O),0.45,-0.346787486
251,CCCCCC(=O)OCC,2.06,0.31386722
252,C1COCCO1,1.23,0.089905111
253,ClC(Br)Br,1.92,0.283301229
254,CCSCCSP(=O)(OCC)OCC,1.85,0.267171728
255,ClC(Cl)=C(Cl)Cl,2.4,0.380211242
256,O=C1c2ccccc2-c2ccc3c4c2c1ccc4-c1ccccc1C3=O,4.28,0.631443769
257,c1cc2cccc3ccc4cccc1c4c32,4.9,0.69019608
258,COC(=O)c1ccccc1C(=O)OC,1.6,0.204119983
259,c1cccc2oc3ccccc3c21,3.91,0.592176757
260,c1cccc2[s]c3ccccc3c21,4.05,0.607455023
261,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,2.3,0.361727836
262,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,3.27,0.514547753
263,Nc1cc(Cl)cc(C(O)=O)c1Cl,1.48,0.170261715
264,Nc1cccc2ccccc21,3.51,0.545307116
265,CCCCOC(=O)c1ccccc1,2.1,0.322219295
266,CN(C)C(=S)SSC(=S)N(C)C,2.83,0.451786436
267,CC(C)Nc1[n]c(Cl)[n]c(NC(C)C)[n]1,2.4,0.380211242
268,Nc1ccc(cc1)Sc1ccc(N)cc1,2.04,0.309630167
269,[Na+].CN(C)c1ccc(cc1)N=NS([O-])(=O)=O,1.18,0.071882007
270,C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,1.66,0.220108088
271,CCCCCC(O)=O,1.46,0.164352856
272,CCCCCCCCCO,1.89,0.276461804
273,O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl,4.2,0.62324929
274,OC(=O)C1C(C2CCC1O2)C(O)=O,2.09,0.320146286
275,c1[n]c(c[s]1)-c1[nH]c2ccccc2[n]1,3.24,0.51054501
276,Sc1[n]c2ccccc2[s]1,2.25,0.352182518
277,Nc1ccc(cc1)C(O)=O,2.5,0.397940009
278,COc1cccc(O)c1,1.5,0.176091259
279,CN(C)C(=O)Nc1ccc(Cl)cc1,1.95,0.290034611
280,C1CN1,0.78,-0.107905397
281,O[C@H]1Cc2c(cc(O)cc2O)O[C@@H]1c1cc(O)c(O)cc1,2.03,0.307496038
282,c1c2ccccc2c2ccc3c4c2c1ccc4cc1ccccc13,5.71,0.756636108
283,c1cc2ccc3cccc4c3c2c2c3c4cccc3ccc21,4.61,0.663700925
284,c1c2c3c4c5c1cccc5ccc4ccc3-c1ccccc1-2,6.2,0.792391689
285,c1cc2[nH]c3ccc4ccccc4c3c2c2ccccc21,6.03,0.780317312
286,c1ccc2c3c(cccc31)-c1ccccc1-2,4.8,0.681241237
287,c1c2-c3cccc4cccc(c43)-c2cc2ccccc21,4.34,0.63748973
288,c1ccc2C=Cc3cccc1c32,3.75,0.574031268
289,c4ccc3nc2ccc1ccccc1c2cc3c4,4.39,0.64246452
290,c1c2ccccc2[n]c2ccccc21,4.18,0.621176282
291,COP(=S)(OC)Oc1ccc(cc1)N(=O)=O,3.0,0.477121255
292,CCSCSP(=S)(OCC)OCC,2.7,0.431363764
293,CCSCCOP(=S)(OCC)OCC,2.59,0.413299764
294,CCSCCSP(=S)(OCC)OCC,3.22,0.507855872
295,COP(=O)(OC(Br)C(Cl)(Cl)Br)OC,2.26,0.354108439
296,CCS(=O)CCSP(=O)(OC)OC,1.0,0
297,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|",4.69,0.671172843
298,CC1NC(=O)N(C(C)CC)C(=O)C=1Br,1.6,0.204119983
299,CC1NC(=O)N(C(C)C)C(=O)C=1Br,2.11,0.324282455
300,CN(C)c1c(C)cc(cc1C)OC(=O)NC,2.48,0.394451681
301,CCP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)OCC,2.6,0.414973348
302,CN(C)C(=O)Nc1cccc(F)c1,1.73,0.238046103
303,CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,2.4,0.380211242
304,CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,2.7,0.431363764
305,CN(C)C(=O)Nc1ccc(F)cc1,1.43,0.155336037
306,Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,2.75,0.439332694
307,CC(=O)Nc1cccc(F)c1,1.57,0.195899652
308,CC(=O)Nc1cccc(c1)C(F)(F)F,1.75,0.243038049
309,CC(=O)Nc1ccc(F)cc1,1.48,0.170261715
310,c1ccc[n]c1-c1cccc[n]1,1.6,0.204119983
311,CCOP(=O)(OC(=CCl)c1ccc(Cl)cc1Cl)OCC,2.47,0.392696953
312,CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C,3.31,0.519827994
313,[O-][N+](=Nc1ccccc1)c1ccccc1,3.5,0.544068044
314,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.3,0.51851394
315,Cc1c(C)cccc1C,2.8,0.447158031
316,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.62,0.664641976
317,[O-][N+](=O)c1ccc(cc1[N+]([O-])=O)C(O)=O,1.53,0.184691431
318,O=C(Nc(c(ccc1)Cl)c1)C,1.58,0.198657087
319,N(CSC(N1C)=S)(C1)C,1.0,0
320,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,2.41,0.382017043
321,Cc1cccc(c1)NC(C)=O,1.45,0.161368002
322,CCCCC(=O)OCC,1.97,0.294466226
323,BrC=CBr,1.65,0.217483944
324,c(cccc1Cl)(c1)Cl,2.58,0.411619706
325,C(=CCl)CCl,1.665,0.221414238
326,Nc1ccc(Cl)cc1Cl,2.72,0.434568904
327,CCCCN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,3.4,0.531478917
328,CN=C=S,0.97,-0.013228266
329,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,4.06,0.608526034
330,Oc1cccc(Cl)c1Cl,2.66,0.424881637
331,[O-][N+](=O)c1ccc(Br)cc1,2.42,0.383815366
332,CN(C)C(=O)Nc1cccc(Cl)c1,1.79,0.252853031
333,CC(=O)Nc1cccc(Cl)c1,1.86,0.269512944
334,Oc1cc(Cl)cc(Cl)c1,2.83,0.451786436
335,Ic1ccccc1,3.1,0.491361694
336,NC(=O)C(Cl)(Cl)Cl,0.99,-0.004364805
337,c1ccccc1N(c1ccccc1)c1ccccc1,2.26,0.354108439
338,Nc1c(Cl)cccc1Cl,3.25,0.511883361
339,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,3.5,0.544068044
340,Oc1cc(Cl)c(Cl)c(Cl)c1,3.56,0.551449998
341,NC(=O)c1ccccc1Cl,1.51,0.178976947
342,NC(=O)c1ccccc1[N+]([O-])=O,1.45,0.161368002
343,[O-][N+](=O)c1ccc(cc1C(O)=O)[N+]([O-])=O,2.3,0.361727836
344,CN(C)C(=O)c1ccccc1,1.6,0.204119983
345,Nc1cc2cc3ccccc3cc2cc1,4.45,0.648360011
346,CNC(=O)c1ccccc1,1.68,0.225309282
347,CCOC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,2.74,0.437750563
348,Nc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,2.55,0.40654018
349,Cc1ccc(cc1)C(N)=O,1.78,0.250420002
350,NC(=O)c1ccc(cc1)[N+]([O-])=O,1.93,0.285557309
351,CC(=O)Nc1cccc(Br)c1,2.01,0.303196057
352,Nc1cc(Cl)cc(Cl)c1,2.49,0.396199347
353,OC(=O)c1c(c(Cl)c(Cl)c(Cl)c1Cl)C(O)=O,3.3,0.51851394
354,Clc1ccc(Cl)c(Cl)c1Cl,3.84,0.584331224
355,Nc1ccc(Cl)c(Cl)c1Cl,2.6,0.414973348
356,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,3.03,0.481442629
357,Clc1cc(Cl)c(Cl)c(Cl)c1,3.2,0.505149978
358,NC(=O)c1cc(ccc1)[N+]([O-])=O,1.95,0.290034611
359,Fc1c(F)c(F)c(F)c(F)c1S(=O)(=O)C,1.46,0.164352856
360,NC(=O)Nc1ccccc1F,1.32,0.120573931
361,NC(=O)Nc1ccc(F)cc1,1.52,0.181843588
362,COc1[n]c(NCC)[n]c(NCC)[n]1,2.34,0.369215857
363,O=C(N(CC)CC)C,1.84,0.264817823
364,Cc1cc(O)c(C)c(C)c1,3.61,0.557507202
365,CCC(=O)Nc1cc(Cl)c(Cl)cc1,2.17,0.336459734
366,OC(=O)c1c2ccccc2cc2ccccc21,2.74,0.437750563
367,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,2.91,0.463892989
368,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,3.0,0.477121255
369,O=C(N(CCC)CCC)SCC,2.38,0.376576957
370,NC(=O)Nc1cccc(F)c1,1.77,0.247973266
371,Cc1c2ccccc2cc2ccccc21,4.81,0.682145076
372,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4.66,0.668385917
373,CCNc1[n]c(NC(C)C)[n]c([n]1)SC,2.59,0.413299764
374,Oc1ccc2ccccc2c1/N=N/c1ccccc1,3.58,0.553883027
375,[O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl,4.23,0.626340367
376,CCNc1[n]c(NC(C)(C)C)[n]c([n]1)SC,2.85,0.45484486
377,O=C(NC1CCCCC1)Nc2ccccc2,2.07,0.315970345
378,CCSCCSP(=O)(OC)OC,1.49,0.173186268
379,Oc1cc(Cl)cc(Cl)c1Cl,3.61,0.557507202
380,CCc1cc2ccccc2cc1,3.76,0.575187845
381,CCP(=S)(OCC)Sc1ccccc1,2.94,0.46834733
382,COC1=NN(CSP(=S)(OC)OC)C(=O)S1,1.53,0.184691431
383,COP(=S)(OC)SCSc1ccc(Cl)cc1,4.67,0.669316881
384,CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.32,0.365487985
385,COP(=O)(OC(=CCl)c1cc(Cl)c(Cl)cc1Cl)OC,3.01,0.478566496
386,CNC(=O)Nc1ccccc1,1.29,0.11058971
387,CCNc1nc(NCC)nc(SC)n1,2.3,0.361727836
388,ClC1(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C(Cl)=C2Cl,4.02,0.604226053
389,OC(=O)CNCP(O)(O)=O,3.32,0.521138084
390,CCN(CCCC)C(=O)SCCC,2.8,0.447158031
391,CCc1cccc2ccccc12,3.78,0.5774918
392,CCCC(=O)Nc1ccccc1,1.71,0.23299611
393,CCN(C1CCCCC1)C(=O)SCC,2.54,0.404833717
394,N#Cc1c(Cl)cccc1Cl,2.5,0.397940009
395,O(C1C(O2)C2)C1,0.4,-0.397940009
396,OCc1c2ccccc2cc2ccccc21,3.61,0.557507202
397,Oc1cc2CCCc2cc1,3.4,0.531478917
