,SMILES,LogBCF
91,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.82
92,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,3
93,Cc1c(Br)c(Br)c(Br)c(Br)c1Br,2.43
94,ClC1C(Br)C(Br)C(Br)C(Br)C1Br,2.41
95,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.66
96,Oc1c(Cl)cc(Cl)cc1Cl,1.94
97,Cc1ccccc1S(N)(=O)=O,0.41
98,Cc1cc(c(N)cc1)S(O)(=O)=O,0.6
99,Cc1ccccc1[N+]([O-])=O,1.26
100,[O-][N+](=O)c1ccccc1Cl,1.17
101,Nc1ccccc1[N+]([O-])=O,1
102,[O-][N+](=O)c1ccccc1O,1.34
103,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,1.79
104,[O-][N+](=O)c1cc(c(O)c(c1)[N+]([O-])=O)[N+]([O-])=O,0.34
105,O=C(O)C(C(C(=O)O)CC=C1)C1,0.3
106,Cc1ccc(Cl)cc1[N+]([O-])=O,1.92
107,[O-][N+](=O)c1cc(Cl)ccc1Cl,2.05
108,Nc1ccc(Cl)cc1[N+]([O-])=O,1.04
109,[O-][N+](=O)c1cc(Cl)c(Cl)cc1Cl,1.84
110,Cc1ccccc1CN,0.66
111,Cc1cccc2ccccc21,1.73
112,c1cccc2c(cccc21)Nc1ccccc1,3.23
113,Nc1ccccc1-c1ccccc1,1.41
114,Nc1cc2c(cc1)cc(cc2O)S(O)(=O)=O,0.61
115,O=C(c(ccc(N(C)C)c1)c1)c(ccc(N(C)C)c2)c2,1.45
116,N#Cc1ccccc1C#N,0.7
117,c1cccc2ccccc21,1.93
118,c1cccc2[n]cccc21,0.58
119,COc1ccccc1[N+]([O-])=O,0.7
120,Cc1cc2ccccc2cc1,1.87
121,Clc1cc2ccccc2cc1,3.63
122,CCN(CC)c1ccccc1,2.01
123,Nc1ccc(cc1Cl)-c1cc(Cl)c(N)cc1,2.16
124,O=C(Nc(c(cc(c(ccc(NC(=O)CC(=O)C)c1C)c1)c2)C)c2)CC(=O)C,0.2
125,c1ccccc1-c1ccccc1,2.64
126,Oc1ccc(cc1)-c1ccccc1,1.59
127,Oc1cc2ccccc2cc1C(O)=O,0.6
128,Oc1cc2ccccc2cc1C(=O)Nc1ccccc1,0.81
129,c1cccc2Nc3ccccc3Sc21,2.55
130,Brc1ccc(cc1)-c1ccc(Br)cc1,3.92
131,[O-][N+](=O)c1cc2[n]c[nH]c2cc1,0.4
132,c1[n]c2ccccc2[s]1,0.88
133,Cc1ccccc1C,1.15
134,Cc1ccccc1O,1.03
135,Cc1ccccc1Cl,1.82
136,Clc1ccccc1Cl,2.43
137,Nc1ccccc1Cl,0.95
138,Oc1ccccc1Br,1.52
139,Oc1ccccc1Cl,1.35
140,Cc1cc(C)c(C)cc1,2.08
141,Cc1cc(N)ccc1C,0.95
142,Cc1cc(Cl)ccc1N,1.54
143,Nc1cc(Cl)c(Cl)cc1,1.11
144,Oc1cc(Cl)c(Cl)cc1,1.69
145,Cc1cc(N)c(C)cc1,0.58
146,Cc1ccc(N)cc1N,1.7
147,Nc1cc(Cl)ccc1Cl,1.18
148,Clc1cc(Cl)c(Cl)cc1Cl,3.44
149,Oc1cc(Cl)c(Cl)cc1Cl,2.73
150,ClCC(Br)CBr,1.06
151,ClC(CCl)CCl,1.11
152,CCC(C)=NO,0.7
153,N(C(=S)NC1)C1,0.26
154,CC(C)(C)c1cc(ccc1O)C(C)(C)C,2.4
155,Nc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.47
156,COc1cc(c(N)cc1)[N+]([O-])=O,0.85
157,Oc(c(cc(c1)Cl)Cc(c(O)ccc2Cl)c2)c1,2.28
158,FC(F)(F)c1ccccc1,1.65
159,NS(=O)(=O)c1ccccc1,0.68
160,FC(F)(F)c1cccc(Cl)c1,2.35
161,Oc(ccc(c1)C(C)(C)C)c1,1.83
162,CC(C)(C)c1ccc(cc1)C(O)=O,0.66
163,CC(C)c1ccccc1,1.55
164,CC(=C)c1ccccc1,1.8
165,CC(N)c1ccccc1,0.82
166,[O-][N+](=O)c1ccccc1,0.67
167,Cc1cc(ccc1)[N+]([O-])=O,1.08
168,Nc1cc(ccc1)[N+]([O-])=O,0.48
169,[O-][N+](=O)c1cc(Cl)c(Cl)cc1,1.71
170,CC(C)c1cc(ccc1)C(C)C,3.28
171,[O-][N+](=O)c1cc(ccc1)[N+]([O-])=O,0.77
172,CCC(C)c1ccc(O)cc1,1.31
173,Cc1ccc(cc1)[N+]([O-])=O,0.9
174,[O-][N+](=O)c1ccc(Cl)cc1,1.3
175,Nc1ccc(cc1)[N+]([O-])=O,0.6
176,[O-][N+](=O)c1ccc(O)cc1,0.71
177,COc1ccc(cc1)[N+]([O-])=O,1.08
178,CC(C)c1ccc(cc1)C(C)C,3.24
179,OC(=O)c1ccc(c[n]1)C(O)=O,0.76
180,C=CC1CC=CCC1,2.22
181,C=Cc1ccccc1,1.13
182,C=Cc1cc[n]cc1,1.86
183,CNc1ccccc1,1
184,Cc1cc(C=C)ccc1,1.55
185,Nc1ccc(Cc2cc(Cl)c(N)cc2)cc1Cl,2.24
186,Oc1ccc(Cc2ccccc2)cc1,1.33
187,Nc1ccc(Cc2ccc(N)cc2)cc1,1.18
188,C(c1ccccc1)c1ccccc1,2.94
189,c1ccccc1Oc1ccccc1,2.5
190,N=C(Nc1ccccc1)Nc1ccccc1,1.3
191,C=CCN(CC=C)CC=C,0.55
192,OCCN(CCO)CCO,0.59
193,N(CCCC)(CCCC)CCCC,1.4
194,O(CC(CCCC)CC)C=C,2.78
195,C(OCc1ccccc1)c1ccccc1,2.43
196,CCNc1ccccc1,1.11
197,CN(C)Cc1ccccc1,1.15
198,CCCCCCCCCc1ccc(O)cc1,2.58
199,O=Cc1ccc(Cl)cc1,0.32
200,CCc1ccc(CC)cc1,2.68
201,C=Cc1ccc(cc1)C=C,2.48
202,Brc1ccc(Br)cc1,2.21
203,Oc1ccc(Br)cc1,1.17
204,Cc1ccc(C)cc1,1.17
205,Cc1ccc(Cl)cc1,1.76
206,Clc1ccc(Cl)cc1,2.62
207,Nc1ccc(Cl)cc1,0.84
208,Oc1ccc(Cl)cc1,1.48
209,BrCCBr,1.18
210,C=CCCl,0.7
211,CC(=C)CC(C)(C)C,2.78
212,Brc1cc(Br)ccc1,2.82
213,Cc1cc(C)ccc1,1.17
214,Nc1cc(Cl)ccc1,0.35
215,Oc1cc(Cl)ccc1,1.2
216,Nc1cc(N)ccc1,0.81
217,C=Cc1cc(ccc1)C=C,2.54
218,O(C(CCl)C)C(CCl)C,1.08
219,Cc1cc(C)cc(C)c1,2.27
220,Clc1cc(Cl)cc(Cl)c1,2.97
221,Nc1[n]c(N)[n]c(N)[n]1,0.58
222,Oc1[n]c(O)[n]c(O)[n]1,-0.3
223,Brc1ccccc1,1.36
224,CC1CCCCC1,2.27
225,Cc1ccccc1,0.92
226,Clc1ccccc1,1.25
227,Oc1ccccc1,1.24
228,Clc1cccc[n]1,1.28
229,CCCCCl,1.23
230,c1ccco1,0.7
231,c1ccc[s]1,0.95
232,C1CCCCC1,1.92
233,C1CNCCN1,0.59
234,C1COCCN1,0.45
235,CC(O)COCC(C)O,0.66
236,NCCNCCN,0.65
237,NCCNCCO,0.46
238,ClCCOCCCl,1
239,N#CCCNCCC#N,0.08
240,CCCCCCCCCCCC,2.38
241,O=C(O)C(C(C(=C(C12Cl)Cl)Cl)(C1(Cl)Cl)Cl)C2C(=O)O,0.32
242,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,3.79
243,OCC(CO)(CO)CO,0.1
244,O=P(Oc(cccc1)c1)(Oc(cccc2)c2)Oc(cccc3)c3,2.28
245,O=P(OCCCl)(OCCCl)OCCCl,0.11
246,[O-][N+](=O)c1c(Cl)c(Cl)cc(Cl)c1Cl,3.23
247,Nc1cc2c(cc1)C(=O)c1ccccc1C2=O,1.51
248,O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,2.77
249,CCNc1cccc2ccccc21,2.32
250,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.33
251,Oc1c(Br)cc(Br)cc1Br,2.71
252,C(F)(F)(F)c1cc(Cl)ccc1N(=O)=O,1.87
253,OC(=O)c1ccccc1Cl,1
254,Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,0.99
255,CCOP(=S)(OC1C=CC(=O)N(N=1)c1ccccc1)OCC,0.67
256,Cc1cc(c(O)cc1)[N+]([O-])=O,0.95
257,Oc(c(cc(c1)C)Cc(c(O)c(cc2C)C(C)(C)C)c2)c1C(C)(C)C,2.74
258,OC(c(cccc1)c1)c(ccc(c2)Cl)c2,1.79
259,O=C(c1ccccc1)c1ccccc1,1.08
260,C1CCCc2ccccc21,2.53
261,Nc(c(cc(c(ccc(N)c1C)c1)c2)C)c2,1.67
262,c1c2ccccc2cc2ccccc21,3.26
263,N(C(=S)SSSSC(N(CCCC1)C1)=S)(CCCC2)C2,1.23
264,Cc1ccc(OC)c(N)c1,0.55
265,c1cccc2[s]c([n]c21)SSc1[n]c2ccccc2[s]1,1.42
266,Clc1cc(Cl)c(Cl)cc1,3.32
267,Oc1ccc(Cl)cc1Cl,1.53
268,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.96
269,CCN(CC)CC,0.69
270,CN(C)c1ccccc1,0.9
271,[O-][N+](=O)c1cccc(Cl)c1,1.89
272,CCOC(=O)C(CC(=O)OCC)SP(=S)(OC)OC,1.52
273,N(=O)(=O)N(CN(N(=O)(=O))CN1N(=O)(=O))C1,0.3
274,[O-][N+](=O)c1cc(ccc1)C(O)=O,0.85
275,Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC,1.95
276,CC(O)CN(CC(C)O)CC(C)O,-0.24
277,CCNc1[n]c(Cl)[n]c(NCC)[n]1,0.56
278,c1ccccc1Nc1ccccc1,2.18
279,CC1OC(C)OC(C)O1,0.48
280,C1COCCO1,-0.3
281,C(=C)CCCCCCC,3.17
282,CC(C)(CO)CO,0.67
283,O=S1(=O)CCCC1,0.85
284,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,0.51
285,O=P(OCCCC)(OCCCC)OCCCC,1.47
286,ClC(Cl)=C(Cl)Cl,1.72
287,C[C@]12CCC[C@](C)([C@@H]1CCC1=C[C@@](C)(CC[C@H]21)C=C)C(O)=O,1.92
288,C(Cl)(Cl)(Cl)C(Cl)COCC(Cl)C(Cl)(Cl)Cl,3.28
289,Oc(c(cc(c1)C)C(C)(C)C)c1C(C)(C)C,3.03
290,c1cc2cccc3ccc4cccc1c4c32,3.18
291,Oc1cccc2c1C(=O)c1ccccc1C2=O,2.25
292,O=C1c2cc(Cl)ccc2C(=O)c2ccccc12,2.28
293,COc1cc(O)c(cc1)C(=O)c1ccccc1,1.97
294,c1cccc2oc3ccccc3c21,3.18
295,c1cccc2[s]c3ccccc3c21,3.05
296,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1.98
297,Nc1cccc2ccccc21,1.4
298,O=C(Nc(ccc(c1cc(S(=O)(=O)O)c2)c2O)c1)Nc(ccc(c3cc(S(=O)(=O)O)c4)c4O)c3,0.26
299,O=C(N(CC)CC)c(cccc1C)c1,0.38
300,c1c(ccc2ccccc21)Nc1ccccc1,2.37
301,CN(C)C(=S)SSC(=S)N(C)C,0.53
302,CC(C)(C)CC(C)(C)c1ccc(O)cc1,2.46
303,CCc1cc(CC)ccc1,2.73
304,CCCCOCCCC,1.86
305,O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl,3.19
306,CC(C)C(O)C(C)(C)CO,0
307,Sc1[n]c2ccccc2[s]1,0.9
308,CCOc1ccc(N)cc1,1
309,c1ccc2c3c(cccc31)-c1ccccc1-2,3.56
310,c1ccc2C=Cc3cccc1c32,2.43
311,c4ccc3nc2ccc1ccccc1c2cc3c4,2.02
312,c1c2c(ccc3ccccc32)[n]c2c3ccccc3ccc21,2.03
313,n(c(c(ccc1)cc2cccc3)c1)c23,2.1
314,C1CCCCCCCCCCC1,3.91
315,COP(=S)(OC)Oc1ccc(cc1)N(=O)=O,1.93
316,CCSCCSP(=S)(OCC)OCC,2.34
317,CCOP(S)(=S)OCC,0.7
318,O=P(OCC(CCCC)CC)(OCC(CCCC)CC)O,0.64
319,COP(=S)(Oc1cc(Cl)c(Cl)cc1Cl)OC,3.58
320,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |&1:3,5,6,8,11,12|",3.74
321,CC1NC(=O)N(C(C)CC)C(=O)C=1Br,0.51
322,CN(C)c1c(C)cc(cc1C)OC(=O)NC,1.42
323,FC(F)(F)c1ccc(Cl)cc1Cl,3.37
324,FC(F)(F)c1cc(Cl)c(Cl)cc1,3.18
325,CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,1.15
326,CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,1.25
327,Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,1.85
328,NC(=N)NC#N,0.49
329,Nc1c[n]ccc1,0.32
330,C(C(CC1)=C(C)C)=C(CCC2C(C3)(C(=O)O)C)C1C2(CC3)C,2.17
331,Nc1cccc2cccc(N)c12,0.8
332,C(C(CCC1)CCC2)(C1)C2,3.245
333,COP(=S)(OC)Oc1ccc(N(=O)=O)c(Cl)c1,1.55
334,C[C@@H]1CCC[C@H](C)N1,0.7
335,Nc1cc[n]cc1,0.66
336,Nc1cccc[n]1,1.06
337,CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.68
338,COP(=O)(OC)OC,0.15
339,CC(C)C1CC[C@H]2C(C=1)=CC[C@H]1[C@@](C)(CCC[C@]21C)C(O)=O,1.97
340,Cc1c(C)cccc1C,2.29
341,O=C(O)C(Br)C(Br)C(=O)O,0.81
342,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.71
343,Cc1cc(C)c(O)c(C)c1,0.93
344,Cc1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.46
345,Cc1cccc(c1)C(C)C,2.73
346,c(cccc1Cl)(c1)Cl,2.33
347,ClC1CCCCC1,2.34
348,CC(C)CCOCCC(C)C,2.23
349,CCCCCCCCCCCCCCCC,3.7
350,Nc1ccc(Cl)cc1Cl,1.36
351,[O-][N+](=O)c1cccc(O)c1,1.4
352,COc1cc(ccc1)[N+]([O-])=O,0.78
353,Oc1cccc(Cl)c1Cl,1.13
354,[Na+].CCC(COC(=O)CC(C(=O)OCC(CCCC)CC)S([O-])(=O)=O)CCCC,0.97
355,c(c(ccc1)C(C)C)(c1)C(C)C,2.14
356,CC(=O)N(C)c1ccccc1,0.18
357,N(c(c(N1)ccc2)c2)=C1S,0.41
358,Oc1cc(Cl)ccc1Cl,1.01
359,Oc1cc(Br)ccc1,1.18
360,Nc1cc(O)ccc1,1.34
361,Oc1cc(Cl)cc(Cl)c1,1.91
362,[O-][N+](=O)c1cccc(c1C(O)=O)C(O)=O,0.72
363,Cc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,1.34
364,COC(=O)c1ccccc1C(=O)c1ccccc1,1.15
365,Clc1c(Cl)c(Cl)cc(Cl)c1Cl,3.75
366,[O-][N+](=O)c1cc(Cl)cc(Cl)c1O,1.32
367,O=N(=O)c(c(N(=O)=O)ccc1C)c1,0.48
368,[O-][N+](=O)c1ccc(Cl)cc1Cl,2.07
369,Cc1ccccc1NC,0.95
370,CCc1ccccc1[N+]([O-])=O,1.11
371,Brc1cc(Br)c(Br)cc1,3.63
372,Cc1ccc(Cl)c(O)c1,0.67
373,Cc1c[s]cc1,0.72
374,[O-][N+](=O)c1cc(Cl)cc(Cl)c1,2.23
375,Cc1ccc(cc1)NCC,0.61
376,Cc1ccc(C=C)cc1,1.5
377,N#Cc1ccc(cc1)C#N,0.3
378,N#Cc1cc(ccc1)C#N,0.75
379,Brc1cc(Br)cc(Br)c1,3.7
380,CN1CCCCC1,0.65
381,[Na+].CCCCCCCCCCCC([O-])=O,2.4
382,Clc1ccc(Cl)c(Cl)c1Cl,3.38
383,Nc1ccc(Cl)c(Cl)c1Cl,2
384,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,2.21
385,Clc1cc(Cl)c(Cl)c(Cl)c1,3.59
386,Nc1cc(Cl)c(Cl)c(Cl)c1,2.36
387,Nc1c(Cl)cc(Cl)cc1Cl,2
388,Brc1cc(Br)c(Br)cc1Br,3.59
389,Nc1cc(Cl)c(Cl)cc1Cl,2.33
390,CN(C)P(=O)(N(C)C)N(C)C,-0.3
391,Cc1cccc(c1)NC,0.86
392,CCC(=O)Nc1cc(Cl)c(Cl)cc1,1.84
393,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,0.26
394,CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,4.14
395,C=CC(Cl)CCl,1.11
396,C(=CC=C(C)C)(C)C,2.32
397,N#Cc1ccc(O)cc1,0.91
398,Clc1ccccc1NNc1ccccc1Cl,3.66
399,O=C(N(C(=O)N(C1(=O))CCO)CCO)N1CCO,0.2
400,OCc1cccc(Cl)c1,1.29
401,Cc1c(Cl)c(Cl)c(C)c(Cl)c1Cl,3.62
402,Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.83
403,[O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl,1.9
404,OC(C(F)(F)F)C(F)(F)F,0.4
405,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,2.15
406,COc1c(Cl)cc(Cl)c(Cl)c1Cl,3.34
407,COc1cc(Cl)c(Cl)c(Cl)c1Cl,3.67
408,O=C1CCCCCCCCCCCN1,0.41
409,Clc1cc2ccccc2c2ccccc21,3.49
410,COC1=NN(CSP(=S)(OC)OC)C(=O)S1,0.74
411,COP(=O)(OC(=CCl)c1cc(Cl)c(Cl)cc1Cl)OC,1.61
412,CCOP(=O)(OCC)Oc1cc(C)nc(n1)C(C)C,-0.35
413,CCCCCCCCN(CCCCCCCC)CCCCCCCC,1.93
414,OC(=O)c1cc2ccc(cc2cc1)C(O)=O,0.81
415,O(c(c(c(c(c1Br)Br)Br)Br)c1Br)c(c(c(c(c2Br)Br)Br)Br)c2Br,3.38
416,S=C(NC1CCCCC1)NC1CCCCC1,0.64
417,CCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CCCC,2.49
418,CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(C)(C)C,4.36
419,NCc1cc(CN)ccc1,0.43
420,CC(C)C1CCC(C)CC1O,1.035
421,O=C(C(C(=CCCC1)C1)CCC2)C2,0.7
422,FC(F)C(F)(F)Oc1ccc(C(C)(C)c2ccc(OC(F)(F)C(F)F)cc2)cc1,4.35
423,Cc1cc(Cl)ccc1O,1.33
424,CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,3.36
425,O=P(OCC=C)(OCC=C)OCC=C,0.08
426,CN(C)C1CSSC1,1.72
427,COC(C)(C)C,0.18
428,CCOC(=O)C(CC(=O)OCC)SP(=O)(OC)OC,0.05
429,O=C(O)C(C(C(=O)O)CCC1)C1,0.3
430,CC(=C)c1ccc(Cl)cc1,2.84
431,CC(C)c1ccc2c(CC[C@H]3[C@@](C)(CCC[C@]23C)C(O)=O)c1,2.12
432,Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,4.99
433,CN(OC)C(=O)Nc1ccc(Cl)cc1,1.15
434,OP(=O)c1ccccc1,0.78
435,OCc1cc(Cl)c(Cl)cc1,0.54
436,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.16
437,Clc1ccc(Cl)c2ccccc12,3.75
438,[O-][N+](=O)c1ccc(cc1)Oc1c(Cl)cc(Cl)cc1Cl,3.31
439,O=C(c(cccc1)c1)c(c(O)cc(OCCCCCCCC)c2)c2,1.9
440,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1.8
441,[Cl-].[Cl-].C[n+]1ccc(cc1)-c1cc[n+](C)cc1,0.28
442,CCNc1[n]c(Cl)[n]c(NC(C)C)[n]1,0.9
443,CC(C)C1CCC2=C(CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(O)=O)C=1,1.4
444,c1c(O)ccc(C)c1N(=O)=O,1
445,Clc1cccc2cccc(Cl)c12,3.79
446,Oc1c2ccccc2c(Cl)cc1Cl,1.35
447,Clc1c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.24
448,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)c1ccccc1,2.97
449,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)OC,3.59
450,CC1CNC(=S)N1,1
451,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,5.82
452,CC(C)COc1cc2ccccc2cc1,2.8
453,CCSC(=O)N1CCCCCC1,1.41
454,COc1cccc2ccccc21,2.21
455,Clc1c2c(c(Cl)c(Cl)c1Cl)c(Cl)c(Cl)c(Cl)c2Cl,2.58
456,Nc1cccc2c1cccc2N,0.65
457,O=P(OC)(OC)Oc1cc(C)c(N(=O)(=O))cc1,0.44
458,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C12Cl)C4(Cl)Cl,4.31
