,SMILES,HL,LogHL
85,ClCBr,0.001458,-2.836242476
86,CCC,0.7067,-0.150764909
87,CC#C,0.01101,-1.958212681
88,CCCl,0.0111,-1.954677021
89,ClC=C,0.0278,-1.555955204
90,CCI,0.00698,-2.156144577
91,CCN,1.23e-05,-4.910094889
92,CC#N,3.45e-05,-4.462180905
93,CC=O,6.67e-05,-4.175874166
94,CCS,0.00453,-2.343901798
95,ClCCl,0.00325,-2.488116639
96,ICI,0.000323,-3.490797478
97,NC=O,1.39e-09,-8.8569852
98,S=C=S,0.0144,-1.841637508
99,CSC,0.00161,-2.793174124
100,C1CC1,0.79,-0.102372909
101,C1CO1,0.000148,-3.829738285
102,BrC(Br)Br,0.000535,-3.271646218
103,CC(C)Br,0.011,-1.958607315
104,ClC(Cl)Br,0.00212,-2.673664139
105,CC(C)C,1.189,0.075181855
106,CC(C)Cl,0.0175,-1.756961951
107,CC(C)I,0.006886,-2.162032982
108,CC(C)N,4.51e-05,-4.345823458
109,CC(Cl)Cl,0.00562,-2.250263684
110,ClC(Cl)=C,0.0261,-1.583359493
111,CC(F)F,0.0203,-1.692503962
112,FC(F)=C,0.379,-0.42136079
113,FC(Cl)Cl,0.0108,-1.966576245
114,ClC(Cl)=O,0.0167,-1.777283529
115,FC(F)Cl,0.0406,-1.391473966
116,FC(F)F,0.0952,-1.021363052
117,CN(C)C,0.000104,-3.982966661
118,C[N+]([O-])=O,2.86e-05,-4.543633967
119,CC1CN1,1e-05,-5.0
120,CC1CO1,6.96e-05,-4.15739076
121,FC(F)(F)Br,0.499,-0.301899454
122,CC(C)(C)N,3.58e-05,-4.446116973
123,CC(C)(C)O,9.05e-06,-5.043351421
124,CC(F)(F)Cl,0.0588,-1.230622674
125,FC(Cl)(Cl)Cl,0.097,-1.013228266
126,FC(F)(Cl)Cl,0.343,-0.46470588
127,FC(F)(F)Cl,1.38,0.139879086
128,FC(F)(F)F,5.15,0.711807229
129,C[Si](C)(C)C,4.253,0.628695383
130,CCC(C)(C)C,1.52,0.181843588
131,CC(C)(C)CO,5.3e-05,-4.27572413
132,CCC(C)(C)O,1.38e-05,-4.860120914
133,ClC(Cl)(Cl)C=O,2.91e-09,-8.536107011
134,OCC(F)(F)F,1.73e-05,-4.761953897
135,OC(=O)C(Br)(Br)Br,3.34e-09,-8.476253533
136,CC(=O)C(C)(C)C,0.000218,-3.661543506
137,CC(C)(C)C(O)=O,2.78e-06,-5.555955204
138,CC(Cl)(Cl)C(O)=O,5.66e-08,-7.247183569
139,ClC(Cl)C(Cl)(Cl)Cl,0.00194,-2.71219827
140,ClC(=O)C(Cl)(Cl)Cl,0.000507,-3.294992041
141,OC(=O)C(Cl)(Cl)Cl,1.35e-08,-7.869666232
142,OC(=O)C(F)(F)Cl,4.1e-08,-7.387216143
143,OC(=O)C(F)(F)F,1.11e-07,-6.954677021
144,[O-][N+](=O)C(Cl)(Cl)Cl,0.00205,-2.688246139
145,FC(F)(Cl)C(Cl)(Cl)Cl,0.161,-0.793174124
146,FC(Cl)(Cl)C(F)(Cl)Cl,0.113,-0.946921557
147,FC(F)(Cl)C(F)(Cl)Cl,0.526,-0.279014256
148,FC(F)(Cl)C(F)(F)Cl,2.8,0.447158031
149,FC(F)(F)C(F)(F)Cl,5.58,0.746634199
150,FC(F)(F)C(F)(F)F,20.3,1.307496038
151,FC(F)(F)C(F)(F)C(F)(F)F,32.99,1.518382316
152,CC1(C)C2CCC1(C)C(=O)C2,8.1e-05,-4.091514981
153,OCC(F)(F)C(F)F,6.29e-06,-5.201349355
154,COC(F)(F)C(Cl)Cl,0.0037,-2.431798276
155,ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.000294,-3.53165267
156,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,0.027,-1.568636236
157,CCC(C)(O)CC,1.76e-05,-4.754487332
158,CCC(C)(O)C#C,6.85e-06,-5.164309429
159,COS(=O)(=O)OC,4e-06,-5.397940009
160,CCOP(=O)(C#N)N(C)C,1.52e-07,-6.818156412
161,OC(=O)CC(O)(CC(O)=O)C(O)=O,4.33e-14,-13.3635121
162,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,3.84e-09,-8.415668776
163,CCC(C)(CC)OC(N)=O,3.34e-05,-4.476253533
164,CCOP(=O)(OCC)OCC,3.6e-08,-7.443697499
165,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,7.86e-08,-7.104577454
166,CCCCSP(=O)(SCCCC)SCCCC,2.94e-07,-6.53165267
167,COP(=S)(OC)SCC1=NC(N)=NC(N)=N1,1.59e-09,-8.798602876
168,CC1=CC(=O)CC(C)(C)C1,6.64e-06,-5.177831921
169,CC(C)(N=NC(C)(C)C#N)C#N,4.14e-06,-5.382999659
170,CC(C)=CCCC(C)(O)C=C,2.15e-05,-4.66756154
171,CC(Br)CBr,0.001456,-2.836838625
172,CCC(C)C,1.4,0.146128036
173,CC(=C)C=C,0.0767,-1.115204636
174,CC(C)CN,1.36e-05,-4.866461092
175,CC(C)CO,9.78e-06,-5.009661145
176,CC(C)C=O,0.00018,-3.744727495
177,CC(=C)C=O,0.000232,-3.634512015
178,CCC(C)Cl,0.0241,-1.617982957
179,CC(Cl)CCl,0.00282,-2.549750892
180,ClCC(Cl)=C,0.004157,-2.381219975
181,CCC(C)O,9.06e-06,-5.042871802
182,CCC(C)=O,5.69e-05,-4.244887734
183,CC(=O)C=C,4.65e-05,-4.332547047
184,CC(=O)CCl,1.65e-05,-4.782516056
185,CC(=O)C=O,2.7e-07,-6.568636236
186,CCC(Cl)Cl,0.00376,-2.424812155
187,ClCC(Cl)Cl,0.000824,-3.084072788
188,ClC=C(Cl)Cl,0.00985,-2.00656377
189,NC(=O)C=C,1.7e-09,-8.769551079
190,OC(=O)CBr,6.52e-09,-8.185752404
191,CCC(O)=O,4.45e-07,-6.351639989
192,OC(=O)C=C,3.7e-07,-6.431798276
193,OC(=O)CCl,9.26e-09,-8.033389013
194,CNC(C)=O,4.23e-08,-7.373659633
195,COC(C)=O,0.000115,-3.93930216
196,CC(=O)OO,2.14e-06,-5.669586227
197,CC[N+]([O-])=O,4.76e-05,-4.322393047
198,BrC(Br)C(Br)Br,1.34e-05,-4.872895202
199,CC(C)C(C)C,1.18,0.071882007
200,CC(C)C(O)=O,8.85e-07,-6.053056729
201,ClC(Cl)C(Cl)Cl,0.000367,-3.435333936
202,CC(=C)C(O)=O,3.88e-07,-6.411168274
203,OC(=O)C(Cl)Cl,8.38e-09,-8.076755981
204,CC(C)[N+]([O-])=O,0.000119,-3.924453039
205,CC(C)(OO)C1=CC=CC=C1,4.71e-08,-7.326979093
206,CC1=CCC2CC1C2(C)C,0.134,-0.872895202
207,COC(=O)C(C)=C,0.000319,-3.496209317
208,OC1=CC=C(O)C2=C1C(=O)C1=C(C=CC=C1)C2=O,7.99e-08,-7.097453221
209,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,2.77e-09,-8.557520231
210,NC1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=CC=C1,4.9e-09,-8.30980392
211,O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=C(C=CC=C2)C1=O,1.54e-10,-9.812479279
212,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,4.42e-05,-4.354577731
213,C1CC2=C3C1=CC=CC3=CC=C2,0.000184,-3.735182177
214,C1=CC=C(C=C1)C1=CC=CC=C1C1=CC=CC=C1,6.11e-05,-4.21395879
215,O=C(OC1CCCCC1)C1=C(C=CC=C1)C(=O)OC1CCCCC1,1e-07,-7.0
216,O=C1C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2,2.35e-08,-7.628932138
217,CCOC(=O)C1=CC=CC=C1C(=O)OCC,6.1e-07,-6.214670165
218,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,1.81e-06,-5.742321425
219,CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC,2.57e-05,-4.590066877
220,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,4.23e-05,-4.373659633
221,C1=CC=C2C(C=CC3=C2C=CC=N3)=C1,1.74e-07,-6.759450752
222,O=C1OC(=O)C2=C1C=CC=C2,1.63e-08,-7.787812396
223,CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1,1.26e-06,-5.899629455
224,COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O,2.39e-08,-7.621602099
225,[O-][N+](=O)C1=C2C=CC=CC2=CC=C1,1.76e-06,-5.754487332
226,C1C2=C(C=CC=C2)C2=C1C=CC=C2,9.62e-05,-4.016824928
227,N1C2=CC=CC=C2C2=C1C=CC=C2,1.16e-07,-6.935542011
228,ClC1=CC=CC(Cl)=C1Cl,0.00125,-2.903089987
229,CC1=CC=CC(C)=C1N,2.52e-06,-5.598599459
230,OC1=C(Cl)C=CC=C1Cl,2.67e-06,-5.573488739
231,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.0103,-1.987162775
232,CC1=C(C)C(C)=C(C)C(C)=C1C,0.000781,-3.107348966
233,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,2.45e-08,-7.610833916
234,OC1=C(Cl)C=C(Cl)C=C1Cl,2.6e-06,-5.585026652
235,CCC(CC)C(O)=O,1.6e-06,-5.795880017
236,CC(C)(C)C1=C(O)C=CC=C1,2.54e-05,-4.595166283
237,CC1=CC=CC=C1[N+]([O-])=O,1.25e-05,-4.903089987
238,[O-][N+](=O)C1=C(Cl)C=CC=C1,9.3e-06,-5.031517051
239,NC1=CC=CC=C1[N+]([O-])=O,5.9e-08,-7.229147988
240,OC1=C(C=CC=C1)[N+]([O-])=O,1.28e-05,-4.89279003
241,CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O,4.56e-07,-6.341035157
242,OC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1.7e-11,-10.76955108
243,OC(=O)C1=CC=CC=C1C(O)=O,2e-11,-10.69897
244,[O-][N+](=O)C1=C(Cl)C=CC(Cl)=C1,1.2e-05,-4.920818754
245,OC1=C(C=C(Cl)C=C1)[N+]([O-])=O,1.26e-05,-4.899629455
246,CC(C)C1=CC=C(C)C=C1O,4.83e-07,-6.316052869
247,CCC1=C(O)C=CC=C1,4.61e-06,-5.336299075
248,OC1=CC=CC=C1C=O,5.61e-06,-5.251037139
249,COC1=CC=CC=C1N,9.26e-07,-6.033389013
250,COC1=C(O)C=CC=C1,1.2e-06,-5.920818754
251,BrC1=C2C=CC=CC2=CC=C1,0.000284,-3.54668166
252,CC1=C2C=CC=CC2=CC=C1,0.000514,-3.289036881
253,ClC1=C2C=CC=CC2=CC=C1,0.000355,-3.449771647
254,OC1=CC=CC2=CC=CC=C12,6e-08,-7.22184875
255,OC1=C(C=CC=C1)C1=CC=CC=C1,6.4e-07,-6.193820026
256,OC(C1=CC=CC=C1)C1=CC=CC=C1,1.32e-08,-7.879426069
257,COC1=CC=CC(OC)=C1O,2.31e-07,-6.63638802
258,C1CCC2CCCCC2C1,0.47,-0.327902142
259,C1=CC2=CC=CC=C2C=C1,0.00044,-3.356547324
260,C1=CC2=C(C=C1)N=CC=C2,1.67e-06,-5.777283529
261,COC1=C(C=CC=C1)[N+]([O-])=O,4.29e-07,-6.367542708
262,CC1=CC2=CC=CC=C2C=C1,0.000518,-3.28567024
263,ClC1=CC=C2C=CC=CC2=C1,0.00032,-3.494850022
264,NC1=CC2=C(C=CC=C2)C=C1,8.1e-08,-7.091514981
265,O=C1OC2=C(C=CC=C2)C=C1,9.92e-08,-7.003488328
266,CCN(CC)C1=CC=CC=C1,0.000192,-3.716698771
267,C1=CC=C(C=C1)C1=CC(=CC=C1)C1=CC=CC=C1,3.51e-06,-5.454692884
268,C1=CC2=CC3=CC4=CC=CC=C4C=C3C=C2C=C1,4.95e-07,-6.305394801
269,C1=CC=C(C=C1)C1=CC=CC=C1,0.000308,-3.511449283
270,C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=CC=C1,1.64e-06,-5.785156152
271,COC1=CC=C(CC=C)C=C1OC,5.6e-06,-5.251811973
272,COC1=CC(C)=CC=C1O,1.33e-06,-5.876148359
273,CCC(=O)C1=CC=CC=C1,1.5e-05,-4.823908741
274,COC(=O)C1=CC=CC=C1,3.24e-05,-4.48945499
275,ClCC(=O)N(CC=C)CC=C,1.07e-07,-6.970616222
276,CCOC(=O)C1=CC=CC=C1,7.33e-05,-4.134896025
277,CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1,2.15e-06,-5.66756154
278,CC1=C(OCC(O)=O)C=CC(Cl)=C1,1.33e-09,-8.876148359
279,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,3.54e-08,-7.450996738
280,CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,4.88e-07,-6.311580178
281,CC1=C(OCCCC(O)=O)C=CC(Cl)=C1,2.71e-09,-8.567030709
282,CCCC(O)C(CC)CO,1.37e-08,-7.863279433
283,CCN(CC)C(=S)SCC(Cl)=C,6.48e-06,-5.188424994
284,CC1=C(C)C=CC=C1,0.00518,-2.28567024
285,CC1=C(O)C=CC=C1,1.2e-06,-5.920818754
286,CC1=C(Cl)C=CC=C1,0.00357,-2.447331784
287,ClC1=C(Cl)C=CC=C1,0.00192,-2.716698771
288,NC1=C(Cl)C=CC=C1,5.39e-06,-5.268411235
289,CC1=C(N)C=CC=C1,1.98e-06,-5.70333481
290,NC1=C(N)C=CC=C1,7.2e-09,-8.142667504
291,OC1=CC=CC=C1Cl,1.12e-05,-4.950781977
292,CC1=CC(C)=C(C)C=C1,0.00616,-2.210419288
293,CC1=CC=C(N)C=C1C,1.86e-06,-5.730487056
294,CC1=C(C)C=C(O)C=C1,4.15e-07,-6.381951903
295,CC1=CC(Cl)=C(Cl)C=C1,0.002567,-2.590574131
296,NC1=CC(Cl)=C(Cl)C=C1,1.46e-05,-4.835647144
297,CC1=CC(N)=C(C)C=C1,4.27e-06,-5.369572125
298,CC1=CC(O)=C(C)C=C1,1.12e-06,-5.950781977
299,CCOC(=O)C(=O)OCC,2.21e-06,-5.655607726
300,ClC1=CC(Cl)=C(Cl)C=C1Cl,0.001,-3.0
301,OC1=C(Cl)C=C(Cl)C(Cl)=C1,1.62e-06,-5.790484985
302,C1OC1C1=CC=CC=C1,1.58e-05,-4.801342913
303,ClCC(Br)CBr,0.000147,-3.832682665
304,CCC(C)CC,1.683,0.226084116
305,ClCC(Cl)CCl,0.000343,-3.46470588
306,CCC(=O)CC,5e-05,-4.301029996
307,OC(CCl)CCl,1.29e-06,-5.88941029
308,OCC(O)CCl,2.91e-08,-7.536107011
309,COC(=O)C=C,0.000199,-3.701146924
310,COC(=O)CCl,2.37e-05,-4.625251654
311,CC1CCCC1,0.363,-0.440093375
312,CC1CCCO1,9.3e-05,-4.031517051
313,O=C1CCCO1,5.27e-08,-7.278189385
314,CC(OP(C)(F)=O)C(C)(C)C,4.57e-06,-5.3400838
315,CC(C)N(CCO)C(C)C,1.27e-06,-5.896196279
316,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,2.82e-06,-5.549750892
317,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,1.15e-12,-11.93930216
318,COC1=C(O)C=CC(CC=C)=C1,1.99e-06,-5.701146924
319,CCOC(=O)C(C)=C,0.000573,-3.241845378
320,CCOC(=O)C(C)O,5.83e-07,-6.234331445
321,CC(C)COC(=O)C(C)C,0.000822,-3.085128182
322,CC(C)COC(=O)C(C)=C,0.000523,-3.281498311
323,CCCCOC(=O)C(C)=C,0.000496,-3.304518324
324,CCC(CC)CO,5.14e-05,-4.289036881
325,OCC1=CC=CO1,7.86e-08,-7.104577454
326,O=CC1=CC=CO1,3.77e-06,-5.42365865
327,CC(C)(C)C1=CC=CC=C1,0.01317,-1.880414225
328,FC(F)(F)C1=CC=CC=C1,0.0165,-1.782516056
329,CC(C)(C)C1=CC=C(O)C=C1,1.19e-06,-5.924453039
330,CC1=CCC(CC1)C(C)(C)O,2.23e-06,-5.651695137
331,CC(C)C1=CC=CC=C1,0.0115,-1.93930216
332,CC(=C)C1=CC=CC=C1,0.00255,-2.59345982
333,CC(=O)C1=CC=CC=C1,1.04e-05,-4.982966661
334,ClC(Cl)C1=CC=CC=C1,0.000398,-3.400116928
335,CN(C)C1CCCCC1,2.35e-05,-4.628932138
336,[O-][N+](=O)C1=CC=CC=C1,2.4e-05,-4.619788758
337,CC1=CC(=CC=C1)[N+]([O-])=O,9.3e-06,-5.031517051
338,NC1=CC(=CC=C1)[N+]([O-])=O,7.91e-09,-8.101823517
339,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,4.67e-08,-7.330683119
340,[O-][N+](=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,6.5e-09,-8.187086643
341,[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1,8.07e-06,-5.093126465
342,[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,4.9e-08,-7.30980392
343,CC(C)C1CCC(C)CC1,1.76,0.245512668
344,CC(C)C1=CCC(C)=CC1,0.0258,-1.588380294
345,OC(=O)C1=CC=C(O)C=C1,6.98e-12,-11.15614458
346,CN(C)C1=CC=C(C)C=C1,4.87e-05,-4.312471039
347,CC1=CC=C(C=C1)[N+]([O-])=O,5.63e-06,-5.249491605
348,[O-][N+](=O)C1=CC=C(Cl)C=C1,4.89e-06,-5.310691141
349,NC1=CC=C(C=C1)[N+]([O-])=O,1.26e-09,-8.899629455
350,OC1=CC=C(C=C1)[N+]([O-])=O,4.15e-10,-9.381951903
351,C=CC1CCC=CC1,0.04481,-1.348625056
352,CCC1=CC=CC=C1,0.00788,-2.103473783
353,C=CC1=CC=CC=C1,0.00275,-2.560667306
354,C=CC1=CC=NC=C1,8.08e-06,-5.092588639
355,ClCC1=CC=CC=C1,0.000412,-3.385102784
356,N#CC1=CC=CC=C1,5.21e-05,-4.283162277
357,N#CC1=CC=NC=C1,9.29e-07,-6.031984286
358,OCC1=CC=CC=C1,3.37e-07,-6.472370099
359,O=CC1=CC=CC=C1,2.67e-05,-4.573488739
360,N#CC1=CN=CC=C1,2.74e-07,-6.562249437
361,CNC1=CC=CC=C1,8.88e-06,-5.051587034
362,NNC1=CC=CC=C1,4.42e-09,-8.354577731
363,ON=C1CCCCC1,2.32e-07,-6.634512015
364,COC1=CC=CC=C1,0.000484,-3.315154638
365,C=CC1=NC=CC=C1,1.4e-05,-4.853871964
366,CCC1=NC=CC=C1,1.65e-05,-4.782516056
367,O=NN1CCCCC1,8.44e-07,-6.073657553
368,OC1=CC=CC(C=O)=C1,2.5e-09,-8.602059991
369,C1N2CN3CN1CN(C2)C3,1.64e-09,-8.785156152
370,ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,2.81e-10,-9.55129368
371,CC(C)OC(=O)NC1=CC=CC(Cl)=C1,5.69e-07,-6.244887734
372,ClCC#CCOC(=O)NC1=CC=CC(Cl)=C1,1.17e-08,-7.931814138
373,CN(C)C(=O)NC1=CC=CC=C1,2.01e-09,-8.696803943
374,C(C1=CC=CC=C1)C1=CC=CC=C1,0.000129,-3.88941029
375,O(C1=CC=CC=C1)C1=CC=CC=C1,0.000279,-3.554395797
376,CCCN(CCC)CCC,0.000381,-3.419075024
377,C=CCN(CC=C)CC=C,0.000263,-3.580044252
378,OCCN(CCO)CCO,7.05e-13,-12.15181088
379,CC(=O)OCC(COC(C)=O)OC(C)=O,1.23e-08,-7.910094889
380,CCCCN(CCCC)CCCC,0.00016,-3.795880017
381,CCCCC(CC)COC(=O)C=C,0.000432,-3.364516253
382,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,4.34e-07,-6.36251027
383,C(=C/C1=CC=CC=C1)\C1=CC=CC=C1,0.000721,-3.142064735
384,C1=CC=C(C=C1)N=NC1=CC=CC=C1,1.35e-05,-4.869666232
385,CCOC(=O)C=CC1=CC=CC=C1,4.26e-06,-5.370590401
386,C(OCC1=CC=CC=C1)C1=CC=CC=C1,6.72e-06,-5.172630727
387,BrCCC1=CC=CC=C1,0.00152,-2.818156412
388,CCCC1=CC=CC=C1,0.0105,-1.978810701
389,CCNC1=CC=CC=C1,9.78e-06,-5.009661145
390,CCOC1=CC=CC=C1,0.000441,-3.355561411
391,OC(=O)CC1=CC=CC=C1,4.1e-08,-7.387216143
392,CCCCCCCCCC1=CC=C(O)C=C1,3.4e-05,-4.468521083
393,CCCCC1=CC=CC=C1,0.01586,-1.799696817
394,CCCCCCCCCCC1=CC=CC=C1,0.153,-0.815308569
395,CCCCC(CC)CN,9.52e-05,-4.021363052
396,CCCCC(CC)CO,2.65e-05,-4.576754126
397,CC1=CC=C(C=O)C=C1,1.74e-05,-4.759450752
398,CCC1=CN=C(C)C=C1,1.9e-05,-4.721246399
399,COC1=CC=C(N)C=C1,6.6e-08,-7.180456064
400,CCC1=CC=C(CC)C=C1,0.007548,-2.122168109
401,CCCC(C)CO,4.3e-05,-4.366531544
402,CCOC(=O)CC,0.000251,-3.600326279
403,CCOC(=O)CCl,4.06e-05,-4.391473966
404,COC(=O)CC(C)=O,2.73e-07,-6.563837353
405,CCC(C)OC(C)=O,0.000419,-3.377785977
406,CCOC(=O)CC(=O)OCC,2.1e-06,-5.677780705
407,CCCC(=O)OCC,0.000399,-3.399027104
408,CCOC(=O)CC#N,2.89e-07,-6.539102157
409,CCOC(C)OCC,9.75e-05,-4.010995384
410,CCOC(=O)OCC,8.93e-05,-4.049148541
411,CN(CCO)CCO,3.14e-11,-10.50307035
412,CCCOC(=O)CCC,0.000636,-3.196542884
413,CC1=CC(C)=C(O)C=C1,9.51e-07,-6.021819483
